tract_id,borough,tract_lat,tract_lon,zone_type,tract_lot_count
1019200,MN,40.7982792,-73.9319407,Residential,52
1019300,MN,40.8003097,-73.962216,Residential,180
1019400,MN,40.800316,-73.935839,Residential,189
1019500,MN,40.8025837,-73.9670529,Open Space,158
1019600,MN,40.8028218,-73.938472,Mixed-Use,185
1019701,MN,40.8046727,-73.9607253,Open Space,9
1019702,MN,40.8023954,-73.9578804,Residential,75
1019800,MN,40.8049446,-73.9412548,Open Space,114
1019900,MN,40.8054793,-73.964895,Residential,148
1020000,MN,40.8054253,-73.9455187,Residential,302
1020101,MN,40.8060197,-73.9604383,Institutional,26
1020102,MN,40.8049721,-73.9567049,Residential,132
1020300,MN,40.810594,-73.9600888,Institutional,25
1020500,MN,40.8088976,-73.9647813,Institutional,53
1020600,MN,40.8082167,-73.9390781,Residential,270
1020701,MN,40.8088411,-73.9585843,Residential,28
1020800,MN,40.8095259,-73.9420478,Residential,382
1020901,MN,40.8115104,-73.9544582,Mixed-Use,67
1021000,MN,40.8133578,-73.9352156,Residential,11
1021100,MN,40.813807,-73.9599317,Residential,84
1021200,MN,40.8144475,-73.9384046,Residential,67
1021303,MN,40.8140143,-73.9530957,Residential,141
1021400,MN,40.8178845,-73.9363193,Residential,15
1021500,MN,40.8131436,-73.9498013,Mixed-Use,83
1021600,MN,40.8007058,-73.9542798,Residential,226
1021703,MN,40.817135,-73.9506591,Institutional,21
1021800,MN,40.8033843,-73.9522581,Residential,231
1021900,MN,40.8171376,-73.957036,Mixed-Use,109
1022000,MN,40.8056639,-73.9503522,Residential,372
1022102,MN,40.8187697,-73.9461096,Open Space,161
1022200,MN,40.8077583,-73.9491761,Mixed-Use,273
1022301,MN,40.8206046,-73.9544595,Mixed-Use,129
1022302,MN,40.8205397,-73.9580517,Institutional,16
1022400,MN,40.8104065,-73.9458427,Residential,227
1022500,MN,40.8230902,-73.9518281,Residential,189
1022600,MN,40.8131944,-73.9446707,Residential,373
1022700,MN,40.8230562,-73.9466438,Residential,351
1022800,MN,40.8161865,-73.9435213,Residential,385
1022900,MN,40.8254032,-73.9502429,Residential,187
1023000,MN,40.8182467,-73.9421376,Residential,262
1023100,MN,40.8260097,-73.9446187,Residential,284
1023200,MN,40.8208343,-73.939234,Mixed-Use,151
1023300,MN,40.8280576,-73.9480051,Mixed-Use,242
1023400,MN,40.8238457,-73.9391722,Mixed-Use,83
1023501,MN,40.8292884,-73.9424284,Residential,184
1023502,MN,40.8278605,-73.9389268,Residential,47
1023600,MN,40.8263807,-73.9369468,Residential,68
1023700,MN,40.8302303,-73.9465231,Open Space,165
1023802,MN,40.7703846,-73.9420011,Institutional,1
1023803,MN,40.7620094,-73.9495204,Mixed-Use,3
1023804,MN,40.7578082,-73.9533989,Residential,19
1023900,MN,40.8325955,-73.9408355,Residential,50
1024000,MN,40.7901672,-73.92172,Open Space,7
1024100,MN,40.8336124,-73.9447019,Residential,112
1024200,MN,40.8045351,-73.9342958,Mixed-Use,110
1024301,MN,40.8357927,-73.938889,Residential,137
