tract_id,avg_floors,avg_yearbuilt,lot_area_mean,total_bldg_area,building_count
1014401,6.7,1920,4767.0,3593219.0,117
1014402,5.5,1914,3780.0,4517185.0,209
1014500,24.9,1963,36530.0,11300099.0,36
1014601,6.3,1927,4363.0,2901890.0,130
1014602,7.3,1929,5076.0,5517935.0,168
1014700,15.2,1981,30816.0,3308870.0,15
1014801,8.7,1932,6358.0,2985807.0,53
1014802,7.4,1924,5293.0,6275852.0,161
1014900,12.8,1941,24507.0,7357011.0,52
1015001,11.1,1931,9054.0,2923648.0,37
1015002,10.0,1924,9061.0,7057164.0,94
1015101,9.9,1934,53794.0,2839938.0,27
1015102,29.2,2002,55032.0,7846602.0,21
1015200,8.9,1944,24784.0,4610942.0,73
1015301,6.2,1904,4552.0,4170521.0,148
1015302,9.3,1912,7790.0,4933188.0,72
1015401,6.1,1924,5148.0,2536167.0,120
1015402,6.8,1931,3927.0,2555350.0,102
1015403,23.6,1985,40484.0,3736435.0,24
1015501,21.8,1975,47511.0,4259819.0,16
1015502,31.1,1980,124816.0,4197119.0,10
1015601,8.2,1935,6928.0,3507317.0,83
1015602,8.2,1943,61407.0,2787236.0,35
1015700,5.9,1898,3981.0,8502136.0,345
1015801,4.9,1905,3766.0,4521003.0,222
1015802,6.8,1929,5798.0,2334290.0,57
1015900,6.8,1905,109517.0,7892854.0,219
1016001,6.1,1905,4596.0,4976768.0,196
1016002,7.8,1923,7195.0,2148010.0,47
1016100,4.8,1895,3505.0,5001088.0,330
1016200,10.6,1955,95442.0,5175532.0,36
1016300,6.7,1907,14065.0,6785811.0,214
1016400,5.2,1942,15946.0,3113779.0,65
1016500,5.7,1898,7140.0,6418112.0,232
1016600,4.7,1919,4456.0,3220287.0,248
1016700,6.5,1907,23868.0,5938822.0,186
1016800,9.9,1943,31272.0,7034986.0,58
1016900,5.3,1900,3974.0,6103912.0,347
1017000,4.8,1928,9004.0,3960658.0,164
1017100,6.6,1904,5117.0,7123332.0,210
1017200,4.4,1922,4395.0,3438709.0,261
1017300,4.9,1899,3644.0,6446900.0,361
1017401,7.6,1941,18055.0,2617861.0,40
1017402,8.8,1976,12224.0,1858713.0,28
1017500,6.9,1906,5442.0,8377844.0,196
1017700,6.6,1916,9901.0,6898153.0,183
1017800,4.1,1913,7104.0,3613952.0,284
1017900,6.9,1908,5282.0,6237747.0,165
1018000,4.4,1938,8032.0,3423575.0,215
1018100,5.8,1907,5369.0,6527870.0,186
1018200,4.5,1924,7354.0,3439817.0,185
1018300,8.0,1920,14280.0,5789515.0,148
1018400,4.6,1976,7976.0,3599737.0,168
1018500,14.6,1971,53194.0,4386839.0,20
1018600,5.8,1929,38339.0,1620933.0,37
1018700,7.0,1911,5437.0,5910143.0,169
1018800,4.2,1919,3127.0,3033387.0,322
1018900,5.2,1917,10630.0,5064001.0,231
1019000,4.9,1932,8836.0,2452757.0,83
1019100,6.4,1913,10712.0,5706252.0,192
1019200,4.2,1926,23314.0,1342168.0,59
1019300,5.6,1919,6879.0,4590662.0,214
1019400,5.0,1930,6900.0,3542100.0,169
1019500,6.5,1916,23958.0,4902815.0,168
1019600,4.5,1935,6364.0,3576564.0,144
1019701,9.7,1957,225219.0,15055896.0,17
1019702,5.3,1919,3937.0,1172819.0,78
1019800,4.4,1938,14958.0,2629314.0,121
1019900,6.8,1915,6537.0,5804452.0,144
1020000,3.8,1901,2860.0,2819121.0,304
1020101,7.8,1927,15376.0,2505270.0,28
1020102,4.8,1911,4007.0,2022748.0,139
1020300,7.0,1920,57597.0,4408874.0,66
1020500,10.3,1918,14284.0,4726460.0,63
1020600,4.0,1923,3654.0,2734897.0,257
1020701,7.6,1927,10936.0,1663354.0,28
1020800,4.0,1920,2809.0,2787465.0,370
1020901,5.0,1926,12056.0,2359389.0,79
1021000,14.8,1953,217154.0,2579201.0,29
1021100,7.6,1923,19250.0,6177782.0,94
1021200,5.9,1950,20342.0,5506832.0,67
1021303,4.8,1920,7629.0,3042883.0,143
1021400,9.2,1949,71777.0,1889749.0,18
1021500,5.9,1933,5661.0,1990144.0,77
1021600,5.1,1911,4859.0,4214537.0,251
1021703,6.5,1965,81493.0,3026138.0,30
1021800,4.6,1936,4981.0,3992081.0,241
1021900,4.5,1927,22265.0,5021350.0,117
1022000,3.9,1904,3170.0,3378588.0,388
1022102,3.7,1913,9650.0,1655711.0,186
1022200,4.4,1922,4359.0,4761429.0,265
1022301,5.0,1915,10454.0,2717363.0,126
1022302,6.9,1935,36786.0,681968.0,24
1022400,3.9,1923,6374.0,3602175.0,251
1022500,4.8,1913,5300.0,4125629.0,194
