tract_id,hotel_count,tourism_poi_count,tourism_density,tourism_ratio
1013400,0,2,2.55,0.0206
1013501,0,5,6.37,0.5
1013502,1,4,5.09,0.2
1013601,0,0,0.0,0.0
1013602,0,0,0.0,0.0
1013603,0,1,1.27,0.0294
1013604,0,0,0.0,0.0
1013700,11,14,17.83,0.1053
1013800,0,0,0.0,0.0
1013900,1,4,5.09,0.044
1014000,0,1,1.27,0.0133
1014200,2,9,11.46,0.3
1014401,0,0,0.0,0.0
1014402,0,0,0.0,0.0
1014500,2,18,22.92,0.2647
1014601,0,0,0.0,0.0
1014602,0,0,0.0,0.0
1014700,0,1,1.27,0.0294
1014801,0,0,0.0,0.0
1014802,1,1,1.27,0.0143
1014900,2,16,20.37,0.3636
1015001,0,6,7.64,0.2143
1015002,0,3,3.82,0.2143
1015101,0,2,2.55,0.0833
1015102,0,1,1.27,0.0769
1015200,1,1,1.27,0.0417
1015301,0,7,8.91,0.2692
1015302,1,3,3.82,0.0612
1015401,0,0,0.0,0.0
1015402,0,0,0.0,0.0
1015403,0,0,0.0,0.0
1015501,0,0,0.0,0.0
1015502,0,1,1.27,0.2
1015601,0,1,1.27,0.04
1015602,0,0,0.0,0.0
1015700,1,5,6.37,0.0446
1015801,0,0,0.0,0.0
1015802,0,1,1.27,0.025
1015900,0,2,2.55,0.0435
1016001,0,2,2.55,0.0714
1016002,0,2,2.55,0.0667
1016100,0,5,6.37,0.0714
1016200,0,0,0.0,0.0
1016300,6,17,21.65,0.2982
1016400,1,2,2.55,0.0625
1016500,0,6,7.64,0.0822
1016600,0,0,0.0,0.0
1016700,3,20,25.46,0.2
1016800,0,8,10.19,0.4444
1016900,0,4,5.09,0.0606
1017000,0,0,0.0,0.0
1017100,0,11,14.01,0.1507
1017200,0,0,0.0,0.0
1017300,1,2,2.55,0.0588
1017401,0,4,5.09,0.3333
1017402,0,1,1.27,0.1111
1017500,1,4,5.09,0.1
1017700,0,4,5.09,0.1026
1017800,0,3,3.82,0.0769
1017900,0,14,17.83,0.1795
1018000,0,0,0.0,0.0
1018100,0,0,0.0,0.0
1018200,0,3,3.82,0.0769
1018300,2,20,25.46,0.2174
1018400,0,3,3.82,0.2308
1018500,0,4,5.09,0.1081
1018600,0,4,5.09,0.25
1018700,1,19,24.19,0.2836
1018800,0,1,1.27,0.0455
1018900,2,3,3.82,0.0857
1019000,0,0,0.0,0.0
1019100,1,33,42.02,0.4074
1019200,0,0,0.0,0.0
1019300,0,8,10.19,0.1455
1019400,0,0,0.0,0.0
1019500,0,12,15.28,0.1348
1019600,0,2,2.55,0.25
1019701,0,7,8.91,1.4
1019702,0,8,10.19,0.2667
1019800,0,1,1.27,0.0345
1019900,0,12,15.28,0.1667
1020000,0,0,0.0,0.0
1020101,0,5,6.37,1.0
1020102,0,0,0.0,0.0
1020300,0,2,2.55,0.0588
1020500,0,7,8.91,0.3182
1020600,0,0,0.0,0.0
1020701,0,0,0.0,0.0
1020800,0,2,2.55,0.25
1020901,0,3,3.82,0.1071
1021000,0,1,1.27,1.0
1021100,0,5,6.37,0.119
1021200,0,0,0.0,0.0
1021303,0,0,0.0,0.0
1021400,0,0,0.0,0.0
1021500,0,2,2.55,0.2222
1021600,0,2,2.55,0.5
1021703,0,0,0.0,0.0
1021800,1,1,1.27,0.0357
1021900,0,4,5.09,0.1818
1022000,2,2,2.55,0.1667
1022102,0,2,2.55,0.1818
1022200,1,4,5.09,0.1081
1022301,0,0,0.0,0.0
1022302,0,8,10.19,1.6
1022400,0,1,1.27,0.0323
1022500,1,5,6.37,0.2941
1022600,1,1,1.27,0.0714
1022700,0,3,3.82,0.2308
1022800,0,1,1.27,0.1
