tract_id,borough,tract_lat,tract_lon,zone_type,tract_lot_count,amenity_count_total,amenity_count_food_drink,amenity_count_retail,amenity_count_services,amenity_count_office,amenity_count_hotel,amenity_count_entertainment,amenity_count_education,amenity_count_healthcare,amenity_ratio_food_drink,amenity_ratio_retail,amenity_ratio_services,amenity_ratio_office,amenity_ratio_hotel,amenity_ratio_entertainment,amenity_ratio_education,amenity_ratio_healthcare,amenity_density,avg_floors,avg_yearbuilt,lot_area_mean,total_bldg_area,building_count,landuse_entropy,landuse_hhi,dist_subway_mean,dist_bus_mean,transit_stop_count,intersection_density,hotel_count,tourism_poi_count,tourism_density,tourism_ratio,pedestrian_rank_mean,pedestrian_rank_max,pct_high_traffic_segments,shop_count,shop_density_km2,shop_type_entropy,brand_ratio
1002800,MN,40.7265929,-73.977871,Residential,160,42,20,6,7,0,0,5,1,3,0.4762,0.1429,0.1667,0.0,0.0,0.119,0.0238,0.0714,53.48,5.8,1930,8844.0,4117809.0,181,2.5109,0.2138,558.7,457.3,67,607.3,0,2,2.55,0.0476,3,2,6.4,16,20.37,3.25,0.125
1002901,MN,40.7142862,-74.0014303,Institutional,17,9,2,4,1,1,0,1,0,0,0.2222,0.4444,0.1111,0.1111,0.0,0.1111,0.0,0.0,11.46,12.9,1945,50274.0,6682831.0,25,1.1114,0.4927,601.7,543.2,195,2635.6,0,28,35.65,3.1111,3,2,53.6,6,7.64,1.7925,0.0
1002902,MN,40.7153588,-73.998435,Mixed-Use,206,250,117,55,44,1,2,2,3,26,0.468,0.22,0.176,0.004,0.008,0.008,0.012,0.104,318.31,5.3,1918,4143.0,3972774.0,248,2.1661,0.2874,575.0,525.1,131,2764.2,2,17,21.65,0.068,2,1,70.6,112,142.6,4.2669,0.0179
1003001,MN,40.7209077,-73.986922,Mixed-Use,218,150,82,29,13,2,5,14,3,2,0.5467,0.1933,0.0867,0.0133,0.0333,0.0933,0.02,0.0133,190.99,5.3,1921,3804.0,3398908.0,252,2.3101,0.2399,456.2,531.4,89,998.2,5,16,20.37,0.1067,3,2,34.6,51,64.94,3.8533,0.0392
1003002,MN,40.7228048,-73.98548,Mixed-Use,86,82,38,17,12,2,0,8,1,4,0.4634,0.2073,0.1463,0.0244,0.0,0.0976,0.0122,0.0488,104.41,5.4,1921,6257.0,1777551.0,104,1.9113,0.3592,524.2,536.3,90,797.0,0,4,5.09,0.0488,3,2,19.7,39,49.66,4.1661,0.0769
1003100,MN,40.717268,-74.0023522,Commercial,84,119,33,42,11,4,3,17,0,9,0.2773,0.3529,0.0924,0.0336,0.0252,0.1429,0.0,0.0756,151.52,8.9,1913,16416.0,9379535.0,81,1.589,0.5072,510.7,572.7,169,1915.0,3,27,34.38,0.2269,2,1,78.9,55,70.03,4.2175,0.0727
1003200,MN,40.7255523,-73.9837863,Mixed-Use,291,122,93,11,9,0,0,8,1,0,0.7623,0.0902,0.0738,0.0,0.0,0.0656,0.0082,0.0,155.34,5.2,1906,5802.0,4153942.0,304,2.3226,0.2248,635.9,544.2,105,593.3,0,5,6.37,0.041,3,1,34.8,30,38.2,4.0281,0.0
1003300,MN,40.7185408,-74.005831,Mixed-Use,368,70,38,7,5,2,2,12,1,3,0.5429,0.1,0.0714,0.0286,0.0286,0.1714,0.0143,0.0429,89.13,6.4,1896,5845.0,13883793.0,375,2.4512,0.236,490.5,538.2,149,2331.3,2,15,19.1,0.2143,2,2,66.2,17,21.65,3.2928,0.2353
1003400,MN,40.7287606,-73.9814696,Mixed-Use,334,114,65,22,17,0,0,2,5,3,0.5702,0.193,0.1491,0.0,0.0,0.0175,0.0439,0.0263,145.15,5.0,1911,3443.0,3906521.0,381,2.0784,0.3127,373.2,492.9,89,707.9,0,0,0.0,0.0,3,2,28.9,50,63.66,4.1464,0.08
1003601,MN,40.722156,-73.9912288,Residential,95,72,38,14,5,0,6,9,0,0,0.5278,0.1944,0.0694,0.0,0.0833,0.125,0.0,0.0,91.67,6.0,1930,5920.0,2583787.0,97,2.2523,0.2481,463.4,502.8,108,1089.9,6,15,19.1,0.2083,3,2,21.3,22,28.01,3.8231,0.0909
1003602,MN,40.7245936,-73.9898677,Mixed-Use,128,78,44,18,9,0,0,6,0,1,0.5641,0.2308,0.1154,0.0,0.0,0.0769,0.0,0.0128,99.31,5.1,1908,4539.0,2070383.0,128,2.7109,0.1782,579.1,520.4,131,989.3,0,6,7.64,0.0769,3,2,41.8,38,48.38,4.3065,0.0263
1003700,MN,40.7263009,-74.0062355,Mixed-Use,224,62,25,8,5,2,5,10,3,4,0.4032,0.129,0.0806,0.0323,0.0806,0.1613,0.0484,0.0645,78.94,7.0,1906,15070.0,16405835.0,220,2.5867,0.209,497.2,527.3,77,1401.8,5,15,19.1,0.2419,3,2,47.5,14,17.83,3.4677,0.1429
1003800,MN,40.7273414,-73.9882199,Mixed-Use,452,247,147,43,35,0,1,15,3,3,0.5951,0.1741,0.1417,0.0,0.004,0.0607,0.0121,0.0121,314.49,5.1,1897,3114.0,5447507.0,485,2.2023,0.2974,606.5,531.9,138,863.3,1,5,6.37,0.0202,3,1,44.8,92,117.14,4.6738,0.0217
1003900,MN,40.7204835,-74.0098837,Mixed-Use,226,60,33,12,8,0,0,2,1,4,0.55,0.2,0.1333,0.0,0.0,0.0333,0.0167,0.0667,76.39,6.4,1905,8670.0,11000832.0,245,2.2988,0.2437,566.4,598.3,97,2535.0,0,8,10.19,0.1333,3,2,25.5,23,29.28,3.3275,0.0
1004001,MN,40.7300311,-73.9849228,Mixed-Use,156,189,97,46,28,1,1,4,1,11,0.5132,0.2434,0.1481,0.0053,0.0053,0.0212,0.0053,0.0582,240.64,5.2,1910,4159.0,2214744.0,173,2.419,0.2235,538.1,515.2,124,723.2,1,4,5.09,0.0212,2,1,56.0,94,119.68,4.5393,0.0638
1004002,MN,40.73114,-73.9872482,Mixed-Use,145,87,62,8,12,0,1,1,1,2,0.7126,0.092,0.1379,0.0,0.0115,0.0115,0.0115,0.023,110.77,5.3,1903,4021.0,2513865.0,160,2.1062,0.2725,451.5,499.9,125,811.1,1,3,3.82,0.0345,3,1,32.0,29,36.92,3.9783,0.0345
1004100,MN,40.7191565,-73.9966983,Mixed-Use,363,267,131,52,45,2,6,6,2,23,0.4906,0.1948,0.1685,0.0075,0.0225,0.0225,0.0075,0.0861,339.95,5.2,1914,3561.0,5491103.0,388,1.7822,0.4194,551.2,598.7,150,1594.1,6,11,14.01,0.0412,2,2,86.4,170,216.45,5.11,0.0235
1004200,MN,40.7319748,-73.9891366,Mixed-Use,77,103,52,21,12,2,2,7,3,4,0.5049,0.2039,0.1165,0.0194,0.0194,0.068,0.0291,0.0388,131.14,7.3,1928,6972.0,3830205.0,73,2.3678,0.2139,411.5,479.4,119,953.7,2,3,3.82,0.0291,2,1,60.0,29,36.92,4.0178,0.069
1004300,MN,40.7230514,-73.9951346,Mixed-Use,236,231,76,110,18,4,2,11,1,9,0.329,0.4762,0.0779,0.0173,0.0087,0.0476,0.0043,0.039,294.12,5.4,1913,4372.0,5259792.0,254,1.9219,0.3617,496.4,543.8,128,968.9,2,7,8.91,0.0303,2,1,95.0,160,203.72,3.9329,0.1375
1004400,MN,40.7303069,-73.973764,Mixed-Use,7,2,0,1,0,0,0,1,0,0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,2.55,7.0,1932,529102.0,8942926.0,55,0.9449,0.5911,644.0,565.2,45,566.6,0,1,1.27,0.5,3,2,63.3,1,1.27,-0.0,0.0
1004500,MN,40.7206468,-73.9993936,Commercial,140,164,45,73,31,0,4,8,1,2,0.2744,0.4451,0.189,0.0,0.0244,0.0488,0.0061,0.0122,208.81,5.9,1891,4832.0,3733405.0,139,1.8474,0.3608,485.6,587.5,135,1058.1,4,13,16.55,0.0793,2,1,100.0,117,148.97,4.1855,0.1111
1004700,MN,40.7225208,-74.002872,Mixed-Use,271,137,40,59,6,2,5,19,0,6,0.292,0.4307,0.0438,0.0146,0.0365,0.1387,0.0,0.0438,174.43,5.2,1895,4132.0,5347181.0,300,1.947,0.3274,498.7,536.5,119,1819.5,5,19,24.19,0.1387,2,1,67.1,86,109.5,3.8262,0.1279
1004800,MN,40.7340557,-73.9834929,Mixed-Use,239,66,26,9,18,1,1,0,4,7,0.3939,0.1364,0.2727,0.0152,0.0152,0.0,0.0606,0.1061,84.03,5.4,1910,5067.0,5469388.0,254,2.609,0.1785,547.8,558.2,129,816.1,1,2,2.55,0.0303,3,1,19.0,34,43.29,3.8337,0.0882
1004900,MN,40.7251279,-74.0007095,Mixed-Use,349,181,55,97,5,1,1,16,0,6,0.3039,0.5359,0.0276,0.0055,0.0055,0.0884,0.0,0.0331,230.46,5.3,1892,4297.0,7649656.0,368,2.1736,0.2642,546.0,524.3,125,886.2,1,16,20.37,0.0884,2,1,65.8,122,155.34,3.3451,0.418
1005000,MN,40.7364123,-73.9868022,Mixed-Use,188,93,54,10,11,4,2,6,2,4,0.5806,0.1075,0.1183,0.043,0.0215,0.0645,0.0215,0.043,118.41,6.5,1899,5925.0,7233052.0,191,2.8997,0.1542,503.9,539.1,140,989.3,2,2,2.55,0.0215,3,1,15.6,30,38.2,3.9899,0.1667
1005200,MN,40.7379888,-73.9902792,Commercial,156,133,61,48,7,8,0,3,4,2,0.4586,0.3609,0.0526,0.0602,0.0,0.0226,0.0301,0.015,169.34,8.0,1893,6640.0,8011683.0,166,2.1706,0.2761,515.7,549.7,160,1096.3,0,3,3.82,0.0226,2,1,95.2,63,80.21,3.6154,0.5873
1005400,MN,40.7389517,-73.993595,Commercial,185,116,48,29,12,5,1,5,6,10,0.4138,0.25,0.1034,0.0431,0.0086,0.0431,0.0517,0.0862,147.7,8.5,1908,6636.0,10066462.0,199,1.9709,0.3293,520.9,581.0,169,790.7,1,3,3.82,0.0259,2,1,75.0,59,75.12,4.6277,0.4407
1005501,MN,40.7274543,-73.9966103,Institutional,26,53,19,19,3,1,0,3,6,2,0.3585,0.3585,0.0566,0.0189,0.0,0.0566,0.1132,0.0377,67.48,10.5,1930,35576.0,5440839.0,37,1.5798,0.4712,512.6,539.9,128,986.8,0,2,2.55,0.0377,2,1,54.8,25,31.83,3.6676,0.4
