tract_id,amenity_count_total,amenity_count_food_drink,amenity_count_retail,amenity_count_services,amenity_count_office,amenity_count_hotel,amenity_count_entertainment,amenity_count_education,amenity_count_healthcare,amenity_ratio_food_drink,amenity_ratio_retail,amenity_ratio_services,amenity_ratio_office,amenity_ratio_hotel,amenity_ratio_entertainment,amenity_ratio_education,amenity_ratio_healthcare,amenity_density
1020102,29,16,6,3,1,0,1,0,2,0.5517,0.2069,0.1034,0.0345,0.0,0.0345,0.0,0.069,36.92
1020300,34,12,8,3,1,0,2,6,2,0.3529,0.2353,0.0882,0.0294,0.0,0.0588,0.1765,0.0588,43.29
1020500,22,8,4,1,0,0,2,7,0,0.3636,0.1818,0.0455,0.0,0.0,0.0909,0.3182,0.0,28.01
1020600,7,0,1,0,0,0,0,6,0,0.0,0.1429,0.0,0.0,0.0,0.0,0.8571,0.0,8.91
1020701,11,5,2,3,0,0,0,0,1,0.4545,0.1818,0.2727,0.0,0.0,0.0,0.0,0.0909,14.01
1020800,8,5,1,0,1,0,1,0,0,0.625,0.125,0.0,0.125,0.0,0.125,0.0,0.0,10.19
1020901,28,5,7,7,0,0,2,5,2,0.1786,0.25,0.25,0.0,0.0,0.0714,0.1786,0.0714,35.65
1021000,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.27
1021100,42,24,4,3,1,0,2,5,3,0.5714,0.0952,0.0714,0.0238,0.0,0.0476,0.119,0.0714,53.48
1021200,14,3,3,1,0,0,1,4,2,0.2143,0.2143,0.0714,0.0,0.0,0.0714,0.2857,0.1429,17.83
1021303,8,3,0,0,0,0,2,2,1,0.375,0.0,0.0,0.0,0.0,0.25,0.25,0.125,10.19
1021400,8,2,4,1,0,0,0,1,0,0.25,0.5,0.125,0.0,0.0,0.0,0.125,0.0,10.19
1021500,9,4,3,1,1,0,0,0,0,0.4444,0.3333,0.1111,0.1111,0.0,0.0,0.0,0.0,11.46
1021600,4,3,0,0,0,0,0,1,0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,5.09
1021703,6,1,0,0,0,0,1,4,0,0.1667,0.0,0.0,0.0,0.0,0.1667,0.6667,0.0,7.64
1021800,28,13,6,3,0,1,0,3,2,0.4643,0.2143,0.1071,0.0,0.0357,0.0,0.1071,0.0714,35.65
1021900,22,10,1,1,0,0,4,5,1,0.4545,0.0455,0.0455,0.0,0.0,0.1818,0.2273,0.0455,28.01
1022000,12,7,0,0,0,2,0,3,0,0.5833,0.0,0.0,0.0,0.1667,0.0,0.25,0.0,15.28
1022102,11,5,0,2,0,0,1,3,0,0.4545,0.0,0.1818,0.0,0.0,0.0909,0.2727,0.0,14.01
1022200,37,8,19,3,1,1,5,0,0,0.2162,0.5135,0.0811,0.027,0.027,0.1351,0.0,0.0,47.11
1022301,11,5,2,1,1,0,0,1,1,0.4545,0.1818,0.0909,0.0909,0.0,0.0,0.0909,0.0909,14.01
1022302,5,2,0,0,0,0,1,2,0,0.4,0.0,0.0,0.0,0.0,0.2,0.4,0.0,6.37
1022400,31,12,10,2,1,0,2,1,3,0.3871,0.3226,0.0645,0.0323,0.0,0.0645,0.0323,0.0968,39.47
1022500,17,11,2,1,0,1,1,1,0,0.6471,0.1176,0.0588,0.0,0.0588,0.0588,0.0588,0.0,21.65
1022600,14,4,3,1,0,1,2,1,2,0.2857,0.2143,0.0714,0.0,0.0714,0.1429,0.0714,0.1429,17.83
1022700,13,4,1,3,0,0,1,3,1,0.3077,0.0769,0.2308,0.0,0.0,0.0769,0.2308,0.0769,16.55
1022800,10,6,0,0,1,0,2,1,0,0.6,0.0,0.0,0.1,0.0,0.2,0.1,0.0,12.73
1022900,16,5,7,1,0,1,0,1,1,0.3125,0.4375,0.0625,0.0,0.0625,0.0,0.0625,0.0625,20.37
1023000,12,6,1,2,0,0,0,2,1,0.5,0.0833,0.1667,0.0,0.0,0.0,0.1667,0.0833,15.28
1023100,16,7,3,2,0,0,0,1,3,0.4375,0.1875,0.125,0.0,0.0,0.0,0.0625,0.1875,20.37
1023200,30,11,8,7,1,0,0,2,1,0.3667,0.2667,0.2333,0.0333,0.0,0.0,0.0667,0.0333,38.2
1023300,23,21,1,0,0,0,0,1,0,0.913,0.0435,0.0,0.0,0.0,0.0,0.0435,0.0,29.28
1023400,9,3,2,2,0,0,0,2,0,0.3333,0.2222,0.2222,0.0,0.0,0.0,0.2222,0.0,11.46
1023501,8,1,3,0,0,2,2,0,0,0.125,0.375,0.0,0.0,0.25,0.25,0.0,0.0,10.19
1023502,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27
1023600,5,0,1,0,0,0,0,4,0,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,6.37
1023700,8,6,0,0,0,0,1,1,0,0.75,0.0,0.0,0.0,0.0,0.125,0.125,0.0,10.19
1023802,4,1,1,0,0,0,1,0,1,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.25,5.09
1023803,6,1,1,0,1,0,0,3,0,0.1667,0.1667,0.0,0.1667,0.0,0.0,0.5,0.0,7.64
1023804,9,5,0,0,0,0,2,1,1,0.5556,0.0,0.0,0.0,0.0,0.2222,0.1111,0.1111,11.46
1023900,6,4,0,0,0,0,0,1,1,0.6667,0.0,0.0,0.0,0.0,0.0,0.1667,0.1667,7.64
1024000,2,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,2.55
1024100,19,11,0,4,0,0,2,1,1,0.5789,0.0,0.2105,0.0,0.0,0.1053,0.0526,0.0526,24.19
1024200,21,6,5,2,1,0,0,4,3,0.2857,0.2381,0.0952,0.0476,0.0,0.0,0.1905,0.1429,26.74
1024301,6,0,2,1,0,0,1,1,1,0.0,0.3333,0.1667,0.0,0.0,0.1667,0.1667,0.1667,7.64
