cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,tourism_density,shop_density_km2,brand_ratio
r0105_c0115,40.6906996,-73.7570361,Residential,51,0.0,0.0,2.2,1935.0,75578.0,89,0.21,0.0,0.0,0.0
r0105_c0116,40.6906996,-73.7552532,Residential,41,44.44,0.0,2.2,1931.0,69172.0,70,-0.0,0.0,0.0,0.0
r0105_c0117,40.6906996,-73.7534703,Residential,44,133.33,0.0,2.1,1947.0,79210.0,74,0.9034,0.0,0.0,0.0
r0105_c0118,40.6906996,-73.7516874,Residential,47,0.0,0.0,1.9,1944.0,69140.0,79,0.078,0.0,0.0,0.0
r0105_c0119,40.6906996,-73.7499045,Residential,47,133.33,0.0,1.9,1950.0,58550.0,69,0.2374,0.0,0.0,0.0
r0105_c0120,40.6906996,-73.7481216,Residential,44,88.89,0.0,1.8,1966.0,72922.0,55,0.4345,0.0,0.0,0.0
r0105_c0121,40.6906996,-73.7463386,Residential,34,88.89,0.0,1.7,1953.0,49164.0,42,-0.0,0.0,0.0,0.0
r0105_c0122,40.6906996,-73.7445557,Residential,34,0.0,0.0,1.7,1949.0,46496.0,40,-0.0,0.0,0.0,0.0
r0105_c0123,40.6906996,-73.7427728,Residential,31,88.89,0.0,1.7,1944.0,44359.0,51,-0.0,0.0,0.0,0.0
r0105_c0124,40.6906996,-73.7409899,Residential,45,88.89,0.0,1.6,1944.0,53644.0,82,-0.0,0.0,0.0,0.0
r0105_c0125,40.6906996,-73.739207,Residential,39,0.0,0.0,1.5,1944.0,50828.0,76,-0.0,0.0,0.0,0.0
r0105_c0126,40.6906996,-73.7374241,Residential,40,44.44,0.0,1.7,1946.0,51709.0,74,-0.0,0.0,0.0,0.0
r0105_c0127,40.6906996,-73.7356412,Residential,44,133.33,0.0,1.6,1948.0,56121.0,81,-0.0,0.0,0.0,0.0
r0105_c0128,40.6906996,-73.7338583,Residential,41,88.89,0.0,1.6,1945.0,50343.0,79,-0.0,0.0,0.0,0.0
r0105_c0129,40.6906996,-73.7320753,Residential,37,44.44,0.0,1.5,1947.0,44571.0,70,-0.0,0.0,0.0,0.0
r0105_c0130,40.6906996,-73.7302924,Residential,45,0.0,0.0,1.7,1956.0,63307.0,65,-0.0,0.0,0.0,0.0
r0105_c0131,40.6906996,-73.7285095,Residential,34,266.67,0.5,1.6,1957.0,65847.0,44,1.1045,0.0,133.33,0.0
r0106_c0033,40.692051,-73.9032349,Mixed-Use,4,2533.33,0.1754,1.5,1926.0,6500.0,2,1.0137,44.44,888.89,0.05
r0106_c0034,40.692051,-73.901452,Mixed-Use,5,44.44,0.0,1.0,1939.0,44259.0,4,1.2819,0.0,0.0,0.0
r0106_c0036,40.692051,-73.8978862,Open Space,3,0.0,0.0,2.0,1910.0,648.0,3,0.1585,0.0,0.0,0.0
