cell_id,amenity_density,amenity_ratio_food_drink
r0076_c0074,311.11,0.0
r0076_c0075,400.0,0.0
r0076_c0076,0.0,0.0
r0076_c0126,177.78,0.0
r0076_c0127,222.22,0.0
r0076_c0128,88.89,0.0
r0076_c0129,177.78,0.0
r0076_c0130,88.89,0.0
r0076_c0131,88.89,0.0
r0076_c0132,44.44,0.0
r0077_c0064,800.0,0.0
r0077_c0065,666.67,0.0
r0077_c0066,666.67,0.0
r0077_c0067,400.0,0.0
r0077_c0068,488.89,0.0
r0077_c0069,355.56,0.0
r0077_c0070,177.78,0.0
r0077_c0071,711.11,0.0
r0077_c0072,488.89,0.0
r0077_c0073,133.33,0.0
r0077_c0074,711.11,0.0
r0077_c0075,355.56,0.0
r0077_c0120,44.44,0.0
r0077_c0121,44.44,0.0
r0077_c0122,88.89,0.0
r0077_c0123,44.44,0.0
r0077_c0124,133.33,0.0
r0077_c0125,0.0,0.0
r0077_c0126,88.89,0.0
r0077_c0127,222.22,0.0
r0077_c0128,133.33,0.0
r0077_c0129,44.44,0.0
r0077_c0130,88.89,0.0
r0077_c0131,266.67,0.0
r0077_c0132,222.22,0.0
r0077_c0133,1200.0,0.037
r0078_c0061,222.22,0.0
r0078_c0062,577.78,0.0
r0078_c0063,266.67,0.0
r0078_c0064,311.11,0.0
r0078_c0065,577.78,0.0
r0078_c0066,622.22,0.0
r0078_c0067,711.11,0.0
r0078_c0068,844.44,0.0
r0078_c0069,311.11,0.2857
r0078_c0070,266.67,0.0
r0078_c0071,488.89,0.0
r0078_c0072,577.78,0.0
r0078_c0073,133.33,0.0
r0078_c0074,444.44,0.0
r0078_c0075,266.67,0.0
r0078_c0111,44.44,0.0
r0078_c0118,44.44,0.0
r0078_c0120,0.0,0.0
r0078_c0121,0.0,0.0
r0078_c0122,0.0,0.0
r0078_c0123,88.89,0.0
r0078_c0124,44.44,0.0
r0078_c0125,88.89,0.0
r0078_c0126,222.22,0.0
r0078_c0127,88.89,0.0
r0078_c0128,222.22,0.0
r0078_c0129,177.78,0.0
r0078_c0130,0.0,0.0
r0078_c0131,44.44,0.0
r0078_c0132,133.33,0.0
r0078_c0133,488.89,0.0
r0079_c0061,444.44,0.0
r0079_c0062,977.78,0.0
r0079_c0063,1066.67,0.0
r0079_c0064,1111.11,0.0
r0079_c0065,755.56,0.0
r0079_c0066,755.56,0.0
r0079_c0067,1066.67,0.0
r0079_c0068,488.89,0.0
r0079_c0069,444.44,0.1
r0079_c0070,444.44,0.0
r0079_c0071,577.78,0.0
r0079_c0072,666.67,0.0
r0079_c0073,177.78,0.0
r0079_c0074,222.22,0.0
r0079_c0075,88.89,0.0
r0079_c0110,133.33,0.0
r0079_c0111,0.0,0.0
r0079_c0112,0.0,0.0
r0079_c0117,311.11,0.0
r0079_c0118,44.44,0.0
r0079_c0119,0.0,0.0
r0079_c0121,0.0,0.0
r0079_c0122,44.44,0.0
r0079_c0123,44.44,0.0
r0079_c0124,88.89,0.0
r0079_c0125,44.44,0.0
r0079_c0126,133.33,0.0
r0079_c0127,88.89,0.0
r0079_c0128,0.0,0.0
r0079_c0129,0.0,0.0
r0079_c0130,44.44,0.0
r0079_c0131,44.44,0.0
r0079_c0132,222.22,0.0
r0079_c0133,177.78,0.0
r0080_c0057,222.22,0.0
r0080_c0058,0.0,0.0
r0080_c0061,933.33,0.0
r0080_c0062,666.67,0.0
r0080_c0063,844.44,0.0
