cell_id,landuse_entropy
r0078_c0126,-0.0
r0078_c0127,-0.0
r0078_c0128,0.2172
r0078_c0129,0.2774
r0078_c0130,-0.0
r0078_c0131,0.32
r0078_c0132,0.2772
r0078_c0133,0.8447
r0079_c0061,-0.0
r0079_c0062,-0.0
r0079_c0063,-0.0
r0079_c0064,-0.0
r0079_c0065,0.1642
r0079_c0066,-0.0
r0079_c0067,-0.0
r0079_c0068,0.2125
r0079_c0069,1.6766
r0079_c0070,0.2684
r0079_c0071,0.2972
r0079_c0072,0.1449
r0079_c0073,1.126
r0079_c0074,1.2918
r0079_c0075,0.9999
r0079_c0110,1.2353
r0079_c0111,1.4389
r0079_c0112,-0.0
r0079_c0117,0.9722
r0079_c0118,0.3857
r0079_c0119,0.5299
r0079_c0121,-0.0
r0079_c0122,-0.0
r0079_c0123,-0.0
r0079_c0124,0.7815
r0079_c0125,0.2415
r0079_c0126,1.3339
r0079_c0127,0.2037
r0079_c0128,0.6642
r0079_c0129,-0.0
r0079_c0130,0.1578
r0079_c0131,0.2408
r0079_c0132,0.2113
r0079_c0133,-0.0
r0080_c0057,-0.0
r0080_c0058,-0.0
r0080_c0061,-0.0
r0080_c0062,-0.0
r0080_c0063,-0.0
r0080_c0064,0.4326
r0080_c0065,-0.0
r0080_c0066,0.258
r0080_c0067,0.2007
r0080_c0068,0.9771
r0080_c0069,0.6671
r0080_c0070,0.2875
r0080_c0071,0.2714
r0080_c0072,0.696
r0080_c0073,0.464
r0080_c0074,1.2218
r0080_c0075,1.0578
r0080_c0109,1.6057
r0080_c0110,0.1057
r0080_c0111,-0.0
r0080_c0112,0.2058
r0080_c0115,0.988
r0080_c0116,0.8417
r0080_c0117,-0.0
r0080_c0118,-0.0
r0080_c0119,0.1344
r0080_c0120,0.9995
r0080_c0121,0.6651
r0080_c0122,1.0864
r0080_c0123,0.1735
r0080_c0124,0.4531
r0080_c0125,-0.0
r0080_c0126,0.3073
r0080_c0127,0.5973
r0080_c0128,-0.0
r0080_c0129,0.1658
r0080_c0130,-0.0
r0080_c0131,1.1152
r0080_c0132,0.9406
r0081_c0057,-0.0
r0081_c0058,-0.0
r0081_c0059,-0.0
r0081_c0061,-0.0
r0081_c0062,-0.0
r0081_c0063,-0.0
r0081_c0064,0.2077
r0081_c0065,-0.0
r0081_c0066,0.9968
r0081_c0067,-0.0
r0081_c0068,1.1933
r0081_c0069,0.452
r0081_c0070,0.3262
r0081_c0071,0.5245
r0081_c0072,-0.0
r0081_c0073,0.5822
r0081_c0074,1.3028
r0081_c0108,0.9635
r0081_c0109,0.3153
r0081_c0110,0.8907
r0081_c0113,0.9977
r0081_c0114,0.4188
r0081_c0115,0.852
r0081_c0116,0.2318
r0081_c0117,1.0994
r0081_c0118,0.2668
r0081_c0119,0.0318
r0081_c0120,-0.0
r0081_c0122,-0.0
r0081_c0123,0.7768
r0081_c0124,0.7734
r0081_c0125,0.1317
r0081_c0126,0.0083
r0081_c0127,0.1977
r0081_c0128,0.132
r0081_c0129,0.3347
r0081_c0130,0.1271
r0081_c0131,0.3398
r0081_c0132,1.1516
r0082_c0058,-0.0
r0082_c0059,0.0994
r0082_c0060,-0.0
r0082_c0061,-0.0
r0082_c0062,-0.0
r0082_c0063,-0.0
r0082_c0064,0.1831
r0082_c0065,-0.0
r0082_c0066,-0.0
r0082_c0067,0.1774
r0082_c0068,0.8667
r0082_c0069,1.342
r0082_c0070,-0.0
r0082_c0071,0.329
r0082_c0072,-0.0
r0082_c0073,0.7723
r0082_c0074,2.5021
r0082_c0106,1.8718
r0082_c0107,1.2943
r0082_c0108,0.9647
r0082_c0109,1.2813
r0082_c0110,1.296
r0082_c0111,0.9741
r0082_c0113,1.7458
r0082_c0114,0.3529
r0082_c0115,0.8111
r0082_c0116,0.5674
r0082_c0117,1.7745
r0082_c0118,0.1148
r0082_c0119,0.12
r0082_c0120,0.9149
r0082_c0121,0.2199
r0082_c0123,-0.0
r0082_c0124,1.0809
r0082_c0125,1.2504
r0082_c0126,0.1368
r0082_c0127,0.6021
r0082_c0128,1.0449
r0082_c0129,0.2905
r0082_c0130,0.5144
r0082_c0131,-0.0
r0082_c0132,0.9842
r0083_c0059,0.4198
r0083_c0062,-0.0
r0083_c0063,1.4056
r0083_c0064,-0.0
r0083_c0065,-0.0
r0083_c0066,-0.0
r0083_c0067,0.6481
r0083_c0068,1.0973
r0083_c0069,1.6565
r0083_c0070,0.5069
r0083_c0071,0.9799
r0083_c0072,0.9616
r0083_c0073,0.1154
r0083_c0074,0.7773
r0083_c0106,0.3294
r0083_c0107,1.4188
r0083_c0108,1.1298
r0083_c0109,1.4233
r0083_c0110,0.1828
r0083_c0111,0.1852
r0083_c0112,0.5733
r0083_c0113,0.3155
r0083_c0114,0.165
r0083_c0115,0.3517
r0083_c0116,0.1108
r0083_c0117,0.4532
r0083_c0118,1.2772
r0083_c0119,0.1166
r0083_c0120,-0.0
r0083_c0121,-0.0
r0083_c0123,-0.0
r0083_c0124,-0.0
r0083_c0125,1.0293
r0083_c0126,-0.0
r0083_c0127,0.2888
r0083_c0128,0.1878
r0083_c0129,0.1718
r0083_c0130,0.256
r0083_c0131,0.1624
r0083_c0132,-0.0
r0084_c0058,-0.0
r0084_c0059,1.2962
r0084_c0060,1.0685
r0084_c0061,-0.0
r0084_c0064,0.928
r0084_c0065,0.0802
r0084_c0066,-0.0
r0084_c0067,0.416
r0084_c0068,1.7386
r0084_c0069,1.5206
r0084_c0070,0.1134
r0084_c0071,-0.0
r0084_c0072,-0.0
r0084_c0073,0.2338
r0084_c0104,0.6094
r0084_c0105,1.5628
r0084_c0106,1.1785
r0084_c0107,0.9241
r0084_c0108,0.7372
r0084_c0109,0.7705
r0084_c0110,0.2252
r0084_c0111,0.316
r0084_c0112,0.5624
r0084_c0113,-0.0
r0084_c0114,0.086
