cell_id,shop_density_km2,brand_ratio
r0022_c0066,0.0,0.0
r0022_c0067,0.0,0.0
r0022_c0068,0.0,0.0
r0022_c0069,0.0,0.0
r0022_c0070,133.33,0.0
r0022_c0071,0.0,0.0
r0022_c0072,0.0,0.0
r0023_c0060,0.0,0.0
r0023_c0061,0.0,0.0
r0023_c0062,0.0,0.0
r0023_c0063,0.0,0.0
r0023_c0064,0.0,0.0
r0023_c0065,0.0,0.0
r0023_c0066,0.0,0.0
r0023_c0067,0.0,0.0
r0023_c0068,0.0,0.0
r0023_c0069,0.0,0.0
r0023_c0070,844.44,0.0526
r0023_c0071,0.0,0.0
r0023_c0072,0.0,0.0
r0023_c0073,0.0,0.0
r0023_c0074,0.0,0.0
r0024_c0061,0.0,0.0
r0024_c0062,0.0,0.0
r0024_c0063,0.0,0.0
r0024_c0064,0.0,0.0
r0024_c0065,0.0,0.0
r0024_c0066,0.0,0.0
r0024_c0067,0.0,0.0
r0024_c0068,0.0,0.0
r0024_c0069,88.89,0.5
r0024_c0070,488.89,0.0909
r0024_c0071,88.89,1.0
r0024_c0072,0.0,0.0
r0024_c0073,0.0,0.0
r0024_c0074,88.89,0.0
r0025_c0063,0.0,0.0
r0025_c0069,44.44,0.0
r0025_c0070,222.22,0.0
r0025_c0071,355.56,0.0
r0025_c0072,0.0,0.0
r0025_c0074,0.0,0.0
r0025_c0075,44.44,1.0
r0025_c0076,0.0,0.0
r0025_c0079,0.0,0.0
r0025_c0080,0.0,0.0
r0026_c0074,0.0,0.0
r0026_c0076,0.0,0.0
r0026_c0077,0.0,0.0
r0026_c0078,0.0,0.0
r0026_c0079,0.0,0.0
r0026_c0080,0.0,0.0
r0026_c0081,0.0,0.0
r0026_c0082,0.0,0.0
r0026_c0083,0.0,0.0
r0027_c0077,0.0,0.0
r0027_c0078,0.0,0.0
r0027_c0079,0.0,0.0
r0027_c0080,0.0,0.0
r0027_c0081,0.0,0.0
r0027_c0082,0.0,0.0
r0027_c0083,0.0,0.0
r0027_c0084,0.0,0.0
r0028_c0080,0.0,0.0
r0028_c0081,0.0,0.0
r0028_c0082,222.22,0.0
r0028_c0083,88.89,1.0
r0028_c0086,0.0,0.0
r0028_c0090,0.0,0.0
r0028_c0091,0.0,0.0
r0029_c0081,0.0,0.0
r0029_c0082,0.0,0.0
r0029_c0083,44.44,0.0
r0029_c0084,444.44,0.2
r0029_c0088,0.0,0.0
r0029_c0089,0.0,0.0
r0029_c0090,0.0,0.0
r0029_c0091,0.0,0.0
r0029_c0092,0.0,0.0
r0029_c0093,0.0,0.0
r0029_c0094,0.0,0.0
r0029_c0095,0.0,0.0
r0030_c0081,0.0,0.0
r0030_c0082,0.0,0.0
r0030_c0083,0.0,0.0
r0030_c0084,0.0,0.0
r0030_c0085,0.0,0.0
r0030_c0088,0.0,0.0
r0030_c0089,0.0,0.0
r0030_c0090,0.0,0.0
r0030_c0091,0.0,0.0
r0030_c0092,0.0,0.0
r0030_c0093,0.0,0.0
r0030_c0094,0.0,0.0
r0030_c0095,0.0,0.0
r0030_c0096,0.0,0.0
r0030_c0097,0.0,0.0
r0031_c0083,0.0,0.0
r0031_c0084,0.0,0.0
r0031_c0085,0.0,0.0
r0031_c0086,0.0,0.0
r0031_c0087,0.0,0.0
r0031_c0088,0.0,0.0
r0031_c0089,0.0,0.0
r0031_c0090,44.44,0.0
r0031_c0091,44.44,1.0
r0031_c0092,88.89,0.0
r0031_c0093,88.89,0.0
r0031_c0094,0.0,0.0
r0031_c0095,0.0,0.0
r0031_c0096,0.0,0.0
r0031_c0097,0.0,0.0
r0032_c0084,0.0,0.0
r0032_c0085,0.0,0.0
r0032_c0086,0.0,0.0
r0032_c0087,0.0,0.0
r0032_c0089,0.0,0.0
r0032_c0090,0.0,0.0
r0032_c0091,0.0,0.0
r0032_c0092,88.89,0.0
r0032_c0093,0.0,0.0
r0032_c0094,0.0,0.0
r0032_c0095,0.0,0.0
r0032_c0096,0.0,0.0
r0032_c0097,0.0,0.0
r0032_c0098,0.0,0.0
r0032_c0100,44.44,0.0
r0032_c0101,0.0,0.0
r0032_c0105,0.0,0.0
r0032_c0114,0.0,0.0
r0033_c0090,0.0,0.0
r0033_c0091,0.0,0.0
r0033_c0092,0.0,0.0
r0033_c0093,0.0,0.0
r0033_c0094,0.0,0.0
r0033_c0095,0.0,0.0
r0033_c0098,0.0,0.0
r0033_c0100,0.0,0.0
r0033_c0101,0.0,0.0
r0033_c0102,0.0,0.0
r0033_c0103,0.0,0.0
r0033_c0104,0.0,0.0
r0033_c0105,0.0,0.0
r0033_c0106,0.0,0.0
r0033_c0107,0.0,0.0
r0033_c0108,0.0,0.0
r0033_c0111,0.0,0.0
r0033_c0112,0.0,0.0
r0033_c0113,0.0,0.0
r0033_c0114,0.0,0.0
r0033_c0115,0.0,0.0
r0034_c0089,0.0,0.0
r0034_c0090,0.0,0.0
r0034_c0091,0.0,0.0
r0034_c0092,0.0,0.0
r0034_c0093,0.0,0.0
r0034_c0094,0.0,0.0
r0034_c0095,0.0,0.0
r0034_c0096,0.0,0.0
r0034_c0097,44.44,0.0
r0034_c0100,0.0,0.0
r0034_c0101,0.0,0.0
r0034_c0102,0.0,0.0
r0034_c0103,0.0,0.0
r0034_c0104,0.0,0.0
r0034_c0105,0.0,0.0
r0034_c0106,0.0,0.0
r0034_c0107,0.0,0.0
r0034_c0108,0.0,0.0
r0034_c0109,0.0,0.0
r0034_c0111,0.0,0.0
r0034_c0112,0.0,0.0
r0034_c0113,0.0,0.0
r0034_c0114,0.0,0.0
r0034_c0115,0.0,0.0
r0034_c0117,0.0,0.0
r0034_c0123,0.0,0.0
r0034_c0124,0.0,0.0
r0034_c0125,0.0,0.0
r0035_c0088,0.0,0.0
r0035_c0089,0.0,0.0
r0035_c0090,0.0,0.0
r0035_c0091,0.0,0.0
r0035_c0092,0.0,0.0
r0035_c0093,0.0,0.0
r0035_c0094,0.0,0.0
r0035_c0095,0.0,0.0
r0035_c0096,0.0,0.0
