cell_id,cell_lat,cell_lon,zone_type,cell_lot_count
r0031_c0085,40.5906996,-73.8105235,Residential,41
r0031_c0086,40.5906996,-73.8087406,Mixed-Use,4
r0031_c0087,40.5906996,-73.8069576,Mixed-Use,6
r0031_c0088,40.5906996,-73.8051747,Mixed-Use,12
r0031_c0089,40.5906996,-73.8033918,Mixed-Use,20
r0031_c0090,40.5906996,-73.8016089,Mixed-Use,19
r0031_c0091,40.5906996,-73.799826,Commercial,10
r0031_c0092,40.5906996,-73.7980431,Residential,16
r0031_c0093,40.5906996,-73.7962602,Commercial,11
r0031_c0094,40.5906996,-73.7944773,Institutional,22
r0031_c0095,40.5906996,-73.7926944,Residential,55
r0031_c0096,40.5906996,-73.7909114,Residential,45
r0031_c0097,40.5906996,-73.7891285,Residential,31
r0032_c0084,40.592051,-73.8123064,Mixed-Use,3
r0032_c0085,40.592051,-73.8105235,Open Space,13
r0032_c0086,40.592051,-73.8087406,Mixed-Use,3
r0032_c0087,40.592051,-73.8069576,Mixed-Use,3
r0032_c0089,40.592051,-73.8033918,Industrial,9
r0032_c0090,40.592051,-73.8016089,Mixed-Use,22
r0032_c0091,40.592051,-73.799826,Mixed-Use,19
r0032_c0092,40.592051,-73.7980431,Residential,47
r0032_c0093,40.592051,-73.7962602,Residential,40
r0032_c0094,40.592051,-73.7944773,Residential,44
r0032_c0095,40.592051,-73.7926944,Institutional,23
r0032_c0096,40.592051,-73.7909114,Mixed-Use,17
r0032_c0097,40.592051,-73.7891285,Mixed-Use,34
r0032_c0098,40.592051,-73.7873456,Mixed-Use,10
r0032_c0100,40.592051,-73.7837798,Mixed-Use,7
r0032_c0101,40.592051,-73.7819969,Open Space,4
r0032_c0105,40.592051,-73.7748652,Open Space,3
r0032_c0114,40.592051,-73.758819,Mixed-Use,3
r0033_c0090,40.5934023,-73.8016089,Mixed-Use,16
r0033_c0091,40.5934023,-73.799826,Residential,52
r0033_c0092,40.5934023,-73.7980431,Residential,42
r0033_c0093,40.5934023,-73.7962602,Mixed-Use,31
r0033_c0094,40.5934023,-73.7944773,Residential,24
r0033_c0095,40.5934023,-73.7926944,Residential,32
r0033_c0098,40.5934023,-73.7873456,Residential,3
r0033_c0100,40.5934023,-73.7837798,Mixed-Use,13
r0033_c0101,40.5934023,-73.7819969,Mixed-Use,6
r0033_c0102,40.5934023,-73.780214,Mixed-Use,9
r0033_c0103,40.5934023,-73.7784311,Mixed-Use,21
r0033_c0104,40.5934023,-73.7766481,Mixed-Use,22
r0033_c0105,40.5934023,-73.7748652,Mixed-Use,26
r0033_c0106,40.5934023,-73.7730823,Mixed-Use,25
r0033_c0107,40.5934023,-73.7712994,Mixed-Use,16
r0033_c0108,40.5934023,-73.7695165,Mixed-Use,3
r0033_c0111,40.5934023,-73.7641678,Residential,16
r0033_c0112,40.5934023,-73.7623848,Mixed-Use,54
r0033_c0113,40.5934023,-73.7606019,Institutional,29
r0033_c0114,40.5934023,-73.758819,Residential,67
r0033_c0115,40.5934023,-73.7570361,Residential,13
r0034_c0089,40.5947537,-73.8033918,Open Space,3
r0034_c0090,40.5947537,-73.8016089,Open Space,29
r0034_c0091,40.5947537,-73.799826,Residential,61
r0034_c0092,40.5947537,-73.7980431,Residential,34
r0034_c0093,40.5947537,-73.7962602,Residential,46
r0034_c0094,40.5947537,-73.7944773,Residential,43
r0034_c0095,40.5947537,-73.7926944,Residential,46
r0034_c0096,40.5947537,-73.7909114,Open Space,7
r0034_c0097,40.5947537,-73.7891285,Open Space,7
r0034_c0100,40.5947537,-73.7837798,Mixed-Use,9
r0034_c0101,40.5947537,-73.7819969,Institutional,3
r0034_c0102,40.5947537,-73.780214,Institutional,4
r0034_c0103,40.5947537,-73.7784311,Residential,51
r0034_c0104,40.5947537,-73.7766481,Residential,56
r0034_c0105,40.5947537,-73.7748652,Residential,60
r0034_c0106,40.5947537,-73.7730823,Residential,55
r0034_c0107,40.5947537,-73.7712994,Residential,59
r0034_c0108,40.5947537,-73.7695165,Mixed-Use,13
r0034_c0109,40.5947537,-73.7677336,Mixed-Use,7
r0034_c0111,40.5947537,-73.7641678,Residential,62
r0034_c0112,40.5947537,-73.7623848,Residential,50
r0034_c0113,40.5947537,-73.7606019,Residential,40
r0034_c0114,40.5947537,-73.758819,Residential,81
r0034_c0115,40.5947537,-73.7570361,Residential,17
r0034_c0117,40.5947537,-73.7534703,Residential,3
r0034_c0123,40.5947537,-73.7427728,Residential,3
r0034_c0124,40.5947537,-73.7409899,Mixed-Use,10
r0034_c0125,40.5947537,-73.739207,Residential,34
r0035_c0088,40.596105,-73.8051747,Mixed-Use,3
r0035_c0089,40.596105,-73.8033918,Open Space,28
r0035_c0090,40.596105,-73.8016089,Residential,55
r0035_c0091,40.596105,-73.799826,Residential,53
r0035_c0092,40.596105,-73.7980431,Residential,44
r0035_c0093,40.596105,-73.7962602,Residential,46
r0035_c0094,40.596105,-73.7944773,Residential,64
r0035_c0095,40.596105,-73.7926944,Residential,47
r0035_c0096,40.596105,-73.7909114,Mixed-Use,10
r0035_c0097,40.596105,-73.7891285,Mixed-Use,3
r0035_c0102,40.596105,-73.780214,Institutional,7
r0035_c0103,40.596105,-73.7784311,Residential,59
r0035_c0104,40.596105,-73.7766481,Residential,49
r0035_c0105,40.596105,-73.7748652,Residential,42
r0035_c0106,40.596105,-73.7730823,Residential,10
r0035_c0107,40.596105,-73.7712994,Residential,20
r0035_c0108,40.596105,-73.7695165,Residential,39
r0035_c0109,40.596105,-73.7677336,Mixed-Use,14
r0035_c0110,40.596105,-73.7659507,Mixed-Use,3
r0035_c0111,40.596105,-73.7641678,Residential,29
r0035_c0112,40.596105,-73.7623848,Residential,38
