cell_id,shop_density_km2,brand_ratio
r0043_c0622,0.0,0.0
r0043_c0623,0.0,0.0
r0043_c0624,0.0,0.0
r0043_c0625,0.0,0.0
r0043_c0626,0.0,0.0
r0043_c0627,0.0,0.0
r0043_c0628,0.0,0.0
r0043_c0629,0.0,0.0
r0043_c0633,0.0,0.0
r0043_c0634,0.0,0.0
r0043_c0635,0.0,0.0
r0043_c0637,0.0,0.0
r0043_c0643,0.0,0.0
r0043_c0672,0.0,0.0
r0043_c0673,0.0,0.0
r0043_c0674,0.0,0.0
r0043_c0675,0.0,0.0
r0043_c0676,0.0,0.0
r0043_c0689,0.0,0.0
r0043_c0690,0.0,0.0
r0043_c0691,0.0,0.0
r0043_c0692,0.0,0.0
r0043_c0693,0.0,0.0
r0043_c0694,0.0,0.0
r0043_c0695,0.0,0.0
r0043_c0696,0.0,0.0
r0043_c0697,0.0,0.0
r0044_c0620,0.0,0.0
r0044_c0621,0.0,0.0
r0044_c0624,0.0,0.0
r0044_c0625,0.0,0.0
r0044_c0627,44.44,1.0
r0044_c0628,0.0,0.0
r0044_c0629,0.0,0.0
r0044_c0630,0.0,0.0
r0044_c0632,0.0,0.0
r0044_c0633,0.0,0.0
r0044_c0634,0.0,0.0
r0044_c0636,0.0,0.0
r0044_c0637,0.0,0.0
r0044_c0639,44.44,1.0
r0044_c0643,0.0,0.0
r0044_c0646,0.0,0.0
r0044_c0657,0.0,0.0
r0044_c0658,0.0,0.0
r0044_c0672,0.0,0.0
r0044_c0673,0.0,0.0
r0044_c0676,0.0,0.0
r0044_c0690,0.0,0.0
r0044_c0691,0.0,0.0
r0044_c0692,0.0,0.0
r0044_c0693,0.0,0.0
r0044_c0694,0.0,0.0
r0045_c0618,0.0,0.0
r0045_c0619,0.0,0.0
r0045_c0620,0.0,0.0
r0045_c0621,0.0,0.0
r0045_c0624,0.0,0.0
r0045_c0625,0.0,0.0
r0045_c0626,0.0,0.0
r0045_c0627,0.0,0.0
r0045_c0628,0.0,0.0
r0045_c0629,0.0,0.0
r0045_c0630,0.0,0.0
r0045_c0631,0.0,0.0
r0045_c0632,0.0,0.0
r0045_c0633,0.0,0.0
r0045_c0634,0.0,0.0
r0045_c0635,0.0,0.0
r0045_c0636,44.44,1.0
r0045_c0637,44.44,0.0
r0045_c0643,0.0,0.0
r0045_c0644,0.0,0.0
r0045_c0645,0.0,0.0
r0045_c0657,0.0,0.0
r0045_c0672,0.0,0.0
r0045_c0673,0.0,0.0
r0045_c0687,0.0,0.0
r0045_c0688,0.0,0.0
r0045_c0689,0.0,0.0
r0045_c0694,88.89,0.5
r0046_c0611,0.0,0.0
r0046_c0618,0.0,0.0
r0046_c0619,0.0,0.0
r0046_c0620,0.0,0.0
r0046_c0624,88.89,0.0
r0046_c0625,88.89,0.0
r0046_c0626,88.89,0.0
r0046_c0627,0.0,0.0
r0046_c0628,0.0,0.0
r0046_c0644,0.0,0.0
r0046_c0656,0.0,0.0
r0046_c0657,0.0,0.0
r0046_c0669,0.0,0.0
r0046_c0687,0.0,0.0
r0046_c0689,0.0,0.0
r0046_c0690,0.0,0.0
r0046_c0694,0.0,0.0
r0046_c0695,0.0,0.0
r0046_c0703,0.0,0.0
r0046_c0714,0.0,0.0
r0047_c0525,0.0,0.0
r0047_c0526,0.0,0.0
r0047_c0576,0.0,0.0
r0047_c0598,0.0,0.0
r0047_c0599,0.0,0.0
r0047_c0611,0.0,0.0
r0047_c0618,0.0,0.0
r0047_c0619,0.0,0.0
r0047_c0623,0.0,0.0
r0047_c0624,0.0,0.0
r0047_c0625,0.0,0.0
r0047_c0626,44.44,0.0
r0047_c0627,0.0,0.0
r0047_c0628,0.0,0.0
r0047_c0629,0.0,0.0
r0047_c0630,0.0,0.0
r0047_c0668,0.0,0.0
r0047_c0669,0.0,0.0
r0047_c0687,0.0,0.0
r0047_c0688,0.0,0.0
r0047_c0689,0.0,0.0
r0047_c0690,0.0,0.0
r0047_c0691,0.0,0.0
r0047_c0694,0.0,0.0
r0047_c0695,0.0,0.0
r0047_c0703,0.0,0.0
r0047_c0704,0.0,0.0
r0047_c0713,0.0,0.0
r0047_c0714,0.0,0.0
r0048_c0523,0.0,0.0
r0048_c0524,0.0,0.0
r0048_c0525,0.0,0.0
r0048_c0526,0.0,0.0
r0048_c0594,0.0,0.0
r0048_c0595,0.0,0.0
r0048_c0596,0.0,0.0
r0048_c0597,0.0,0.0
r0048_c0598,0.0,0.0
r0048_c0623,0.0,0.0
r0048_c0624,0.0,0.0
r0048_c0625,44.44,1.0
r0048_c0626,44.44,0.0
r0048_c0627,0.0,0.0
r0048_c0628,0.0,0.0
r0048_c0629,0.0,0.0
r0048_c0630,0.0,0.0
r0048_c0631,0.0,0.0
r0048_c0632,0.0,0.0
r0048_c0633,0.0,0.0
r0048_c0644,0.0,0.0
r0048_c0645,0.0,0.0
r0048_c0687,0.0,0.0
r0048_c0708,0.0,0.0
r0049_c0524,0.0,0.0
r0049_c0525,0.0,0.0
r0049_c0526,0.0,0.0
r0049_c0535,0.0,0.0
r0049_c0574,0.0,0.0
r0049_c0622,0.0,0.0
r0049_c0623,0.0,0.0
r0049_c0624,0.0,0.0
r0049_c0625,0.0,0.0
r0049_c0626,0.0,0.0
r0049_c0627,0.0,0.0
r0049_c0629,0.0,0.0
r0049_c0630,0.0,0.0
r0049_c0633,0.0,0.0
r0049_c0634,0.0,0.0
r0049_c0635,0.0,0.0
r0049_c0636,0.0,0.0
r0049_c0644,0.0,0.0
r0049_c0645,0.0,0.0
r0049_c0646,0.0,0.0
r0049_c0647,0.0,0.0
r0049_c0667,0.0,0.0
r0050_c0526,0.0,0.0
r0050_c0534,0.0,0.0
r0050_c0535,0.0,0.0
r0050_c0536,0.0,0.0
r0050_c0556,0.0,0.0
r0050_c0572,0.0,0.0
r0050_c0573,0.0,0.0
r0050_c0574,0.0,0.0
r0050_c0621,0.0,0.0
r0050_c0623,0.0,0.0
r0050_c0624,0.0,0.0
r0050_c0625,0.0,0.0
r0050_c0626,0.0,0.0
r0050_c0627,0.0,0.0
r0050_c0628,0.0,0.0
r0050_c0629,0.0,0.0
r0050_c0634,0.0,0.0
r0050_c0635,0.0,0.0
r0050_c0636,0.0,0.0
r0050_c0637,0.0,0.0
r0050_c0645,0.0,0.0
r0050_c0646,0.0,0.0
r0051_c0535,0.0,0.0
r0051_c0536,0.0,0.0
r0051_c0556,0.0,0.0
r0051_c0572,0.0,0.0
r0051_c0573,0.0,0.0
r0051_c0622,0.0,0.0
r0051_c0623,0.0,0.0
r0051_c0624,0.0,0.0
r0051_c0625,0.0,0.0
r0051_c0626,0.0,0.0
r0051_c0627,0.0,0.0
r0051_c0628,0.0,0.0
r0051_c0629,0.0,0.0
r0051_c0634,0.0,0.0
r0051_c0635,0.0,0.0
r0051_c0636,0.0,0.0
r0051_c0637,0.0,0.0
r0051_c0638,0.0,0.0
r0051_c0646,0.0,0.0
r0052_c0556,0.0,0.0
r0052_c0621,0.0,0.0
r0052_c0622,0.0,0.0
r0052_c0623,0.0,0.0
r0052_c0626,0.0,0.0
r0052_c0627,0.0,0.0
r0052_c0635,0.0,0.0
r0052_c0636,0.0,0.0
r0052_c0637,0.0,0.0
r0053_c0534,0.0,0.0
r0053_c0556,0.0,0.0
r0053_c0557,0.0,0.0
r0053_c0581,0.0,0.0
r0053_c0621,44.44,1.0
r0053_c0622,0.0,0.0
r0053_c0623,0.0,0.0
r0053_c0624,0.0,0.0
r0053_c0674,0.0,0.0
r0054_c0528,0.0,0.0
r0054_c0529,0.0,0.0
r0054_c0583,0.0,0.0
r0054_c0621,0.0,0.0
r0054_c0674,0.0,0.0
r0055_c0587,0.0,0.0
r0055_c0588,0.0,0.0
r0055_c0589,0.0,0.0
r0055_c0620,0.0,0.0
r0055_c0621,0.0,0.0
r0055_c0705,0.0,0.0
r0055_c0706,0.0,0.0
r0056_c0588,0.0,0.0
r0056_c0589,0.0,0.0
r0056_c0601,0.0,0.0
r0056_c0602,0.0,0.0
r0056_c0625,0.0,0.0
r0056_c0707,0.0,0.0
r0057_c0588,0.0,0.0
r0057_c0589,0.0,0.0
r0057_c0602,0.0,0.0
r0057_c0617,0.0,0.0
r0057_c0620,0.0,0.0
r0057_c0625,0.0,0.0
r0057_c0664,0.0,0.0
r0057_c0670,0.0,0.0
r0057_c0729,0.0,0.0
r0057_c0730,0.0,0.0
r0057_c0731,0.0,0.0
r0058_c0548,0.0,0.0
r0058_c0588,0.0,0.0
r0058_c0589,0.0,0.0
r0058_c0609,0.0,0.0
r0058_c0610,0.0,0.0
r0058_c0617,0.0,0.0
r0058_c0621,0.0,0.0
r0058_c0630,0.0,0.0
r0058_c0667,0.0,0.0
r0058_c0668,0.0,0.0
r0058_c0669,0.0,0.0
r0058_c0684,0.0,0.0
r0058_c0730,0.0,0.0
r0058_c0731,0.0,0.0
r0059_c0548,0.0,0.0
r0059_c0549,0.0,0.0
r0059_c0589,0.0,0.0
r0059_c0610,0.0,0.0
r0059_c0628,0.0,0.0
r0059_c0629,0.0,0.0
r0059_c0630,0.0,0.0
r0059_c0666,0.0,0.0
r0059_c0667,0.0,0.0
r0059_c0668,0.0,0.0
r0059_c0669,0.0,0.0
r0059_c0677,0.0,0.0
r0059_c0678,0.0,0.0
r0059_c0710,0.0,0.0
r0059_c0711,0.0,0.0
r0059_c0728,0.0,0.0
r0060_c0534,0.0,0.0
