cell_id,cell_lat,cell_lon,zone_type,cell_building_count,amenity_density,amenity_ratio_food_drink,avg_height,avg_floors,avg_construction_year,building_count,residential_ratio,landuse_entropy,tourism_density,shop_density_km2,brand_ratio
r0015_c0499,48.1401725,2.4741488,residential,10,0.0,0.0,4.1,1.4,1918.0,23,0.435,1.1916,0.0,0.0,0.0
r0015_c0500,48.1401725,2.4762007,residential,27,0.0,0.0,4.1,1.2,1904.0,45,0.422,1.6208,0.0,0.0,0.0
r0015_c0501,48.1401725,2.4782527,residential,16,44.44,0.0,3.8,1.1,1968.0,24,0.417,2.075,0.0,0.0,0.0
r0015_c0502,48.1401725,2.4803046,residential,11,0.0,0.0,4.4,1.3,2002.0,12,0.667,1.4183,0.0,0.0,0.0
r0015_c0506,48.1401725,2.4885124,residential,13,0.0,0.0,3.9,1.1,1863.0,29,0.414,1.6153,0.0,0.0,0.0
r0015_c0564,48.1401725,2.6075248,residential,18,0.0,0.0,3.1,1.1,1851.0,50,0.26,1.8317,0.0,0.0,0.0
r0015_c0565,48.1401725,2.6095768,residential,23,44.44,0.0,3.4,1.2,1841.0,43,0.442,1.6888,0.0,0.0,0.0
r0015_c0566,48.1401725,2.6116287,residential,13,0.0,0.0,3.6,1.1,1950.0,34,0.235,2.0419,0.0,0.0,0.0
r0015_c0567,48.1401725,2.6136806,residential,12,0.0,0.0,3.3,1.1,1927.0,25,0.4,1.9086,0.0,0.0,0.0
r0015_c0568,48.1401725,2.6157326,residential,15,0.0,0.0,3.1,1.1,1869.0,37,0.378,1.6976,0.0,0.0,0.0
r0015_c0569,48.1401725,2.6177845,residential,5,0.0,0.0,3.8,1.2,1902.0,12,0.417,1.5546,0.0,0.0,0.0
r0015_c0595,48.1401725,2.6711349,residential,4,0.0,0.0,4.0,1.1,1992.0,10,0.3,1.2955,0.0,0.0,0.0
r0015_c0596,48.1401725,2.6731869,residential,4,0.0,0.0,4.1,1.2,1995.0,7,0.429,1.8424,0.0,0.0,0.0
r0015_c0602,48.1401725,2.6854985,residential,5,0.0,0.0,2.4,1.0,,6,0.667,1.2516,0.0,0.0,0.0
r0015_c0605,48.1401725,2.6916543,residential,5,44.44,0.0,4.2,1.1,1973.0,7,0.571,1.6645,0.0,0.0,0.0
