cell_id,cell_lat,cell_lon,zone_type,cell_building_count
r0036_c0625,48.1685508,2.7326931,residential,6
r0036_c0626,48.1685508,2.734745,residential,3
r0036_c0634,48.1685508,2.7511606,commercial,4
r0036_c0639,48.1685508,2.7614202,residential,11
r0036_c0640,48.1685508,2.7634722,residential,9
r0036_c0694,48.1685508,2.8742769,residential,12
r0036_c0695,48.1685508,2.8763288,residential,22
r0036_c0696,48.1685508,2.8783808,residential,16
r0036_c0697,48.1685508,2.8804327,residential,6
r0036_c0698,48.1685508,2.8824846,residential,20
r0036_c0703,48.1685508,2.8927443,commercial,4
r0036_c0704,48.1685508,2.8947963,commercial,4
r0037_c0586,48.1699022,2.6526675,residential,4
r0037_c0617,48.1699022,2.7162776,residential,4
r0037_c0625,48.1699022,2.7326931,residential,4
r0037_c0633,48.1699022,2.7491086,residential,3
r0037_c0634,48.1699022,2.7511606,residential,7
r0037_c0640,48.1699022,2.7634722,residential,4
r0037_c0693,48.1699022,2.8722249,residential,10
r0037_c0694,48.1699022,2.8742769,residential,11
r0037_c0695,48.1699022,2.8763288,residential,18
r0037_c0696,48.1699022,2.8783808,residential,13
r0037_c0697,48.1699022,2.8804327,residential,12
r0037_c0698,48.1699022,2.8824846,residential,14
r0037_c0702,48.1699022,2.8906924,industrial,3
r0037_c0704,48.1699022,2.8947963,commercial,4
r0038_c0585,48.1712536,2.6506155,residential,15
r0038_c0627,48.1712536,2.736797,residential,25
r0038_c0628,48.1712536,2.7388489,residential,21
r0038_c0633,48.1712536,2.7491086,residential,13
r0038_c0693,48.1712536,2.8722249,residential,4
r0038_c0694,48.1712536,2.8742769,residential,7
r0038_c0695,48.1712536,2.8763288,residential,13
r0038_c0696,48.1712536,2.8783808,residential,11
r0038_c0697,48.1712536,2.8804327,residential,15
r0038_c0698,48.1712536,2.8824846,residential,4
r0038_c0703,48.1712536,2.8927443,industrial,3
r0038_c0714,48.1712536,2.9153157,residential,8
r0039_c0585,48.1726049,2.6506155,residential,6
r0039_c0586,48.1726049,2.6526675,residential,4
r0039_c0611,48.1726049,2.703966,commercial,6
r0039_c0612,48.1726049,2.7060179,commercial,4
r0039_c0625,48.1726049,2.7326931,residential,3
r0039_c0627,48.1726049,2.736797,residential,44
r0039_c0628,48.1726049,2.7388489,residential,25
r0039_c0632,48.1726049,2.7470567,residential,5
r0039_c0693,48.1726049,2.8722249,commercial,9
r0039_c0694,48.1726049,2.8742769,commercial,5
r0039_c0695,48.1726049,2.8763288,residential,21
r0039_c0696,48.1726049,2.8783808,residential,19
r0039_c0697,48.1726049,2.8804327,residential,8
r0039_c0698,48.1726049,2.8824846,residential,6
r0040_c0626,48.1739563,2.734745,residential,8
r0040_c0627,48.1739563,2.736797,residential,17
r0040_c0628,48.1739563,2.7388489,residential,5
r0040_c0629,48.1739563,2.7409009,residential,4
r0040_c0630,48.1739563,2.7429528,industrial,4
r0040_c0631,48.1739563,2.7450047,residential,7
r0040_c0632,48.1739563,2.7470567,residential,24
r0040_c0692,48.1739563,2.870173,residential,6
r0040_c0693,48.1739563,2.8722249,commercial,25
r0040_c0694,48.1739563,2.8742769,residential,15
r0040_c0695,48.1739563,2.8763288,residential,18
r0040_c0696,48.1739563,2.8783808,residential,3
r0040_c0707,48.1739563,2.9009521,industrial,3
r0041_c0611,48.1753076,2.703966,commercial,6
r0041_c0612,48.1753076,2.7060179,commercial,4
r0041_c0626,48.1753076,2.734745,residential,13
r0041_c0627,48.1753076,2.736797,residential,19
r0041_c0629,48.1753076,2.7409009,residential,5
r0041_c0630,48.1753076,2.7429528,industrial,6
r0041_c0631,48.1753076,2.7450047,residential,18
r0041_c0632,48.1753076,2.7470567,residential,39
r0041_c0633,48.1753076,2.7491086,residential,22
r0041_c0675,48.1753076,2.83529,residential,4
r0041_c0692,48.1753076,2.870173,commercial,31
r0041_c0693,48.1753076,2.8722249,commercial,93
r0041_c0694,48.1753076,2.8742769,residential,14
r0041_c0695,48.1753076,2.8763288,residential,9
