city,cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,shop_density_km2,office_density,road_density_primary,transit_stop_density,intersection_density,nightlife_density
NYC,r0017_c0022,40.7098999,-74.0065396,Commercial,25,3244.44,0.2055,10.9,1921,2000411.0,29.0,1.9512,222.22,444.44,6.87,400.0,133.33,88.89
NYC,r0017_c0023,40.7098999,-74.0047552,Institutional,7,4800.0,0.0185,10.8,1934,1289848.0,13.0,1.4909,0.0,0.0,0.0,44.44,133.33,0.0
NYC,r0017_c0024,40.7098999,-74.0029708,Residential,3,2933.33,0.0,8.0,1970,2819174.0,12.0,0.7418,0.0,44.44,3.38,44.44,133.33,0.0
NYC,r0017_c0028,40.7098999,-73.9958333,Industrial,3,8133.33,0.0,,,0.0,0.0,-0.0,44.44,0.0,0.0,0.0,266.67,0.0
NYC,r0018_c0020,40.7112512,-74.0101084,Commercial,5,2488.89,0.1071,30.0,1937,1527136.0,3.0,-0.0,1111.11,0.0,0.0,711.11,0.0,0.0
NYC,r0018_c0021,40.7112512,-74.008324,Residential,9,1688.89,0.1579,16.5,1936,1151837.0,6.0,1.5079,266.67,0.0,10.1,444.44,133.33,0.0
NYC,r0018_c0022,40.7112512,-74.0065396,Mixed-Use,18,5733.33,0.062,15.1,1930,1640459.0,23.0,1.9673,222.22,44.44,4.9,400.0,444.44,44.44
NYC,r0018_c0025,40.7112512,-74.0011864,Commercial,3,6177.78,0.0072,7.0,1944,1111001.0,2.0,0.9988,88.89,0.0,0.0,88.89,222.22,0.0
NYC,r0018_c0028,40.7112512,-73.9958333,Mixed-Use,19,3022.22,0.0588,5.7,1911,1585536.0,31.0,0.3153,133.33,0.0,0.0,0.0,44.44,0.0
NYC,r0018_c0029,40.7112512,-73.9940489,Open Space,15,6488.89,0.0205,5.6,1914,155674.0,14.0,1.5057,88.89,0.0,0.0,0.0,133.33,0.0
NYC,r0018_c0031,40.7112512,-73.9904801,Mixed-Use,4,3555.56,0.0,10.3,1982,739757.0,13.0,1.1669,44.44,0.0,0.0,44.44,355.56,0.0
NYC,r0018_c0033,40.7112512,-73.9869113,Mixed-Use,6,2311.11,0.0,7.7,1989,321402.0,12.0,1.1517,0.0,0.0,0.0,0.0,222.22,0.0
NYC,r0018_c0035,40.7112512,-73.9833425,Residential,3,3644.44,0.0,13.8,1936,353288.0,4.0,0.8552,0.0,0.0,0.0,0.0,311.11,0.0
NYC,r0018_c0036,40.7112512,-73.9815581,Residential,3,3955.56,0.0,21.0,1962,251500.0,2.0,0.8778,0.0,0.0,0.0,88.89,88.89,0.0
NYC,r0019_c0020,40.7126026,-74.0101084,Commercial,6,1911.11,0.1628,11.7,1933,1229976.0,3.0,-0.0,177.78,88.89,3.42,622.22,177.78,0.0
NYC,r0019_c0021,40.7126026,-74.008324,Mixed-Use,11,3911.11,0.0682,24.2,1931,2873428.0,12.0,1.8211,266.67,222.22,0.0,711.11,177.78,44.44
NYC,r0019_c0025,40.7126026,-74.0011864,Commercial,3,1777.78,0.0,13.3,1974,1346119.0,5.0,0.7358,0.0,88.89,0.0,0.0,133.33,0.0
