cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,tourism_density,shop_density_km2,brand_ratio
cell_00012062,29.51327689375708,-95.15366542801996,Residential,4,0.0,0.0,1.0,2005.0,31303,6,-0.0,0.0,0.0,0.0
cell_00012086,29.51327689375708,-95.11634384852071,Institutional,3,133.33,0.6667,1.0,,1014848,29,1.6575,0.0,44.44,0.0
cell_00012733,29.514625876165955,-95.16610595451972,Residential,4,0.0,0.0,1.0,2014.0,40059,7,1.3666,0.0,0.0,0.0
cell_00012734,29.514625876165955,-95.16455088870724,Residential,6,0.0,0.0,1.0,2007.0,29975,8,0.7287,0.0,0.0,0.0
cell_00012735,29.514625876165955,-95.16299582289476,Residential,14,0.0,0.0,1.0,2002.0,54417,14,-0.0,0.0,0.0,0.0
cell_00012736,29.514625876165955,-95.16144075708227,Residential,19,0.0,0.0,1.0,2004.0,67571,19,-0.0,0.0,0.0,0.0
cell_00012737,29.514625876165955,-95.15988569126984,Residential,16,0.0,0.0,1.0,2003.0,55131,16,-0.0,0.0,0.0,0.0
cell_00012738,29.514625876165955,-95.15833062545737,Residential,12,0.0,0.0,1.0,2004.0,48597,12,-0.0,0.0,0.0,0.0
cell_00012739,29.514625876165955,-95.1567755596449,Residential,13,0.0,0.0,1.0,2009.0,60365,13,-0.0,0.0,0.0,0.0
cell_00012740,29.514625876165955,-95.15522049383242,Residential,11,0.0,0.0,1.0,2004.0,47596,11,-0.0,0.0,0.0,0.0
cell_00012741,29.514625876165955,-95.15366542801996,Residential,5,44.44,0.0,1.0,2010.0,28612,5,-0.0,0.0,0.0,0.0
cell_00013414,29.515974858574832,-95.16299582289476,Residential,9,0.0,0.0,1.0,2003.0,30695,9,-0.0,0.0,0.0,0.0
cell_00013415,29.515974858574832,-95.16144075708227,Residential,14,0.0,0.0,1.0,2004.0,47301,14,-0.0,0.0,0.0,0.0
cell_00013416,29.515974858574832,-95.15988569126984,Residential,13,0.0,0.0,1.0,2002.0,44789,13,0.3112,0.0,0.0,0.0
cell_00013417,29.515974858574832,-95.15833062545737,Residential,8,0.0,0.0,1.0,2008.0,37648,8,-0.0,0.0,0.0,0.0
cell_00013418,29.515974858574832,-95.1567755596449,Residential,14,0.0,0.0,1.0,2006.0,63234,14,-0.0,0.0,0.0,0.0
cell_00013419,29.515974858574832,-95.15522049383242,Residential,4,0.0,0.0,1.0,2003.0,14486,4,-0.0,0.0,0.0,0.0
cell_00014093,29.51732384098371,-95.16299582289476,Mixed-Use,7,0.0,0.0,1.0,2002.0,19483,8,0.9671,0.0,0.0,0.0
cell_00014094,29.51732384098371,-95.16144075708227,Residential,21,0.0,0.0,1.0,2004.0,77342,21,-0.0,0.0,0.0,0.0
