cell_id,shop_density_km2,brand_ratio
cell_00027666,0.0,0.0
cell_00027667,0.0,0.0
cell_00027668,0.0,0.0
cell_00027669,0.0,0.0
cell_00027670,0.0,0.0
cell_00027671,0.0,0.0
cell_00027672,0.0,0.0
cell_00027685,222.22,0.6
cell_00027693,177.78,1.0
cell_00027694,0.0,0.0
cell_00027698,0.0,0.0
cell_00027700,0.0,0.0
cell_00028334,0.0,0.0
cell_00028336,0.0,0.0
cell_00028337,0.0,0.0
cell_00028338,0.0,0.0
cell_00028339,0.0,0.0
cell_00028340,0.0,0.0
cell_00028341,44.44,0.0
cell_00028342,0.0,0.0
cell_00028343,0.0,0.0
cell_00028344,0.0,0.0
cell_00028345,0.0,0.0
cell_00028346,0.0,0.0
cell_00028347,0.0,0.0
cell_00028348,0.0,0.0
cell_00028349,0.0,0.0
cell_00028350,0.0,0.0
cell_00028367,0.0,0.0
cell_00028368,0.0,0.0
cell_00028372,44.44,0.0
cell_00028373,222.22,0.6
cell_00028377,88.89,0.5
cell_00028378,0.0,0.0
cell_00028379,0.0,0.0
cell_00028398,0.0,0.0
cell_00029017,0.0,0.0
cell_00029018,0.0,0.0
cell_00029020,0.0,0.0
cell_00029021,0.0,0.0
cell_00029022,0.0,0.0
cell_00029024,0.0,0.0
cell_00029026,0.0,0.0
cell_00029027,0.0,0.0
cell_00029028,0.0,0.0
cell_00029041,1822.22,0.4146
cell_00029045,0.0,0.0
cell_00029046,0.0,0.0
cell_00029047,0.0,0.0
cell_00029049,0.0,0.0
cell_00029050,177.78,0.25
cell_00029056,0.0,0.0
cell_00029059,0.0,0.0
cell_00029071,133.33,0.6667
cell_00029076,0.0,0.0
cell_00029077,0.0,0.0
cell_00029700,0.0,0.0
cell_00029706,0.0,0.0
cell_00029720,0.0,0.0
cell_00029723,0.0,0.0
cell_00029724,0.0,0.0
cell_00029725,0.0,0.0
cell_00029726,0.0,0.0
cell_00029727,0.0,0.0
cell_00029746,400.0,0.3333
cell_00029758,0.0,0.0
cell_00029760,0.0,0.0
cell_00030398,133.33,0.6667
cell_00030402,0.0,0.0
cell_00030403,0.0,0.0
cell_00030404,0.0,0.0
cell_00030405,0.0,0.0
cell_00030406,0.0,0.0
cell_00030414,0.0,0.0
cell_00030424,0.0,0.0
cell_00030425,0.0,0.0
cell_00030426,0.0,0.0
cell_00030428,88.89,0.0
cell_00030435,88.89,0.0
cell_00030440,0.0,0.0
cell_00030441,0.0,0.0
cell_00031052,0.0,0.0
cell_00031073,88.89,1.0
cell_00031076,133.33,1.0
cell_00031080,44.44,0.0
cell_00031081,0.0,0.0
cell_00031082,0.0,0.0
cell_00031083,0.0,0.0
cell_00031084,0.0,0.0
cell_00031085,0.0,0.0
cell_00031090,88.89,1.0
cell_00031104,0.0,0.0
cell_00031116,0.0,0.0
cell_00031117,0.0,0.0
cell_00031119,0.0,0.0
cell_00031120,0.0,0.0
cell_00031123,0.0,0.0
cell_00031124,0.0,0.0
cell_00031125,0.0,0.0
cell_00031159,222.22,0.0
cell_00031160,44.44,0.0
cell_00031729,0.0,0.0
cell_00031758,0.0,0.0
cell_00031759,0.0,0.0
cell_00031760,0.0,0.0
cell_00031761,0.0,0.0
cell_00031762,0.0,0.0
cell_00031763,0.0,0.0
cell_00031764,0.0,0.0
cell_00031765,0.0,0.0
cell_00031768,0.0,0.0
cell_00031769,0.0,0.0
cell_00031770,0.0,0.0
cell_00031771,0.0,0.0
cell_00031799,0.0,0.0
cell_00031801,0.0,0.0
cell_00031802,0.0,0.0
cell_00031803,0.0,0.0
cell_00031804,0.0,0.0
cell_00032410,0.0,0.0
cell_00032436,44.44,1.0
cell_00032437,0.0,0.0
cell_00032438,0.0,0.0
cell_00032439,0.0,0.0
cell_00032440,0.0,0.0
cell_00032441,0.0,0.0
cell_00032442,0.0,0.0
cell_00032443,0.0,0.0
cell_00032446,0.0,0.0
cell_00032447,0.0,0.0
cell_00032448,0.0,0.0
cell_00032449,0.0,0.0
