cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,shop_density_km2,office_density,road_density_primary,transit_stop_density,intersection_density,nightlife_density
r0246_c0152,41.9814742,-87.6636257,Residential,35,44.44,0.0,,,,,1.7666,0.0,0.0,0.0,0.0,88.89,0.0
r0246_c0153,41.9814742,-87.6618098,Residential,29,0.0,0.0,,,,,1.8329,0.0,0.0,0.0,0.0,0.0,0.0
r0246_c0154,41.9814742,-87.6599939,Residential,35,444.44,0.1,,,,,3.0691,177.78,0.0,0.0,177.78,44.44,88.89
r0246_c0155,41.9814742,-87.658178,Residential,43,133.33,0.0,,,,,2.221,0.0,0.0,0.0,0.0,44.44,0.0
r0246_c0156,41.9814742,-87.6563622,Residential,172,133.33,0.0,,,,,1.2784,0.0,0.0,0.0,0.0,0.0,0.0
r0246_c0157,41.9814742,-87.6545463,Residential,930,533.33,0.0,,,,,0.129,0.0,0.0,0.0,88.89,88.89,0.0
r0247_c0058,41.9828255,-87.8343176,Residential,7,488.89,0.0909,,,,,0.7219,0.0,0.0,0.0,44.44,177.78,44.44
r0247_c0062,41.9828255,-87.8270541,Residential,13,44.44,0.0,,,,,0.9183,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0063,41.9828255,-87.8252382,Residential,19,44.44,0.0,,,,,0.2352,0.0,0.0,0.0,0.0,44.44,0.0
r0247_c0064,41.9828255,-87.8234223,Residential,21,88.89,0.0,,,,,1.0529,0.0,44.44,0.0,0.0,44.44,0.0
r0247_c0065,41.9828255,-87.8216065,Residential,28,0.0,0.0,,,,,1.8874,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0066,41.9828255,-87.8197906,Residential,28,0.0,0.0,,,,,2.3301,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0067,41.9828255,-87.8179747,Residential,22,0.0,0.0,,,,,2.5449,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0068,41.9828255,-87.8161588,Residential,10,0.0,0.0,,,,,2.3899,0.0,0.0,0.0,0.0,88.89,0.0
r0247_c0069,41.9828255,-87.814343,Residential,12,44.44,0.0,,,,,1.3921,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0070,41.9828255,-87.8125271,Residential,18,0.0,0.0,,,,,2.0495,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0071,41.9828255,-87.8107112,Residential,27,0.0,0.0,,,,,0.549,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0072,41.9828255,-87.8088954,Residential,27,0.0,0.0,,,,,0.6611,0.0,0.0,0.0,177.78,0.0,0.0
r0247_c0073,41.9828255,-87.8070795,Commercial,22,177.78,0.25,,,,,2.2238,0.0,0.0,0.0,311.11,88.89,0.0
r0247_c0074,41.9828255,-87.8052636,Residential,11,0.0,0.0,,,,,2.1085,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0075,41.9828255,-87.8034477,Residential,18,0.0,0.0,,,,,2.1626,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0076,41.9828255,-87.8016319,Residential,13,0.0,0.0,,,,,1.6337,0.0,0.0,0.0,0.0,88.89,0.0
r0247_c0077,41.9828255,-87.799816,Residential,19,0.0,0.0,,,,,2.581,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0078,41.9828255,-87.7980001,Residential,13,0.0,0.0,,,,,1.8231,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0079,41.9828255,-87.7961843,Residential,15,0.0,0.0,,,,,2.4772,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0080,41.9828255,-87.7943684,Residential,9,44.44,0.0,,,,,2.1258,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0081,41.9828255,-87.7925525,Residential,6,0.0,0.0,,,,,2.2516,0.0,0.0,0.0,0.0,133.33,0.0
r0247_c0082,41.9828255,-87.7907366,Mixed-Use,3,266.67,0.0,,,,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0083,41.9828255,-87.7889208,Residential,10,0.0,0.0,,,,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0084,41.9828255,-87.7871049,Residential,15,0.0,0.0,,,,,1.5395,0.0,0.0,0.0,88.89,44.44,0.0
r0247_c0085,41.9828255,-87.785289,Residential,21,0.0,0.0,,,,,1.6412,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0086,41.9828255,-87.7834732,Commercial,5,44.44,0.0,,,,,1.9219,0.0,0.0,0.0,44.44,44.44,0.0
r0247_c0087,41.9828255,-87.7816573,Commercial,28,0.0,0.0,,,,,2.4886,0.0,0.0,0.0,44.44,44.44,0.0
r0247_c0088,41.9828255,-87.7798414,Residential,32,44.44,1.0,,,,,2.5569,44.44,0.0,0.0,0.0,44.44,0.0
r0247_c0089,41.9828255,-87.7780255,Residential,42,88.89,0.0,,,,,1.7758,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0090,41.9828255,-87.7762097,Residential,31,0.0,0.0,,,,,1.733,0.0,0.0,0.0,0.0,44.44,0.0
r0247_c0091,41.9828255,-87.7743938,Residential,45,444.44,0.2,,,,,3.0379,266.67,0.0,0.0,88.89,133.33,0.0
r0247_c0092,41.9828255,-87.7725779,Residential,32,44.44,0.0,,,,,2.4444,0.0,0.0,0.0,0.0,88.89,0.0
r0247_c0093,41.9828255,-87.7707621,Residential,60,0.0,0.0,,,,,1.3319,0.0,0.0,0.0,0.0,133.33,0.0
r0247_c0094,41.9828255,-87.7689462,Residential,27,0.0,0.0,,,,,1.9216,0.0,0.0,0.0,88.89,133.33,0.0
r0247_c0095,41.9828255,-87.7671303,Residential,47,0.0,0.0,,,,,1.9627,0.0,0.0,0.0,0.0,44.44,0.0
r0247_c0096,41.9828255,-87.7653145,Residential,21,44.44,0.0,,,,,2.3068,0.0,0.0,0.0,44.44,88.89,0.0
r0247_c0097,41.9828255,-87.7634986,Commercial,15,88.89,0.5,,,,,2.4116,44.44,44.44,0.0,0.0,88.89,0.0
r0247_c0098,41.9828255,-87.7616827,Commercial,4,0.0,0.0,,,,,1.371,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0099,41.9828255,-87.7598668,Residential,20,44.44,0.0,,,,,1.9916,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0104,41.9828255,-87.7507875,Residential,7,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0105,41.9828255,-87.7489716,Residential,9,0.0,0.0,,,,,0.7732,0.0,0.0,0.0,0.0,44.44,0.0
r0247_c0106,41.9828255,-87.7471557,Residential,5,0.0,0.0,,,,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0107,41.9828255,-87.7453399,Residential,22,88.89,0.0,,,,,2.8871,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0108,41.9828255,-87.743524,Residential,18,0.0,0.0,,,,,1.4256,0.0,0.0,0.0,0.0,44.44,0.0
r0247_c0109,41.9828255,-87.7417081,Residential,19,0.0,0.0,,,,,2.1244,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0110,41.9828255,-87.7398923,Residential,19,44.44,0.0,,,,,2.3774,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0111,41.9828255,-87.7380764,Residential,17,133.33,0.0,,,,,2.5172,0.0,0.0,0.0,0.0,44.44,0.0
r0247_c0112,41.9828255,-87.7362605,Commercial,6,88.89,0.0,,,,,1.9183,0.0,0.0,0.0,0.0,44.44,0.0
r0247_c0114,41.9828255,-87.7326288,Residential,16,44.44,0.0,,,,,2.1556,0.0,0.0,0.0,0.0,44.44,0.0
r0247_c0115,41.9828255,-87.7308129,Residential,21,44.44,0.0,,,,,1.5618,0.0,0.0,0.0,0.0,44.44,0.0
r0247_c0116,41.9828255,-87.728997,Residential,14,133.33,0.0,,,,,2.2244,0.0,0.0,0.0,133.33,88.89,0.0
r0247_c0117,41.9828255,-87.7271812,Residential,40,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,133.33,0.0
r0247_c0122,41.9828255,-87.7181018,Residential,9,800.0,0.1111,,,,,2.1556,0.0,0.0,0.0,0.0,311.11,0.0
r0247_c0123,41.9828255,-87.7162859,Residential,61,88.89,0.0,,,,,2.581,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0124,41.9828255,-87.7144701,Residential,24,88.89,0.0,,,,,2.1424,44.44,0.0,0.0,88.89,177.78,0.0
r0247_c0125,41.9828255,-87.7126542,Residential,21,311.11,0.4286,,,,,2.1972,44.44,0.0,0.0,0.0,88.89,0.0
r0247_c0126,41.9828255,-87.7108383,Residential,35,311.11,0.4286,,,,,2.7208,0.0,0.0,0.0,0.0,88.89,44.44
r0247_c0127,41.9828255,-87.7090224,Residential,46,311.11,0.1429,,,,,2.9524,133.33,0.0,0.0,0.0,133.33,0.0
r0247_c0129,41.9828255,-87.7053907,Residential,17,44.44,0.0,,,,,2.2464,0.0,0.0,0.0,0.0,44.44,0.0
r0247_c0130,41.9828255,-87.7035748,Residential,32,0.0,0.0,,,,,2.4586,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0131,41.9828255,-87.701759,Residential,29,0.0,0.0,,,,,2.119,0.0,0.0,0.0,0.0,44.44,0.0
r0247_c0132,41.9828255,-87.6999431,Residential,35,44.44,0.0,,,,,1.7571,0.0,0.0,0.0,88.89,88.89,0.0
r0247_c0133,41.9828255,-87.6981272,Residential,37,44.44,0.0,,,,,2.2298,0.0,0.0,0.0,0.0,88.89,0.0
r0247_c0134,41.9828255,-87.6963113,Residential,49,133.33,0.0,,,,,2.5762,0.0,0.0,0.0,88.89,0.0,0.0
r0247_c0135,41.9828255,-87.6944955,Residential,56,355.56,0.0,,,,,1.9564,88.89,0.0,0.0,88.89,266.67,0.0
r0247_c0136,41.9828255,-87.6926796,Residential,148,355.56,0.0,,,,,1.302,0.0,0.0,0.0,0.0,88.89,0.0
r0247_c0137,41.9828255,-87.6908637,Residential,61,88.89,0.0,,,,,1.9627,0.0,44.44,0.0,0.0,44.44,0.0
r0247_c0138,41.9828255,-87.6890479,Commercial,10,88.89,0.0,,,,,2.1993,88.89,0.0,0.0,177.78,44.44,0.0
r0247_c0145,41.9828255,-87.6763368,Commercial,3,44.44,0.0,,,,,-0.0,0.0,0.0,0.0,0.0,133.33,0.0
r0247_c0146,41.9828255,-87.6745209,Residential,13,88.89,0.0,,,,,2.75,44.44,0.0,0.0,0.0,88.89,0.0
r0247_c0147,41.9828255,-87.672705,Residential,45,133.33,0.0,,,,,2.287,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0148,41.9828255,-87.6708891,Residential,27,311.11,0.0,,,,,1.6839,44.44,0.0,0.0,0.0,0.0,0.0
r0247_c0149,41.9828255,-87.6690733,Residential,35,533.33,0.3333,,,,,2.555,88.89,0.0,0.0,266.67,266.67,0.0
r0247_c0150,41.9828255,-87.6672574,Residential,28,133.33,0.0,,,,,2.5237,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0151,41.9828255,-87.6654415,Residential,52,44.44,0.0,,,,,1.7087,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0152,41.9828255,-87.6636257,Residential,37,0.0,0.0,,,,,1.9723,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0153,41.9828255,-87.6618098,Residential,38,88.89,0.0,,,,,2.7431,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0154,41.9828255,-87.6599939,Residential,345,222.22,0.0,,,,,2.5219,88.89,44.44,0.0,0.0,44.44,0.0
r0247_c0155,41.9828255,-87.658178,Residential,20,44.44,0.0,,,,,0.2781,0.0,0.0,0.0,0.0,0.0,0.0
r0247_c0156,41.9828255,-87.6563622,Residential,196,222.22,0.0,,,,,2.5595,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0058,41.9841769,-87.8343176,Commercial,3,311.11,0.0,,,,,1.0,0.0,0.0,0.0,800.0,0.0,0.0
r0248_c0062,41.9841769,-87.8270541,Residential,3,400.0,0.1111,,,,,0.0,0.0,44.44,0.0,133.33,311.11,0.0
r0248_c0063,41.9841769,-87.8252382,Residential,8,44.44,0.0,,,,,0.5436,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0064,41.9841769,-87.8234223,Residential,4,177.78,0.0,,,,,0.7219,44.44,0.0,0.0,88.89,44.44,0.0
r0248_c0065,41.9841769,-87.8216065,Residential,36,0.0,0.0,,,,,0.7254,0.0,0.0,0.0,0.0,44.44,0.0
r0248_c0066,41.9841769,-87.8197906,Residential,20,0.0,0.0,,,,,2.3435,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0067,41.9841769,-87.8179747,Residential,29,0.0,0.0,,,,,2.0972,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0068,41.9841769,-87.8161588,Residential,34,0.0,0.0,,,,,1.9381,0.0,0.0,0.0,0.0,44.44,0.0
r0248_c0069,41.9841769,-87.814343,Residential,42,0.0,0.0,,,,,1.2458,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0070,41.9841769,-87.8125271,Residential,25,0.0,0.0,,,,,1.315,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0071,41.9841769,-87.8107112,Residential,42,0.0,0.0,,,,,1.2425,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0072,41.9841769,-87.8088954,Residential,26,0.0,0.0,,,,,1.1497,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0073,41.9841769,-87.8070795,Residential,24,0.0,0.0,,,,,1.1183,0.0,0.0,0.0,0.0,44.44,0.0
r0248_c0074,41.9841769,-87.8052636,Residential,21,0.0,0.0,,,,,2.1213,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0075,41.9841769,-87.8034477,Residential,22,0.0,0.0,,,,,1.5694,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0076,41.9841769,-87.8016319,Residential,16,0.0,0.0,,,,,2.2335,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0077,41.9841769,-87.799816,Residential,17,0.0,0.0,,,,,2.1816,0.0,0.0,0.0,0.0,44.44,0.0
r0248_c0078,41.9841769,-87.7980001,Residential,9,44.44,0.0,,,,,1.9591,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0079,41.9841769,-87.7961843,Residential,20,44.44,0.0,,,,,2.7232,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0080,41.9841769,-87.7943684,Residential,19,44.44,0.0,,,,,2.1181,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0083,41.9841769,-87.7889208,Residential,17,88.89,0.0,,,,,1.4591,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0084,41.9841769,-87.7871049,Residential,29,0.0,0.0,,,,,1.6406,0.0,0.0,0.0,88.89,0.0,0.0
r0248_c0085,41.9841769,-87.785289,Residential,22,44.44,0.0,,,,,2.1468,44.44,0.0,0.0,88.89,44.44,0.0
r0248_c0086,41.9841769,-87.7834732,Residential,18,0.0,0.0,,,,,2.8246,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0087,41.9841769,-87.7816573,Residential,56,0.0,0.0,,,,,2.0295,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0088,41.9841769,-87.7798414,Residential,28,0.0,0.0,,,,,2.4736,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0089,41.9841769,-87.7780255,Residential,29,88.89,0.0,,,,,0.9056,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0090,41.9841769,-87.7762097,Residential,32,88.89,0.0,,,,,2.542,0.0,44.44,0.0,0.0,88.89,0.0
r0248_c0091,41.9841769,-87.7743938,Residential,41,0.0,0.0,,,,,2.5478,0.0,0.0,0.0,0.0,44.44,0.0
r0248_c0092,41.9841769,-87.7725779,Residential,37,0.0,0.0,,,,,1.9192,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0093,41.9841769,-87.7707621,Residential,52,0.0,0.0,,,,,2.1241,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0094,41.9841769,-87.7689462,Residential,30,0.0,0.0,,,,,1.6712,0.0,0.0,0.0,88.89,44.44,0.0
r0248_c0095,41.9841769,-87.7671303,Residential,40,88.89,1.0,,,,,2.6184,0.0,0.0,0.0,0.0,88.89,0.0
r0248_c0096,41.9841769,-87.7653145,Commercial,4,222.22,0.0,,,,,2.0464,0.0,0.0,0.0,44.44,44.44,0.0
r0248_c0098,41.9841769,-87.7616827,Residential,18,44.44,0.0,,,,,1.2244,0.0,0.0,0.0,0.0,266.67,0.0
r0248_c0099,41.9841769,-87.7598668,Residential,34,44.44,0.0,,,,,1.412,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0100,41.9841769,-87.758051,Mixed-Use,4,0.0,0.0,,,,,1.7925,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0103,41.9841769,-87.7526034,Residential,12,0.0,0.0,,,,,1.5488,0.0,0.0,0.0,0.0,44.44,0.0
r0248_c0104,41.9841769,-87.7507875,Residential,6,0.0,0.0,,,,,2.1181,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0106,41.9841769,-87.7471557,Residential,21,0.0,0.0,,,,,2.3535,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0107,41.9841769,-87.7453399,Residential,32,0.0,0.0,,,,,1.7109,0.0,0.0,0.0,0.0,0.0,0.0
r0248_c0108,41.9841769,-87.743524,Residential,29,0.0,0.0,,,,,1.7714,0.0,0.0,0.0,0.0,44.44,0.0
