cell_id,amenity_density,amenity_ratio_food_drink
r0101_c0080,0.0,0.0
r0101_c0081,0.0,0.0
r0101_c0082,0.0,0.0
r0101_c0083,0.0,0.0
r0101_c0084,44.44,0.0
r0101_c0085,0.0,0.0
r0101_c0086,0.0,0.0
r0101_c0087,0.0,0.0
r0101_c0088,0.0,0.0
r0101_c0089,0.0,0.0
r0101_c0090,0.0,0.0
r0101_c0091,0.0,0.0
r0101_c0092,0.0,0.0
r0101_c0093,0.0,0.0
r0101_c0094,0.0,0.0
r0101_c0095,0.0,0.0
r0101_c0096,88.89,0.0
r0101_c0103,0.0,0.0
r0101_c0111,88.89,0.0
r0101_c0112,44.44,0.0
r0101_c0113,0.0,0.0
r0101_c0114,44.44,0.0
r0101_c0115,0.0,0.0
r0101_c0116,133.33,0.0
r0101_c0117,0.0,0.0
r0101_c0118,0.0,0.0
r0101_c0119,266.67,0.0
r0101_c0120,44.44,0.0
r0101_c0121,0.0,0.0
r0101_c0122,0.0,0.0
r0101_c0123,0.0,0.0
r0101_c0124,44.44,0.0
r0101_c0125,0.0,0.0
r0101_c0126,88.89,0.5
r0101_c0127,0.0,0.0
r0101_c0128,0.0,0.0
r0101_c0129,0.0,0.0
r0101_c0130,355.56,0.25
r0101_c0131,44.44,1.0
r0101_c0132,88.89,0.0
r0101_c0133,44.44,0.0
r0101_c0134,0.0,0.0
r0101_c0135,177.78,0.0
r0101_c0136,44.44,0.0
r0101_c0137,0.0,0.0
r0101_c0138,0.0,0.0
r0101_c0139,0.0,0.0
r0101_c0140,0.0,0.0
r0101_c0141,222.22,0.0
r0102_c0076,177.78,0.5
r0102_c0077,0.0,0.0
r0102_c0078,0.0,0.0
r0102_c0079,0.0,0.0
r0102_c0080,0.0,0.0
r0102_c0081,0.0,0.0
r0102_c0082,0.0,0.0
r0102_c0083,0.0,0.0
r0102_c0084,0.0,0.0
r0102_c0085,0.0,0.0
r0102_c0086,0.0,0.0
r0102_c0087,0.0,0.0
r0102_c0088,0.0,0.0
r0102_c0089,0.0,0.0
r0102_c0090,0.0,0.0
r0102_c0091,0.0,0.0
r0102_c0092,0.0,0.0
r0102_c0093,0.0,0.0
r0102_c0094,0.0,0.0
r0102_c0095,0.0,0.0
r0102_c0096,0.0,0.0
r0102_c0097,88.89,0.0
r0102_c0098,177.78,0.0
r0102_c0111,1155.56,0.0385
r0102_c0112,0.0,0.0
r0102_c0113,0.0,0.0
r0102_c0114,88.89,0.0
r0102_c0115,88.89,0.0
r0102_c0116,0.0,0.0
r0102_c0117,0.0,0.0
r0102_c0118,0.0,0.0
r0102_c0119,177.78,0.0
r0102_c0120,44.44,1.0
