cell_id,road_density_primary
r0101_c0124,0.0
r0101_c0125,0.0
r0101_c0126,0.0
r0101_c0127,0.0
r0101_c0128,0.0
r0101_c0129,6.98
r0101_c0130,0.0
r0101_c0131,0.0
r0101_c0132,0.0
r0101_c0133,0.0
r0101_c0134,7.04
r0101_c0135,23.38
r0101_c0136,0.0
r0101_c0137,0.0
r0101_c0138,0.0
r0101_c0139,8.97
r0101_c0140,0.0
r0101_c0141,0.0
r0102_c0076,0.0
r0102_c0077,0.0
r0102_c0078,0.0
r0102_c0079,0.0
r0102_c0080,6.14
r0102_c0081,0.0
r0102_c0082,0.0
r0102_c0083,0.0
r0102_c0084,0.0
r0102_c0085,2.08
r0102_c0086,0.0
r0102_c0087,0.0
r0102_c0088,0.0
r0102_c0089,0.0
r0102_c0090,0.0
r0102_c0091,1.36
r0102_c0092,0.0
r0102_c0093,0.0
r0102_c0094,0.0
r0102_c0095,0.0
r0102_c0096,5.05
r0102_c0097,0.0
r0102_c0098,0.0
r0102_c0111,0.0
r0102_c0112,3.12
r0102_c0113,0.0
r0102_c0114,35.46
r0102_c0115,6.48
r0102_c0116,36.46
r0102_c0117,0.0
r0102_c0118,4.86
r0102_c0119,37.07
r0102_c0120,3.72
r0102_c0121,0.0
r0102_c0122,35.57
r0102_c0123,6.23
r0102_c0124,36.21
r0102_c0125,0.0
r0102_c0126,0.0
r0102_c0127,34.71
r0102_c0128,1.46
r0102_c0129,18.11
r0102_c0130,0.0
r0102_c0131,8.95
r0102_c0132,8.96
r0102_c0133,6.34
r0102_c0134,16.17
r0102_c0135,0.0
r0102_c0136,13.89
r0102_c0137,8.99
r0102_c0138,7.27
r0102_c0139,16.55
r0102_c0140,5.71
r0102_c0141,6.62
r0103_c0076,0.0
r0103_c0077,0.0
r0103_c0078,0.0
r0103_c0079,0.0
r0103_c0080,8.99
r0103_c0081,0.0
r0103_c0082,0.0
r0103_c0083,0.0
r0103_c0084,0.0
r0103_c0085,11.97
r0103_c0086,0.0
r0103_c0087,0.0
r0103_c0089,0.0
r0103_c0090,0.0
r0103_c0091,15.31
r0103_c0092,0.0
r0103_c0093,0.0
r0103_c0094,0.0
r0103_c0095,0.0
r0103_c0096,11.35
r0103_c0097,0.0
r0103_c0098,5.61
r0103_c0111,0.0
r0103_c0112,14.22
r0103_c0113,0.0
r0103_c0114,0.0
r0103_c0115,15.35
r0103_c0116,0.0
r0103_c0117,0.0
r0103_c0118,12.87
r0103_c0119,0.0
r0103_c0120,15.08
r0103_c0121,0.0
r0103_c0122,0.0
r0103_c0123,14.69
r0103_c0124,0.0
r0103_c0125,0.0
r0103_c0126,0.0
r0103_c0127,0.0
r0103_c0128,3.96
r0103_c0129,0.0
r0103_c0130,0.0
r0103_c0131,0.0
