cell_id,avg_floors,avg_yearbuilt,total_bldg_area,building_count
r0102_c0080,1.8,,65977.0,79.0
r0102_c0081,1.9,,64560.0,66.0
r0102_c0082,1.7,,79255.0,84.0
r0102_c0083,1.1,,71152.0,67.0
r0102_c0084,1.1,,87914.0,91.0
r0102_c0085,1.6,,73066.0,69.0
r0102_c0086,2.0,,72273.0,93.0
r0102_c0087,1.9,,62703.0,73.0
r0102_c0088,1.6,,84579.0,104.0
r0102_c0089,1.2,,76579.0,74.0
r0102_c0090,1.2,,80801.0,86.0
r0102_c0091,1.1,,112085.0,78.0
r0102_c0092,1.2,,68442.0,66.0
r0102_c0093,1.4,,86765.0,79.0
r0102_c0094,1.2,,76167.0,67.0
r0102_c0095,1.3,,94350.0,76.0
r0102_c0096,1.3,,67561.0,43.0
r0102_c0097,1.5,,67858.0,39.0
r0102_c0098,,,,
r0102_c0111,1.8,,60744.0,46.0
r0102_c0112,1.8,,60894.0,50.0
r0102_c0113,1.8,,64772.0,31.0
r0102_c0114,2.0,,43640.0,40.0
r0102_c0115,1.8,,41542.0,36.0
r0102_c0116,2.1,,64943.0,51.0
r0102_c0117,2.1,,60167.0,34.0
r0102_c0118,2.1,,53690.0,39.0
r0102_c0119,2.0,,74481.0,52.0
r0102_c0120,2.2,,30748.0,22.0
r0102_c0121,3.2,,63743.0,24.0
r0102_c0122,2.5,,44045.0,34.0
r0102_c0123,3.0,,70768.0,20.0
r0102_c0124,1.9,,78178.0,28.0
r0102_c0125,2.5,,89566.0,37.0
r0102_c0126,2.0,,98422.0,41.0
r0102_c0127,1.9,,77159.0,41.0
r0102_c0128,1.9,,77070.0,36.0
r0102_c0129,2.1,,87272.0,47.0
r0102_c0130,2.7,,88177.0,51.0
r0102_c0131,2.2,,91582.0,53.0
r0102_c0132,2.5,,103787.0,31.0
r0102_c0133,3.2,,119285.0,33.0
r0102_c0134,2.4,1919,113294.0,36.0
r0102_c0135,2.2,,101359.0,56.0
r0102_c0136,2.1,,97182.0,65.0
r0102_c0137,2.1,,104486.0,61.0
r0102_c0138,2.3,,95636.0,62.0
r0102_c0139,2.2,,89655.0,43.0
r0102_c0140,2.4,,97151.0,31.0
r0102_c0141,,,,
r0103_c0076,1.2,,38824.0,33.0
r0103_c0077,1.1,,79757.0,74.0
r0103_c0078,1.2,,84563.0,102.0
r0103_c0079,1.9,,75972.0,78.0
r0103_c0080,1.9,,78762.0,93.0
r0103_c0081,2.0,,69926.0,73.0
r0103_c0082,2.0,,87683.0,107.0
r0103_c0083,2.0,,63080.0,63.0
r0103_c0084,1.4,,66957.0,70.0
r0103_c0085,1.7,,45252.0,45.0
r0103_c0086,2.0,,81315.0,97.0
r0103_c0087,2.0,,68642.0,73.0
r0103_c0089,1.4,,67934.0,61.0
r0103_c0090,1.2,,73747.0,84.0
r0103_c0091,1.1,,65225.0,65.0
r0103_c0092,1.3,,52371.0,60.0
r0103_c0093,1.5,,72375.0,71.0
r0103_c0094,1.3,,62551.0,64.0
r0103_c0095,1.8,,74951.0,75.0
r0103_c0096,1.5,,64116.0,44.0
r0103_c0097,1.6,,41469.0,48.0
r0103_c0098,,,136575.0,1.0
r0103_c0111,2.1,,69195.0,83.0
r0103_c0112,2.0,,67895.0,68.0
r0103_c0113,2.1,,52612.0,46.0
r0103_c0114,2.1,,81937.0,52.0
r0103_c0115,2.1,,58529.0,62.0
r0103_c0116,2.0,,72574.0,70.0
r0103_c0117,2.1,,81115.0,72.0
r0103_c0118,1.9,,76920.0,69.0
r0103_c0119,1.9,,72622.0,82.0
r0103_c0120,2.3,,48412.0,36.0
r0103_c0121,2.3,,82067.0,58.0
r0103_c0122,2.2,,74077.0,79.0
r0103_c0123,2.2,,68515.0,50.0
r0103_c0124,2.1,,68049.0,63.0
