cell_id,cell_lat,cell_lon,zone_type,cell_lot_count
r0096_c0136,41.7787715,-87.6926796,Mixed-Use,11
r0096_c0137,41.7787715,-87.6908637,Commercial,7
r0097_c0079,41.7801228,-87.7961843,Commercial,7
r0097_c0080,41.7801228,-87.7943684,Commercial,3
r0097_c0081,41.7801228,-87.7925525,Commercial,4
r0097_c0082,41.7801228,-87.7907366,Commercial,35
r0097_c0083,41.7801228,-87.7889208,Residential,39
r0097_c0084,41.7801228,-87.7871049,Residential,30
r0097_c0085,41.7801228,-87.785289,Residential,40
r0097_c0086,41.7801228,-87.7834732,Residential,36
r0097_c0087,41.7801228,-87.7816573,Residential,45
r0097_c0088,41.7801228,-87.7798414,Residential,19
r0097_c0089,41.7801228,-87.7780255,Mixed-Use,8
r0097_c0090,41.7801228,-87.7762097,Residential,29
r0097_c0091,41.7801228,-87.7743938,Residential,41
r0097_c0092,41.7801228,-87.7725779,Residential,41
r0097_c0093,41.7801228,-87.7707621,Residential,23
r0097_c0094,41.7801228,-87.7689462,Residential,39
r0097_c0095,41.7801228,-87.7671303,Residential,39
r0097_c0096,41.7801228,-87.7653145,Residential,40
r0097_c0097,41.7801228,-87.7634986,Residential,39
r0097_c0098,41.7801228,-87.7616827,Mixed-Use,16
r0097_c0109,41.7801228,-87.7417081,Residential,13
r0097_c0110,41.7801228,-87.7398923,Residential,54
r0097_c0111,41.7801228,-87.7380764,Residential,37
r0097_c0112,41.7801228,-87.7362605,Residential,36
r0097_c0113,41.7801228,-87.7344446,Residential,29
r0097_c0114,41.7801228,-87.7326288,Residential,35
r0097_c0115,41.7801228,-87.7308129,Residential,46
r0097_c0116,41.7801228,-87.728997,Residential,43
r0097_c0117,41.7801228,-87.7271812,Residential,41
r0097_c0118,41.7801228,-87.7253653,Residential,41
r0097_c0119,41.7801228,-87.7235494,Residential,41
r0097_c0120,41.7801228,-87.7217335,Residential,42
r0097_c0121,41.7801228,-87.7199177,Residential,20
r0097_c0122,41.7801228,-87.7181018,Residential,4
r0097_c0123,41.7801228,-87.7162859,Residential,15
r0097_c0124,41.7801228,-87.7144701,Residential,38
r0097_c0125,41.7801228,-87.7126542,Residential,34
r0097_c0126,41.7801228,-87.7108383,Residential,39
r0097_c0127,41.7801228,-87.7090224,Residential,46
r0097_c0128,41.7801228,-87.7072066,Residential,37
r0097_c0129,41.7801228,-87.7053907,Residential,36
r0097_c0130,41.7801228,-87.7035748,Commercial,36
r0097_c0131,41.7801228,-87.701759,Residential,46
r0097_c0132,41.7801228,-87.6999431,Residential,43
r0097_c0133,41.7801228,-87.6981272,Residential,45
r0097_c0134,41.7801228,-87.6963113,Residential,42
r0097_c0135,41.7801228,-87.6944955,Residential,44
r0097_c0136,41.7801228,-87.6926796,Residential,28
r0097_c0137,41.7801228,-87.6908637,Residential,29
r0097_c0138,41.7801228,-87.6890479,Residential,53
r0097_c0139,41.7801228,-87.687232,Residential,52
r0097_c0140,41.7801228,-87.6854161,Residential,47
r0097_c0141,41.7801228,-87.6836002,Commercial,13
r0098_c0080,41.7814742,-87.7943684,Commercial,5
r0098_c0081,41.7814742,-87.7925525,Commercial,6
r0098_c0082,41.7814742,-87.7907366,Residential,27
r0098_c0083,41.7814742,-87.7889208,Residential,38
r0098_c0084,41.7814742,-87.7871049,Residential,36
r0098_c0085,41.7814742,-87.785289,Residential,39
r0098_c0086,41.7814742,-87.7834732,Residential,32
r0098_c0087,41.7814742,-87.7816573,Residential,40
r0098_c0088,41.7814742,-87.7798414,Residential,35
r0098_c0089,41.7814742,-87.7780255,Residential,26
r0098_c0090,41.7814742,-87.7762097,Residential,35
r0098_c0091,41.7814742,-87.7743938,Residential,39
r0098_c0092,41.7814742,-87.7725779,Residential,43
r0098_c0093,41.7814742,-87.7707621,Residential,38
r0098_c0094,41.7814742,-87.7689462,Residential,43
r0098_c0095,41.7814742,-87.7671303,Residential,42
r0098_c0096,41.7814742,-87.7653145,Residential,41
r0098_c0097,41.7814742,-87.7634986,Residential,45
r0098_c0098,41.7814742,-87.7616827,Residential,17
r0098_c0109,41.7814742,-87.7417081,Residential,27
r0098_c0110,41.7814742,-87.7398923,Residential,47
r0098_c0111,41.7814742,-87.7380764,Residential,20
r0098_c0112,41.7814742,-87.7362605,Residential,48
r0098_c0113,41.7814742,-87.7344446,Residential,28
r0098_c0114,41.7814742,-87.7326288,Residential,64
r0098_c0115,41.7814742,-87.7308129,Residential,32
r0098_c0116,41.7814742,-87.728997,Residential,51
r0098_c0117,41.7814742,-87.7271812,Residential,46
r0098_c0118,41.7814742,-87.7253653,Residential,51
r0098_c0119,41.7814742,-87.7235494,Residential,48
r0098_c0120,41.7814742,-87.7217335,Residential,45
r0098_c0121,41.7814742,-87.7199177,Residential,43
r0098_c0122,41.7814742,-87.7181018,Residential,59
r0098_c0123,41.7814742,-87.7162859,Residential,52
r0098_c0124,41.7814742,-87.7144701,Residential,46
r0098_c0125,41.7814742,-87.7126542,Residential,40
r0098_c0126,41.7814742,-87.7108383,Residential,42
r0098_c0127,41.7814742,-87.7090224,Residential,47
r0098_c0128,41.7814742,-87.7072066,Residential,38
r0098_c0129,41.7814742,-87.7053907,Residential,41
r0098_c0130,41.7814742,-87.7035748,Residential,41
r0098_c0131,41.7814742,-87.701759,Residential,42
r0098_c0132,41.7814742,-87.6999431,Residential,42
r0098_c0133,41.7814742,-87.6981272,Residential,39
r0098_c0134,41.7814742,-87.6963113,Residential,41
r0098_c0135,41.7814742,-87.6944955,Residential,43
r0098_c0136,41.7814742,-87.6926796,Residential,42
r0098_c0137,41.7814742,-87.6908637,Residential,39
r0098_c0138,41.7814742,-87.6890479,Residential,41
r0098_c0139,41.7814742,-87.687232,Residential,41
r0098_c0140,41.7814742,-87.6854161,Residential,38
r0098_c0141,41.7814742,-87.6836002,Commercial,7
r0099_c0077,41.7828255,-87.799816,Commercial,4
r0099_c0078,41.7828255,-87.7980001,Commercial,4
r0099_c0080,41.7828255,-87.7943684,Commercial,4
r0099_c0081,41.7828255,-87.7925525,Commercial,8
r0099_c0082,41.7828255,-87.7907366,Residential,29
r0099_c0083,41.7828255,-87.7889208,Residential,44
