cell_id,landuse_entropy
r0104_c0093,1.4951
r0104_c0094,1.7976
r0104_c0095,1.6216
r0104_c0096,2.409
r0104_c0097,1.597
r0104_c0098,2.1056
r0104_c0111,0.0
r0104_c0112,1.4804
r0104_c0113,1.504
r0104_c0114,1.8157
r0104_c0115,2.174
r0104_c0116,2.2343
r0104_c0117,1.6876
r0104_c0118,1.6497
r0104_c0119,2.5982
r0104_c0120,2.515
r0104_c0121,2.0951
r0104_c0122,2.2654
r0104_c0123,1.8203
r0104_c0124,1.9376
r0104_c0125,2.3961
r0104_c0126,1.8609
r0104_c0127,1.5209
r0104_c0128,1.5967
r0104_c0129,1.5317
r0104_c0130,2.1312
r0104_c0131,1.6241
r0104_c0132,1.4021
r0104_c0133,1.5945
r0104_c0134,0.5748
r0104_c0135,0.8555
r0104_c0136,1.232
r0104_c0137,2.1008
r0104_c0138,1.4327
r0104_c0139,1.4296
r0104_c0140,1.7289
r0104_c0141,2.4021
r0105_c0076,0.0
r0105_c0077,2.2094
r0105_c0078,2.1269
r0105_c0079,2.1527
r0105_c0080,2.5275
r0105_c0081,1.7175
r0105_c0082,2.246
r0105_c0083,1.6019
r0105_c0084,2.0024
r0105_c0085,2.0778
r0105_c0086,2.4669
r0105_c0087,3.0724
r0105_c0088,2.3034
r0105_c0089,2.2336
r0105_c0090,1.4711
r0105_c0091,1.5258
r0105_c0092,1.793
r0105_c0093,2.1593
r0105_c0094,1.2811
r0105_c0095,1.5152
r0105_c0096,1.6167
r0105_c0097,1.4167
r0105_c0111,-0.0
r0105_c0112,1.4083
r0105_c0113,1.9841
r0105_c0114,2.1453
r0105_c0115,1.9931
r0105_c0116,1.8928
r0105_c0117,1.8844
r0105_c0118,2.1577
r0105_c0119,2.4108
r0105_c0120,2.4123
r0105_c0121,1.685
r0105_c0122,1.827
r0105_c0123,1.9713
r0105_c0124,1.5613
r0105_c0126,0.6686
r0105_c0127,0.912
r0105_c0128,1.1404
r0105_c0129,1.9993
r0105_c0130,2.9574
r0105_c0131,2.1034
r0105_c0132,1.6327
r0105_c0133,1.6467
r0105_c0134,0.7147
r0105_c0135,1.4331
r0105_c0136,1.3562
r0105_c0137,1.9793
r0105_c0138,-0.0
r0105_c0139,1.9098
r0105_c0140,1.5556
r0105_c0141,2.7999
r0106_c0076,0.0
r0106_c0077,2.7099
r0106_c0078,3.0938
r0106_c0079,2.7179
r0106_c0080,2.0096
r0106_c0081,2.8067
r0106_c0082,2.7656
r0106_c0083,2.5269
r0106_c0084,3.2898
r0106_c0085,2.8863
r0106_c0086,2.603
r0106_c0087,2.6462
r0106_c0088,2.4416
r0106_c0089,2.6458
r0106_c0090,1.8924
r0106_c0091,2.3447
r0106_c0092,1.3654
r0106_c0093,1.6032
r0106_c0094,2.0047
r0106_c0095,2.187
r0106_c0096,2.1941
r0106_c0097,2.6494
r0106_c0111,0.8113
r0106_c0112,2.1477
r0106_c0113,1.9702
r0106_c0114,2.8445
r0106_c0115,1.8634
r0106_c0116,1.9022
r0106_c0117,2.1568
r0106_c0118,2.3603
r0106_c0119,2.9454
r0106_c0120,1.7555
r0106_c0121,1.6619
r0106_c0122,1.3549
r0106_c0123,1.5726
r0106_c0124,2.3246
r0106_c0126,1.5016
r0106_c0127,0.9419
r0106_c0128,1.7898
r0106_c0129,2.4111
r0106_c0130,2.3459
r0106_c0131,1.7502
r0106_c0132,2.0582
r0106_c0133,1.724
r0106_c0134,1.3393
r0106_c0135,1.3615
r0106_c0136,0.9464
r0106_c0137,1.937
r0106_c0138,0.7732
r0106_c0139,2.4116
r0106_c0140,1.9899
r0107_c0076,0.0
r0107_c0077,1.8275
r0107_c0078,1.9022
r0107_c0079,1.5486
r0107_c0080,1.8394
r0107_c0081,1.5592
r0107_c0082,1.7686
r0107_c0083,1.6507
r0107_c0084,1.8631
r0107_c0085,1.7078
r0107_c0086,1.7151
r0107_c0087,1.7629
r0107_c0088,2.7978
r0107_c0089,3.2766
r0107_c0090,2.8662
r0107_c0091,2.0653
r0107_c0092,2.9833
r0107_c0093,2.287
r0107_c0094,1.1156
r0107_c0095,2.679
r0107_c0096,0.8659
r0107_c0097,1.8231
r0107_c0098,2.2169
r0107_c0099,1.0563
r0107_c0100,0.8153
r0107_c0101,2.0316
r0107_c0102,1.8931
r0107_c0103,1.4377
r0107_c0106,0.5917
r0107_c0112,1.6855
r0107_c0113,1.5196
r0107_c0114,1.7435
r0107_c0115,1.8822
r0107_c0116,1.8192
r0107_c0117,2.0084
r0107_c0118,1.3186
r0107_c0119,2.2287
r0107_c0120,2.452
r0107_c0121,1.7784
r0107_c0122,2.2413
r0107_c0123,2.6189
r0107_c0124,2.6004
r0107_c0126,1.9508
r0107_c0127,2.1387
r0107_c0128,2.2229
r0107_c0129,2.8367
r0107_c0130,2.4083
r0107_c0131,2.1416
r0107_c0132,2.1621
r0107_c0133,1.9287
r0107_c0134,1.9549
r0107_c0135,3.0069
r0107_c0136,2.6098
r0107_c0137,1.9626
r0107_c0138,1.3264
r0107_c0139,2.1339
r0107_c0140,2.8464
