cell_id,intersection_density
r0102_c0078,0.0
r0102_c0079,0.0
r0102_c0080,0.0
r0102_c0081,0.0
r0102_c0082,0.0
r0102_c0083,0.0
r0102_c0084,0.0
r0102_c0085,0.0
r0102_c0086,0.0
r0102_c0087,44.44
r0102_c0088,0.0
r0102_c0089,0.0
r0102_c0090,0.0
r0102_c0091,0.0
r0102_c0092,0.0
r0102_c0093,0.0
r0102_c0094,0.0
r0102_c0095,0.0
r0102_c0096,0.0
r0102_c0097,0.0
r0102_c0098,266.67
r0102_c0111,400.0
r0102_c0112,0.0
r0102_c0113,0.0
r0102_c0114,0.0
r0102_c0115,0.0
r0102_c0116,0.0
r0102_c0117,0.0
r0102_c0118,0.0
r0102_c0119,311.11
r0102_c0120,0.0
r0102_c0121,0.0
r0102_c0122,0.0
r0102_c0123,44.44
r0102_c0124,0.0
r0102_c0125,0.0
r0102_c0126,0.0
r0102_c0127,0.0
r0102_c0128,0.0
r0102_c0129,44.44
r0102_c0130,88.89
r0102_c0131,88.89
r0102_c0132,44.44
r0102_c0133,88.89
r0102_c0134,44.44
r0102_c0135,88.89
r0102_c0136,44.44
r0102_c0137,44.44
r0102_c0138,88.89
r0102_c0139,44.44
r0102_c0140,177.78
r0102_c0141,311.11
r0103_c0076,355.56
r0103_c0077,0.0
r0103_c0078,0.0
r0103_c0079,0.0
r0103_c0080,0.0
r0103_c0081,0.0
r0103_c0082,0.0
r0103_c0083,0.0
r0103_c0084,0.0
r0103_c0085,0.0
r0103_c0086,0.0
r0103_c0087,0.0
r0103_c0089,44.44
r0103_c0090,0.0
r0103_c0091,0.0
r0103_c0092,44.44
r0103_c0093,0.0
r0103_c0094,0.0
r0103_c0095,0.0
r0103_c0096,0.0
r0103_c0097,0.0
r0103_c0098,0.0
r0103_c0111,44.44
r0103_c0112,44.44
r0103_c0113,0.0
r0103_c0114,44.44
r0103_c0115,0.0
r0103_c0116,0.0
r0103_c0117,0.0
r0103_c0118,0.0
r0103_c0119,88.89
r0103_c0120,0.0
r0103_c0121,88.89
r0103_c0122,88.89
r0103_c0123,44.44
r0103_c0124,0.0
r0103_c0125,44.44
r0103_c0126,0.0
r0103_c0127,0.0
r0103_c0128,0.0
r0103_c0129,0.0
r0103_c0130,177.78
r0103_c0131,44.44
r0103_c0132,0.0
r0103_c0133,0.0
r0103_c0134,0.0
r0103_c0135,44.44
r0103_c0136,0.0
r0103_c0137,0.0
r0103_c0138,0.0
r0103_c0139,0.0
r0103_c0140,0.0
r0103_c0141,44.44
r0104_c0076,711.11
r0104_c0077,44.44
r0104_c0078,0.0
r0104_c0079,0.0
r0104_c0080,0.0
r0104_c0081,0.0
r0104_c0082,0.0
r0104_c0083,0.0
r0104_c0084,0.0
r0104_c0085,0.0
r0104_c0086,0.0
r0104_c0087,0.0
r0104_c0088,44.44
r0104_c0089,0.0
r0104_c0090,0.0
r0104_c0091,0.0
r0104_c0092,0.0
r0104_c0093,0.0
r0104_c0094,0.0
r0104_c0095,0.0
r0104_c0096,0.0
r0104_c0097,0.0
r0104_c0098,0.0
r0104_c0111,355.56
r0104_c0112,0.0
r0104_c0113,0.0
r0104_c0114,0.0
r0104_c0115,0.0
r0104_c0116,0.0
r0104_c0117,0.0
r0104_c0118,0.0
r0104_c0119,44.44
r0104_c0120,0.0
r0104_c0121,0.0
r0104_c0122,0.0
r0104_c0123,0.0
r0104_c0124,0.0
r0104_c0125,44.44
r0104_c0126,0.0
r0104_c0127,0.0
r0104_c0128,0.0
r0104_c0129,44.44
r0104_c0130,177.78
r0104_c0131,0.0
r0104_c0132,0.0
r0104_c0133,0.0
r0104_c0134,0.0
r0104_c0135,44.44
r0104_c0136,0.0
r0104_c0137,0.0
r0104_c0138,0.0
r0104_c0139,0.0
r0104_c0140,0.0
r0104_c0141,88.89
r0105_c0076,311.11
r0105_c0077,44.44
r0105_c0078,44.44
r0105_c0079,44.44
r0105_c0080,0.0
r0105_c0081,0.0
r0105_c0082,0.0
r0105_c0083,0.0
r0105_c0084,0.0
r0105_c0085,0.0
r0105_c0086,44.44
r0105_c0087,44.44
r0105_c0088,44.44
r0105_c0089,0.0
r0105_c0090,44.44
r0105_c0091,0.0
r0105_c0092,44.44
r0105_c0093,0.0
r0105_c0094,0.0
r0105_c0095,0.0
r0105_c0096,0.0
r0105_c0097,0.0
r0105_c0111,400.0
r0105_c0112,0.0
r0105_c0113,0.0
r0105_c0114,0.0
r0105_c0115,0.0
r0105_c0116,0.0
r0105_c0117,44.44
r0105_c0118,88.89
r0105_c0119,88.89
r0105_c0120,0.0
r0105_c0121,0.0
r0105_c0122,0.0
r0105_c0123,0.0
r0105_c0124,44.44
r0105_c0126,0.0
r0105_c0127,0.0
r0105_c0128,0.0
r0105_c0129,0.0
r0105_c0130,88.89
r0105_c0131,0.0
r0105_c0132,0.0
r0105_c0133,0.0
r0105_c0134,0.0
r0105_c0135,0.0
r0105_c0136,0.0
r0105_c0137,0.0
r0105_c0138,0.0
r0105_c0139,0.0
r0105_c0140,0.0
r0105_c0141,133.33
r0106_c0076,800.0
r0106_c0077,88.89
r0106_c0078,222.22
r0106_c0079,133.33
r0106_c0080,222.22
r0106_c0081,133.33
r0106_c0082,266.67
r0106_c0083,88.89
r0106_c0084,311.11
r0106_c0085,133.33
r0106_c0086,311.11
r0106_c0087,177.78
r0106_c0088,266.67
r0106_c0089,44.44
r0106_c0090,88.89
r0106_c0091,44.44
r0106_c0092,88.89
r0106_c0093,0.0
r0106_c0094,0.0
r0106_c0095,133.33
r0106_c0096,0.0
r0106_c0097,177.78
r0106_c0111,311.11
r0106_c0112,0.0
r0106_c0113,0.0
r0106_c0114,44.44
r0106_c0115,0.0
r0106_c0116,0.0
r0106_c0117,0.0
r0106_c0118,0.0
r0106_c0119,44.44
r0106_c0120,0.0
r0106_c0121,0.0
r0106_c0122,0.0
r0106_c0123,0.0
r0106_c0124,44.44
r0106_c0126,0.0
r0106_c0127,0.0
r0106_c0128,0.0
r0106_c0129,0.0
r0106_c0130,44.44
r0106_c0131,44.44
r0106_c0132,0.0
r0106_c0133,0.0
r0106_c0134,0.0
r0106_c0135,0.0
r0106_c0136,0.0
r0106_c0137,0.0
r0106_c0138,0.0
r0106_c0139,0.0
r0106_c0140,44.44
r0107_c0076,355.56
r0107_c0077,88.89
r0107_c0078,0.0
r0107_c0079,0.0
r0107_c0080,0.0
r0107_c0081,0.0
r0107_c0082,0.0
r0107_c0083,0.0
r0107_c0084,88.89
