cell_id,cell_lat,cell_lon,zone_type,cell_lot_count
r0031_c0016,39.9163437,-75.2466349,Industrial,3
r0031_c0017,39.9163437,-75.2448708,Mixed-Use,17
r0031_c0018,39.9163437,-75.2431068,Residential,27
r0031_c0019,39.9163437,-75.2413427,Residential,38
r0031_c0020,39.9163437,-75.2395787,Residential,69
r0031_c0021,39.9163437,-75.2378146,Commercial,75
r0031_c0022,39.9163437,-75.2360506,Residential,61
r0031_c0023,39.9163437,-75.2342865,Residential,130
r0031_c0024,39.9163437,-75.2325224,Residential,134
r0031_c0025,39.9163437,-75.2307584,Residential,92
r0031_c0026,39.9163437,-75.2289943,Residential,90
r0031_c0027,39.9163437,-75.2272303,Residential,62
r0031_c0028,39.9163437,-75.2254662,Residential,20
r0031_c0054,39.9163437,-75.1796007,Mixed-Use,11
r0031_c0055,39.9163437,-75.1778367,Residential,121
r0031_c0056,39.9163437,-75.1760726,Residential,131
r0031_c0057,39.9163437,-75.1743086,Residential,97
r0031_c0059,39.9163437,-75.1707804,Residential,16
r0031_c0060,39.9163437,-75.1690164,Residential,77
r0031_c0061,39.9163437,-75.1672523,Residential,140
r0031_c0062,39.9163437,-75.1654883,Residential,163
r0031_c0063,39.9163437,-75.1637242,Residential,175
r0031_c0064,39.9163437,-75.1619602,Residential,161
r0031_c0065,39.9163437,-75.1601961,Residential,202
r0031_c0066,39.9163437,-75.158432,Residential,198
r0031_c0067,39.9163437,-75.156668,Residential,147
r0031_c0068,39.9163437,-75.1549039,Residential,31
r0031_c0069,39.9163437,-75.1531399,Residential,104
r0031_c0070,39.9163437,-75.1513758,Residential,167
r0031_c0071,39.9163437,-75.1496118,Residential,87
r0031_c0072,39.9163437,-75.1478477,Industrial,14
r0031_c0073,39.9163437,-75.1460836,Industrial,4
r0032_c0016,39.9176951,-75.2466349,Mixed-Use,10
r0032_c0017,39.9176951,-75.2448708,Commercial,60
r0032_c0018,39.9176951,-75.2431068,Residential,44
r0032_c0019,39.9176951,-75.2413427,Industrial,29
r0032_c0020,39.9176951,-75.2395787,Residential,103
r0032_c0021,39.9176951,-75.2378146,Residential,47
r0032_c0022,39.9176951,-75.2360506,Commercial,44
r0032_c0023,39.9176951,-75.2342865,Residential,122
r0032_c0024,39.9176951,-75.2325224,Residential,119
r0032_c0025,39.9176951,-75.2307584,Residential,129
r0032_c0026,39.9176951,-75.2289943,Residential,134
r0032_c0027,39.9176951,-75.2272303,Residential,68
r0032_c0028,39.9176951,-75.2254662,Residential,75
r0032_c0029,39.9176951,-75.2237022,Industrial,12
r0032_c0032,39.9176951,-75.21841,Industrial,3
r0032_c0033,39.9176951,-75.2166459,Industrial,3
r0032_c0034,39.9176951,-75.2148819,Industrial,6
r0032_c0035,39.9176951,-75.2131178,Industrial,7
r0032_c0036,39.9176951,-75.2113538,Industrial,5
r0032_c0051,39.9176951,-75.1848929,Commercial,4
r0032_c0053,39.9176951,-75.1813648,Commercial,4
r0032_c0054,39.9176951,-75.1796007,Commercial,4
r0032_c0055,39.9176951,-75.1778367,Residential,111
r0032_c0056,39.9176951,-75.1760726,Residential,164
