cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,shop_density_km2,office_density,road_density_primary,transit_stop_density,intersection_density,nightlife_density
r0026_c0020,39.909587,-75.2395787,Residential,65,0.0,0.0,1.0,1923,60903.0,70.0,-0.0,0.0,0.0,0.0,0.0,44.44,0.0
r0026_c0021,39.909587,-75.2378146,Residential,40,44.44,0.0,1.8,1962,56560.0,44.0,-0.0,0.0,0.0,0.0,0.0,44.44,0.0
r0026_c0022,39.909587,-75.2360506,Residential,42,0.0,0.0,1.6,1965,48680.0,34.0,-0.0,0.0,0.0,0.0,0.0,222.22,0.0
r0026_c0023,39.909587,-75.2342865,Residential,77,0.0,0.0,1.9,1965,106456.0,72.0,-0.0,0.0,0.0,0.0,0.0,133.33,0.0
r0026_c0024,39.909587,-75.2325224,Residential,29,88.89,0.0,1.6,1945,85050.0,48.0,-0.0,44.44,0.0,36.49,0.0,266.67,0.0
r0026_c0047,39.909587,-75.1919491,Residential,4,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r0026_c0048,39.909587,-75.1901851,Residential,51,0.0,0.0,3.0,2022,149286.0,46.0,-0.0,0.0,0.0,0.0,0.0,88.89,0.0
r0026_c0049,39.909587,-75.188421,Residential,35,0.0,0.0,3.0,2019,187794.0,43.0,0.9543,0.0,0.0,0.0,0.0,44.44,0.0
r0026_c0050,39.909587,-75.186657,Residential,24,44.44,1.0,2.1,2006,47900.0,15.0,1.1984,0.0,0.0,0.0,0.0,44.44,0.0
r0026_c0051,39.909587,-75.1848929,Residential,59,0.0,0.0,1.7,2005,89270.0,43.0,0.0003,0.0,0.0,0.0,0.0,44.44,0.0
r0026_c0052,39.909587,-75.1831288,Residential,68,0.0,0.0,1.5,2008,165670.0,89.0,1.2702,0.0,0.0,0.0,0.0,88.89,0.0
r0026_c0053,39.909587,-75.1813648,Residential,17,88.89,0.0,2.1,1960,124962.0,19.0,0.609,0.0,0.0,6.24,0.0,44.44,0.0
