cell_id,landuse_entropy
r0041_c0071,0.3095
r0041_c0072,0.6597
r0041_c0073,1.4853
r0042_c0024,0.2703
r0042_c0025,0.4954
r0042_c0026,1.1583
r0042_c0027,1.1603
r0042_c0028,-0.0
r0042_c0030,0.0112
r0042_c0031,0.9356
r0042_c0032,-0.0
r0042_c0033,0.3574
r0042_c0044,-0.0
r0042_c0046,-0.0
r0042_c0047,0.0484
r0042_c0048,-0.0
r0042_c0049,0.8054
r0042_c0050,1.3338
r0042_c0051,0.224
r0042_c0052,0.9146
r0042_c0053,1.4388
r0042_c0054,0.118
r0042_c0055,0.2544
r0042_c0056,0.2686
r0042_c0057,0.3582
r0042_c0058,0.156
r0042_c0059,0.2399
r0042_c0060,0.6153
r0042_c0061,0.5885
r0042_c0062,0.5301
r0042_c0063,0.3595
r0042_c0064,1.4618
r0042_c0065,1.1182
r0042_c0066,0.0997
r0042_c0067,0.2081
r0042_c0068,0.7902
r0042_c0069,0.728
r0042_c0070,0.4791
r0042_c0071,0.3644
r0042_c0072,1.3456
r0042_c0073,1.3015
r0043_c0023,-0.0
r0043_c0024,0.6555
r0043_c0025,0.6417
r0043_c0026,0.4862
r0043_c0027,1.466
r0043_c0028,1.4241
r0043_c0029,1.578
r0043_c0031,-0.0
r0043_c0032,0.9178
r0043_c0033,0.4467
r0043_c0043,-0.0
r0043_c0044,-0.0
r0043_c0045,1.2255
r0043_c0046,1.2208
r0043_c0047,1.5654
r0043_c0048,0.1908
r0043_c0049,0.1927
r0043_c0050,1.0628
r0043_c0051,0.6942
r0043_c0052,0.7804
r0043_c0053,1.4333
r0043_c0054,1.0625
r0043_c0055,0.2388
r0043_c0056,-0.0
r0043_c0057,0.2691
r0043_c0058,0.2756
r0043_c0059,0.9536
r0043_c0060,0.611
r0043_c0061,0.6271
r0043_c0062,0.5663
r0043_c0063,1.1336
r0043_c0064,0.6066
r0043_c0065,0.3617
r0043_c0066,0.3716
r0043_c0067,0.287
r0043_c0068,0.9176
r0043_c0069,0.3161
r0043_c0070,0.1631
r0043_c0071,0.1654
r0043_c0072,0.1931
r0043_c0073,0.8004
r0044_c0023,-0.0
r0044_c0024,1.1377
r0044_c0025,0.2692
r0044_c0026,0.7405
r0044_c0027,0.4256
r0044_c0028,0.18
r0044_c0029,1.172
r0044_c0030,1.3201
r0044_c0031,1.429
r0044_c0032,0.9925
r0044_c0033,0.2466
r0044_c0034,1.1605
r0044_c0044,0.9489
r0044_c0045,1.3496
r0044_c0046,0.9199
r0044_c0047,0.5732
r0044_c0048,0.2175
r0044_c0049,0.0871
r0044_c0050,0.938
r0044_c0051,0.4975
r0044_c0052,0.8316
r0044_c0053,0.4115
r0044_c0054,1.1177
r0044_c0055,0.8263
r0044_c0056,0.858
r0044_c0057,0.0563
r0044_c0058,0.4661
r0044_c0059,0.3431
r0044_c0060,0.2532
r0044_c0061,0.6344
r0044_c0062,1.0786
r0044_c0063,1.1702
r0044_c0064,1.3529
r0044_c0065,0.9741
r0044_c0066,1.5367
r0044_c0067,0.3686
r0044_c0068,0.8887
r0044_c0069,1.2041
r0044_c0071,0.2806
r0044_c0072,1.4806
r0044_c0073,1.1744
r0044_c0074,0.011
r0044_c0075,0.3411
r0045_c0023,0.8796
r0045_c0024,0.2597
r0045_c0025,0.5811
r0045_c0026,1.3658
r0045_c0027,-0.0
r0045_c0028,0.2119
r0045_c0029,0.4663
r0045_c0030,1.2939
r0045_c0031,1.2286
r0045_c0032,1.5975
r0045_c0033,0.5585
r0045_c0034,0.8972
r0045_c0043,0.9798
r0045_c0044,0.849
r0045_c0045,0.7264
r0045_c0046,0.9444
r0045_c0047,0.1564
r0045_c0048,0.2448
r0045_c0049,0.2143
r0045_c0050,1.6163
