cell_id,amenity_density,amenity_ratio_food_drink
r0023_c0020,2800.0,0.1429
r0023_c0021,311.11,0.1429
r0023_c0022,1244.44,0.0714
r0023_c0023,933.33,0.2381
r0023_c0024,1511.11,0.0294
r0023_c0025,2577.78,0.2241
r0023_c0026,2622.22,0.1356
r0023_c0027,3333.33,0.36
r0023_c0028,2933.33,0.2273
r0023_c0029,2888.89,0.2923
r0023_c0030,2577.78,0.4138
r0023_c0031,2800.0,0.3333
r0023_c0032,2355.56,0.4906
r0023_c0033,888.89,0.25
r0023_c0034,1155.56,0.3462
r0023_c0035,800.0,0.1111
r0023_c0039,711.11,0.0
r0024_c0020,3422.22,0.0779
r0024_c0021,711.11,0.25
r0024_c0022,1911.11,0.3488
r0024_c0023,1644.44,0.2162
r0024_c0024,1288.89,0.2069
r0024_c0025,2088.89,0.1277
r0024_c0026,2088.89,0.234
r0024_c0027,1555.56,0.5429
r0024_c0028,2977.78,0.2836
r0024_c0029,1866.67,0.2381
r0024_c0030,1022.22,0.1739
r0024_c0031,2355.56,0.283
r0024_c0032,2444.44,0.4909
r0024_c0033,1511.11,0.4118
r0024_c0034,2177.78,0.4082
r0024_c0035,1244.44,0.0357
r0025_c0020,5022.22,0.0354
r0025_c0021,577.78,0.2308
r0025_c0022,1911.11,0.0
r0025_c0023,2577.78,0.1207
r0025_c0024,1555.56,0.0857
r0025_c0025,1511.11,0.0882
r0025_c0026,2666.67,0.0833
r0025_c0027,2533.33,0.2632
r0025_c0028,2266.67,0.4314
r0025_c0029,1600.0,0.3611
r0025_c0030,1022.22,0.2174
r0025_c0031,1511.11,0.2647
r0025_c0032,2977.78,0.3582
r0025_c0033,711.11,0.5
r0025_c0034,1377.78,0.2258
r0025_c0035,977.78,0.4091
r0025_c0036,711.11,0.0
r0025_c0037,666.67,0.0
r0025_c0038,1155.56,0.0769
r0026_c0019,13244.44,0.0101
r0026_c0020,400.0,0.2222
r0026_c0021,977.78,0.0
r0026_c0022,2711.11,0.0
r0026_c0023,3511.11,0.1266
r0026_c0024,1111.11,0.16
r0026_c0025,755.56,0.1765
r0026_c0026,1155.56,0.0769
r0026_c0027,2666.67,0.3
r0026_c0028,2311.11,0.3654
r0026_c0029,2044.44,0.1087
r0026_c0030,1244.44,0.3571
r0026_c0031,755.56,0.1765
r0026_c0032,1644.44,0.5946
r0026_c0033,1244.44,0.4643
r0026_c0034,1022.22,0.3913
r0026_c0035,1688.89,0.3684
r0026_c0036,666.67,0.2667
r0026_c0037,1022.22,0.087
r0026_c0038,533.33,0.0833
r0027_c0020,444.44,0.3
r0027_c0021,622.22,0.0
r0027_c0022,977.78,0.0455
r0027_c0023,1422.22,0.25
r0027_c0024,2133.33,0.1875
r0027_c0025,1333.33,0.0
r0027_c0026,1244.44,0.0
r0027_c0027,1244.44,0.1429
r0027_c0028,2488.89,0.1607
r0027_c0029,2533.33,0.1228
r0027_c0030,1022.22,0.087
r0027_c0031,1066.67,0.2083
r0027_c0032,1911.11,0.4186
r0027_c0033,622.22,0.2857
r0027_c0034,1911.11,0.2326
r0027_c0035,755.56,0.4118
r0027_c0036,711.11,0.0625
r0027_c0037,933.33,0.1905
r0027_c0038,266.67,0.1667
r0027_c0039,1111.11,0.08
r0028_c0020,3200.0,0.0
r0028_c0021,1555.56,0.0
r0028_c0022,844.44,0.1053
r0028_c0023,800.0,0.1111
r0028_c0024,1466.67,0.3333
r0028_c0025,1777.78,0.05
r0028_c0026,1200.0,0.1111
r0028_c0027,1733.33,0.1026
r0028_c0028,1288.89,0.1724
r0028_c0029,1422.22,0.3125
r0028_c0030,1288.89,0.2414
r0028_c0031,1333.33,0.3
r0028_c0032,755.56,0.1765
r0028_c0033,1022.22,0.2609
r0028_c0034,1377.78,0.1613
r0028_c0035,1111.11,0.32
r0028_c0036,711.11,0.25
r0028_c0037,755.56,0.1176
r0028_c0038,1377.78,0.2903
r0028_c0039,755.56,0.1176
r0029_c0020,2000.0,0.0444
r0029_c0021,444.44,0.0
r0029_c0022,311.11,0.0
r0029_c0023,711.11,0.3125
r0029_c0024,1466.67,0.2424
r0029_c0025,2000.0,0.3111
r0029_c0026,933.33,0.3333
r0029_c0027,355.56,0.125
r0029_c0028,1733.33,0.3333
r0029_c0029,1333.33,0.2
r0029_c0030,1777.78,0.525
r0029_c0031,2088.89,0.2979
r0029_c0032,2311.11,0.3077
r0029_c0033,1511.11,0.5588
r0029_c0034,1911.11,0.3953
r0029_c0035,1600.0,0.4722
r0029_c0037,755.56,0.0588
r0029_c0038,1377.78,0.2258
r0029_c0040,755.56,0.0
r0030_c0021,311.11,0.1429
r0030_c0022,711.11,0.375
r0030_c0023,977.78,0.0455
r0030_c0024,1466.67,0.3333
r0030_c0025,1111.11,0.6
r0030_c0026,1244.44,0.5
r0030_c0028,711.11,0.25
r0030_c0029,888.89,0.4
r0030_c0030,1288.89,0.2069
r0030_c0031,1644.44,0.1351
r0030_c0032,1822.22,0.4634
r0030_c0033,1555.56,0.5429
r0030_c0034,3111.11,0.5286
r0030_c0035,2044.44,0.6087
r0030_c0036,1244.44,0.0714
r0030_c0037,1555.56,0.2286
r0030_c0038,400.0,0.0
r0030_c0039,622.22,0.1429
r0031_c0020,977.78,0.0
r0031_c0021,133.33,0.0
r0031_c0022,488.89,0.0909
r0031_c0023,1911.11,0.4186
r0031_c0024,1955.56,0.2045
r0031_c0025,1644.44,0.6216
r0031_c0026,2088.89,0.5532
r0031_c0027,1688.89,0.2632
