cell_id,road_density_primary
r0036_c0030,0.0
r0036_c0032,0.0
r0036_c0033,0.0
r0036_c0034,0.0
r0036_c0035,0.0
r0036_c0036,0.0
r0036_c0037,4.2
r0037_c0021,10.53
r0037_c0022,20.28
r0037_c0023,11.22
r0037_c0024,6.77
r0037_c0025,12.27
r0037_c0026,4.65
r0037_c0027,18.28
r0037_c0028,9.12
r0037_c0029,0.0
r0037_c0030,0.0
r0037_c0031,0.0
r0037_c0032,0.0
r0037_c0033,0.0
r0037_c0034,0.0
r0037_c0035,0.0
r0037_c0036,0.0
r0037_c0037,12.73
r0037_c0039,25.8
r0038_c0020,0.0
r0038_c0021,7.22
r0038_c0022,13.45
r0038_c0023,29.5
r0038_c0024,10.89
r0038_c0025,10.76
r0038_c0026,9.69
r0038_c0027,23.2
r0038_c0028,10.34
r0038_c0029,21.11
r0038_c0030,4.04
r0038_c0031,0.0
r0038_c0032,0.0
r0038_c0033,0.0
r0038_c0034,0.0
r0038_c0035,0.0
r0038_c0036,0.0
r0038_c0037,0.0
r0038_c0038,1.31
r0039_c0021,13.44
r0039_c0022,6.8
r0039_c0023,8.63
r0039_c0024,14.83
r0039_c0025,12.19
r0039_c0026,12.39
r0039_c0027,8.33
r0039_c0028,12.37
r0039_c0029,20.26
r0039_c0030,0.0
r0039_c0031,0.0
r0039_c0032,0.0
r0039_c0033,0.0
r0039_c0034,0.0
r0039_c0035,0.0
r0039_c0036,0.0
r0039_c0037,0.0
r0039_c0038,12.31
r0040_c0021,0.0
r0040_c0022,23.21
r0040_c0023,15.68
r0040_c0024,18.04
r0040_c0025,10.6
r0040_c0026,13.57
r0040_c0027,14.56
r0040_c0028,10.66
r0040_c0029,0.0
r0040_c0030,15.13
r0040_c0031,0.0
r0040_c0032,0.0
r0040_c0033,0.0
r0040_c0034,0.0
r0040_c0035,0.0
r0040_c0036,0.0
r0040_c0037,0.0
r0040_c0038,0.0
r0040_c0039,5.26
r0041_c0021,23.65
r0041_c0022,3.53
r0041_c0023,8.57
r0041_c0024,0.0
r0041_c0025,42.37
r0041_c0026,10.33
r0041_c0027,2.02
r0041_c0028,8.85
r0041_c0029,26.55
r0041_c0030,7.11
r0041_c0031,0.0
r0041_c0032,0.0
r0041_c0033,0.0
r0041_c0034,0.0
r0041_c0035,0.0
r0041_c0036,0.0
