cell_id,cell_lat,cell_lon,zone_type,cell_lot_count
r0024_c0028,40.7193594,-73.9958333,Mixed-Use,46
r0024_c0029,40.7193594,-73.9940489,Mixed-Use,39
r0024_c0030,40.7193594,-73.9922645,Open Space,23
r0024_c0031,40.7193594,-73.9904801,Mixed-Use,35
r0024_c0032,40.7193594,-73.9886957,Mixed-Use,39
r0024_c0033,40.7193594,-73.9869113,Commercial,30
r0024_c0034,40.7193594,-73.9851269,Mixed-Use,52
r0024_c0035,40.7193594,-73.9833425,Institutional,26
r0025_c0020,40.7207107,-74.0101084,Mixed-Use,14
r0025_c0021,40.7207107,-74.008324,Mixed-Use,13
r0025_c0022,40.7207107,-74.0065396,Mixed-Use,10
r0025_c0023,40.7207107,-74.0047552,Mixed-Use,20
r0025_c0024,40.7207107,-74.0029708,Mixed-Use,44
r0025_c0025,40.7207107,-74.0011864,Commercial,30
r0025_c0026,40.7207107,-73.9994021,Mixed-Use,38
r0025_c0027,40.7207107,-73.9976177,Mixed-Use,27
r0025_c0028,40.7207107,-73.9958333,Mixed-Use,47
r0025_c0029,40.7207107,-73.9940489,Mixed-Use,37
r0025_c0030,40.7207107,-73.9922645,Mixed-Use,19
r0025_c0031,40.7207107,-73.9904801,Mixed-Use,34
r0025_c0032,40.7207107,-73.9886957,Mixed-Use,59
r0025_c0033,40.7207107,-73.9869113,Institutional,39
r0025_c0034,40.7207107,-73.9851269,Residential,48
r0025_c0035,40.7207107,-73.9833425,Residential,51
r0025_c0036,40.7207107,-73.9815581,Residential,21
r0025_c0037,40.7207107,-73.9797737,Residential,26
r0025_c0038,40.7207107,-73.9779893,Mixed-Use,16
r0026_c0019,40.7220621,-74.0118928,Residential,4
r0026_c0020,40.7220621,-74.0101084,Mixed-Use,18
r0026_c0021,40.7220621,-74.008324,Mixed-Use,20
r0026_c0022,40.7220621,-74.0065396,Open Space,9
r0026_c0023,40.7220621,-74.0047552,Commercial,20
r0026_c0024,40.7220621,-74.0029708,Mixed-Use,38
r0026_c0025,40.7220621,-74.0011864,Mixed-Use,38
r0026_c0026,40.7220621,-73.9994021,Commercial,26
r0026_c0027,40.7220621,-73.9976177,Commercial,36
r0026_c0028,40.7220621,-73.9958333,Mixed-Use,49
r0026_c0029,40.7220621,-73.9940489,Mixed-Use,40
r0026_c0030,40.7220621,-73.9922645,Open Space,33
r0026_c0031,40.7220621,-73.9904801,Residential,16
r0026_c0032,40.7220621,-73.9886957,Residential,30
r0026_c0033,40.7220621,-73.9869113,Mixed-Use,22
r0026_c0034,40.7220621,-73.9851269,Mixed-Use,28
r0026_c0035,40.7220621,-73.9833425,Mixed-Use,40
r0026_c0036,40.7220621,-73.9815581,Residential,39
r0026_c0037,40.7220621,-73.9797737,Mixed-Use,53
r0026_c0038,40.7220621,-73.9779893,Residential,28
r0027_c0020,40.7234134,-74.0101084,Mixed-Use,24
r0027_c0021,40.7234134,-74.008324,Residential,13
r0027_c0022,40.7234134,-74.0065396,Commercial,4
r0027_c0023,40.7234134,-74.0047552,Commercial,22
r0027_c0024,40.7234134,-74.0029708,Mixed-Use,35
r0027_c0025,40.7234134,-74.0011864,Mixed-Use,42
r0027_c0026,40.7234134,-73.9994021,Mixed-Use,33
r0027_c0027,40.7234134,-73.9976177,Commercial,26
r0027_c0028,40.7234134,-73.9958333,Mixed-Use,27
r0027_c0029,40.7234134,-73.9940489,Mixed-Use,63
r0027_c0030,40.7234134,-73.9922645,Mixed-Use,17
r0027_c0031,40.7234134,-73.9904801,Open Space,26
r0027_c0032,40.7234134,-73.9886957,Mixed-Use,33
r0027_c0033,40.7234134,-73.9869113,Mixed-Use,22
r0027_c0034,40.7234134,-73.9851269,Residential,18
r0027_c0035,40.7234134,-73.9833425,Mixed-Use,43
r0027_c0036,40.7234134,-73.9815581,Institutional,20
r0027_c0037,40.7234134,-73.9797737,Residential,29
r0027_c0038,40.7234134,-73.9779893,Residential,50
r0027_c0039,40.7234134,-73.9762049,Mixed-Use,17
r0028_c0020,40.7247648,-74.0101084,Residential,26
r0028_c0021,40.7247648,-74.008324,Mixed-Use,18
r0028_c0022,40.7247648,-74.0065396,Mixed-Use,22
r0028_c0023,40.7247648,-74.0047552,Commercial,23
r0028_c0024,40.7247648,-74.0029708,Mixed-Use,50
r0028_c0025,40.7247648,-74.0011864,Mixed-Use,40
r0028_c0026,40.7247648,-73.9994021,Mixed-Use,39
r0028_c0027,40.7247648,-73.9976177,Commercial,20
r0028_c0028,40.7247648,-73.9958333,Commercial,12
r0028_c0029,40.7247648,-73.9940489,Mixed-Use,25
r0028_c0030,40.7247648,-73.9922645,Mixed-Use,29
r0028_c0031,40.7247648,-73.9904801,Mixed-Use,28
r0028_c0032,40.7247648,-73.9886957,Residential,48
r0028_c0033,40.7247648,-73.9869113,Residential,14
r0028_c0034,40.7247648,-73.9851269,Residential,8
r0028_c0035,40.7247648,-73.9833425,Residential,59
r0028_c0036,40.7247648,-73.9815581,Residential,44
r0028_c0037,40.7247648,-73.9797737,Residential,54
