cell_id,nightlife_density
r0059_c0028,0.0
r0059_c0029,44.44
r0059_c0030,44.44
r0059_c0031,0.0
r0059_c0032,0.0
r0059_c0033,44.44
r0059_c0034,0.0
r0059_c0035,0.0
r0059_c0036,0.0
r0059_c0037,0.0
r0059_c0042,0.0
r0059_c0043,0.0
r0059_c0044,0.0
r0059_c0045,0.0
r0059_c0046,0.0
r0059_c0047,0.0
r0059_c0048,0.0
r0059_c0049,0.0
r0059_c0050,88.89
r0059_c0051,0.0
r0059_c0052,0.0
r0059_c0053,0.0
r0060_c0028,133.33
r0060_c0030,0.0
r0060_c0031,0.0
r0060_c0032,44.44
r0060_c0033,44.44
r0060_c0034,0.0
r0060_c0035,133.33
r0060_c0043,0.0
r0060_c0044,0.0
r0060_c0045,0.0
r0060_c0046,0.0
r0060_c0047,0.0
r0060_c0048,0.0
r0060_c0049,0.0
r0060_c0050,0.0
r0060_c0051,44.44
r0060_c0052,0.0
r0060_c0053,0.0
r0060_c0054,0.0
r0061_c0029,0.0
r0061_c0030,44.44
r0061_c0031,0.0
r0061_c0032,0.0
r0061_c0033,0.0
r0061_c0034,44.44
r0061_c0035,0.0
r0061_c0043,0.0
r0061_c0044,0.0
r0061_c0045,0.0
r0061_c0046,0.0
r0061_c0047,0.0
r0061_c0048,0.0
r0061_c0049,0.0
r0061_c0050,0.0
r0061_c0051,133.33
r0061_c0052,0.0
r0061_c0053,0.0
r0061_c0055,0.0
r0062_c0030,0.0
r0062_c0031,0.0
r0062_c0032,0.0
r0062_c0033,0.0
r0062_c0034,0.0
r0062_c0035,44.44
r0062_c0036,0.0
r0062_c0044,0.0
r0062_c0045,0.0
r0062_c0046,0.0
r0062_c0047,44.44
r0062_c0048,44.44
r0062_c0049,0.0
r0062_c0050,88.89
r0062_c0051,44.44
r0062_c0052,44.44
r0062_c0053,0.0
r0062_c0054,0.0
r0062_c0055,0.0
r0063_c0030,44.44
r0063_c0031,44.44
r0063_c0032,44.44
r0063_c0033,0.0
r0063_c0035,177.78
r0063_c0036,0.0
r0063_c0037,0.0
r0063_c0044,44.44
r0063_c0045,0.0
r0063_c0046,0.0
r0063_c0047,0.0
r0063_c0048,0.0
r0063_c0049,0.0
r0063_c0050,0.0
r0063_c0051,177.78
r0063_c0052,44.44
r0063_c0053,0.0
r0063_c0054,0.0
r0063_c0055,0.0
r0063_c0056,0.0
r0064_c0030,0.0
r0064_c0031,0.0
r0064_c0033,0.0
r0064_c0036,133.33
r0064_c0037,0.0
r0064_c0038,0.0
r0064_c0045,0.0
r0064_c0046,0.0
r0064_c0047,0.0
r0064_c0048,0.0
r0064_c0049,0.0
r0064_c0050,0.0
r0064_c0051,0.0
r0064_c0052,0.0
r0064_c0053,0.0
r0064_c0054,0.0
r0064_c0055,0.0
r0064_c0056,0.0
r0065_c0030,0.0
r0065_c0031,0.0
r0065_c0032,0.0
r0065_c0033,0.0
r0065_c0034,177.78
r0065_c0035,355.56
r0065_c0036,44.44
r0065_c0037,0.0
r0065_c0038,0.0
r0065_c0045,0.0
r0065_c0046,44.44
r0065_c0047,0.0
r0065_c0048,0.0
r0065_c0049,0.0
r0065_c0050,44.44
r0065_c0051,0.0
r0065_c0052,44.44
r0065_c0053,88.89
r0065_c0054,0.0
r0065_c0055,44.44
r0065_c0056,0.0
r0065_c0057,0.0
r0066_c0032,0.0
r0066_c0034,0.0
r0066_c0035,44.44
r0066_c0036,0.0
r0066_c0037,44.44
r0066_c0038,0.0
r0066_c0046,0.0
r0066_c0047,0.0
r0066_c0048,0.0
r0066_c0049,0.0
r0066_c0050,0.0
r0066_c0051,44.44
r0066_c0052,88.89
r0066_c0053,44.44
r0066_c0054,0.0
r0066_c0055,0.0
r0066_c0056,0.0
r0066_c0057,0.0
r0067_c0032,0.0
r0067_c0034,0.0
r0067_c0035,0.0
r0067_c0036,44.44
r0067_c0037,44.44
r0067_c0038,177.78
r0067_c0039,0.0
r0067_c0046,44.44
r0067_c0047,0.0
r0067_c0048,0.0
r0067_c0049,0.0
r0067_c0050,0.0
r0067_c0051,0.0
r0067_c0052,133.33
r0067_c0053,133.33
r0067_c0054,44.44
r0067_c0055,88.89
r0067_c0056,0.0
r0067_c0057,0.0
r0068_c0033,0.0
r0068_c0034,0.0
r0068_c0035,88.89
r0068_c0036,44.44
r0068_c0037,0.0
r0068_c0038,0.0
r0068_c0039,0.0
r0068_c0040,0.0
r0068_c0047,44.44
r0068_c0048,0.0
r0068_c0049,0.0
r0068_c0050,44.44
r0068_c0051,44.44
r0068_c0052,0.0
r0068_c0053,88.89
r0068_c0054,0.0
r0068_c0055,0.0
r0068_c0056,0.0
r0069_c0032,0.0
r0069_c0033,0.0
r0069_c0034,0.0
r0069_c0035,0.0
r0069_c0036,44.44
