cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,shop_density_km2,office_density,road_density_primary,transit_stop_density,intersection_density,nightlife_density
r0074_c0050,40.7869269,-73.9565766,Residential,13,488.89,0.0,11.0,1923,145697.0,4.0,0.7956,0.0,0.0,0.0,44.44,0.0,0.0
r0074_c0051,40.7869269,-73.9547922,Residential,32,711.11,0.125,6.7,1904,951376.0,38.0,1.6528,88.89,0.0,0.0,88.89,44.44,0.0
r0074_c0052,40.7869269,-73.9530078,Residential,19,666.67,0.2,9.8,1928,1234558.0,20.0,1.6463,266.67,0.0,0.0,133.33,88.89,0.0
r0074_c0053,40.7869269,-73.9512235,Mixed-Use,31,977.78,0.2273,6.3,1927,922997.0,32.0,1.6842,177.78,44.44,0.0,44.44,133.33,88.89
r0074_c0054,40.7869269,-73.9494391,Residential,18,800.0,0.2778,6.5,1927,664586.0,19.0,1.8805,133.33,0.0,0.0,88.89,44.44,0.0
r0074_c0055,40.7869269,-73.9476547,Mixed-Use,8,1022.22,0.0435,7.8,1941,330615.0,10.0,1.8845,133.33,0.0,0.0,0.0,88.89,0.0
r0074_c0056,40.7869269,-73.9458703,Residential,4,1022.22,0.0,5.0,1901,107234.0,1.0,-0.0,88.89,44.44,0.0,44.44,44.44,0.0
r0074_c0057,40.7869269,-73.9440859,Mixed-Use,5,266.67,0.0,6.0,1940,206739.0,6.0,2.2057,44.44,0.0,0.0,44.44,0.0,0.0
r0074_c0058,40.7869269,-73.9423015,Mixed-Use,3,355.56,0.125,7.3,1994,586650.0,5.0,-0.0,222.22,0.0,0.0,44.44,88.89,0.0
r0075_c0036,40.7882783,-73.9815581,Residential,4,88.89,0.0,,,,,0.0,0.0,0.0,4.8,0.0,0.0,0.0
r0075_c0037,40.7882783,-73.9797737,Residential,61,0.0,0.0,4.8,1897,1003347.0,55.0,1.9668,0.0,0.0,11.77,0.0,0.0,0.0
r0075_c0038,40.7882783,-73.9779893,Residential,23,355.56,0.375,8.7,1911,1348580.0,32.0,1.7701,133.33,0.0,18.32,0.0,88.89,0.0
r0075_c0039,40.7882783,-73.9762049,Mixed-Use,5,1600.0,0.1667,8.6,1915,969312.0,9.0,1.9402,533.33,0.0,6.61,488.89,133.33,0.0
r0075_c0040,40.7882783,-73.9744206,Mixed-Use,12,755.56,0.3529,9.4,1921,1414617.0,12.0,1.4511,177.78,0.0,0.0,44.44,88.89,0.0
r0075_c0041,40.7882783,-73.9726362,Residential,85,88.89,0.0,3.8,1892,785330.0,72.0,2.1789,0.0,0.0,7.05,0.0,0.0,0.0
r0075_c0042,40.7882783,-73.9708518,Residential,21,1022.22,0.087,4.7,1909,614893.0,24.0,2.1968,222.22,0.0,1.77,44.44,44.44,0.0
r0075_c0043,40.7882783,-73.9690674,Residential,70,44.44,0.0,4.3,1895,776945.0,71.0,1.3292,0.0,0.0,24.91,0.0,0.0,0.0
r0075_c0044,40.7882783,-73.967283,Residential,4,533.33,0.0,6.6,1900,1053455.0,37.0,1.6252,0.0,0.0,14.23,133.33,88.89,0.0
r0075_c0051,40.7882783,-73.9547922,Residential,15,1688.89,0.0263,11.1,1923,897085.0,10.0,1.141,44.44,0.0,0.0,266.67,177.78,0.0
r0075_c0052,40.7882783,-73.9530078,Institutional,20,1155.56,0.2692,5.7,1920,483500.0,22.0,1.8598,222.22,0.0,0.0,133.33,88.89,0.0
r0075_c0054,40.7882783,-73.9494391,Mixed-Use,25,933.33,0.4286,5.9,1926,438356.0,12.0,1.7636,222.22,0.0,0.0,88.89,44.44,44.44
r0075_c0055,40.7882783,-73.9476547,Residential,36,666.67,0.0667,5.3,1926,505621.0,42.0,2.0909,266.67,0.0,0.0,0.0,44.44,0.0
r0075_c0057,40.7882783,-73.9440859,Mixed-Use,16,977.78,0.0909,5.4,1949,261372.0,9.0,1.5432,311.11,0.0,8.91,88.89,133.33,0.0
r0075_c0058,40.7882783,-73.9423015,Mixed-Use,24,177.78,0.25,4.2,1930,853270.0,23.0,1.8566,0.0,0.0,0.0,0.0,133.33,0.0
