location,osm_id,name,lat,lon,label,distance_m,lot_area_sqft,highway_type,lanes,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,res_ratio,com_ratio,median_income,assess_per_sqft,year_built,pedestrian_rank,pedestrian_category,dist_subway_m,shops_within_100m,population_density,shop_mix_entropy
times_square,12917458445,Black Fox,40.7546617,-73.977442,food_drink,847.8,43313.0,secondary,2.0,42.4,382.9,398.5,161.4,0.0,1.0,171875.0,1714.504883060513,1924.0,2,high,26.74,25,89,1.5191090010702477
times_square,4815674629,FDNY shop,40.7599089,-73.9786653,retail,848.0,184764.0,residential,1.0,118.9,496.2,306.2,132.9,0.0,1.0,181333.0,2587.7606027148145,1932.0,2,high,122.35,20,741,1.544825037334224
times_square,13683332549,Prix Fixe,40.7599849,-73.9783826,food_drink,848.0,7230.0,residential,1.0,139.8,516.5,282.7,122.2,0.0,1.0,181333.0,3648.174412171508,1950.0,2,high,145.49,18,741,1.5370063805889798
times_square,2717543371,Teresa's,40.7601327,-73.9787879,food_drink,848.0,89775.0,residential,1.0,103.8,512.0,317.9,111.3,0.0,1.0,181333.0,5324.005012531328,1963.0,2,high,111.83,20,741,1.56395501972254
times_square,5918030057,Limani,40.7596918,-73.978275,food_drink,848.0,184764.0,residential,1.0,127.7,495.5,274.0,129.5,0.0,1.0,181333.0,2587.7606027148145,1932.0,2,high,159.01,18,741,1.5176358864601602
times_square,13683349102,Duane Reade,40.7600362,-73.9785472,services,848.0,7230.0,residential,1.0,125.7,513.5,296.9,117.4,0.0,1.0,181333.0,3648.174412171508,1950.0,2,high,131.53,17,741,1.555858964949989
times_square,9838678804,Greek from Greece,40.751969,-73.9896709,food_drink,848.5,13825.0,secondary,3.0,65.0,313.3,239.9,157.9,0.0,1.0,146042.0,2429.5443037974683,1921.0,1,highest,119.13,37,210,1.5108297397546528
times_square,5816276401,Macaron Café,40.7518625,-73.9890435,food_drink,848.5,5925.0,secondary,2.0,101.1,261.2,289.2,134.1,0.0,1.0,146042.0,512.2025316455696,1900.0,2,high,137.72,32,210,1.50167821177722
times_square,1242371874,TD Bank,40.752085,-73.9895832,services,848.5,13825.0,secondary,2.0,68.9,299.3,250.5,171.4,0.0,1.0,146042.0,2429.5443037974683,1921.0,1,highest,133.99,38,210,1.4934692759958872
times_square,5816276454,Shindo,40.7520287,-73.9894276,retail,848.5,13825.0,secondary,2.0,83.2,293.4,261.4,169.5,0.0,1.0,146042.0,2429.5443037974683,1921.0,1,highest,135.55,39,210,1.5072056405647392
times_square,5213067726,Star Snaps NYC,40.7556198,-73.9921533,retail,850.6,2469.0,residential,1.0,98.6,288.9,285.2,207.9,0.8518518518518519,0.1481481481481481,145521.0,980.194410692588,1901.0,3,medium,102.64,36,3475,1.4696503491855384
times_square,265296309,Holiday Inn,40.7553149,-73.9917884,services,850.6,7402.0,residential,1.0,57.2,319.7,251.5,187.3,,,82500.0,2585.22021075385,2013.0,1,highest,97.74,59,137,1.5348178894628195
times_square,5818318680,Poketown,40.755361,-73.9915727,food_drink,850.6,4942.0,residential,1.0,41.9,314.3,233.6,168.5,0.0,1.0,82500.0,1861.9182517199515,1927.0,1,highest,82.68,64,137,1.5205788521328794
times_square,11814456769,Square pizza NYC Time Square,40.7556426,-73.9921788,food_drink,850.6,2469.0,residential,1.0,101.7,286.7,287.7,209.6,0.8518518518518519,0.1481481481481481,145521.0,980.194410692588,1901.0,3,medium,103.67,37,3475,1.4696503491855384
times_square,5818318681,Rattle N Hum West,40.7554555,-73.9917531,food_drink,850.6,4942.0,residential,1.0,60.2,304.0,249.5,179.3,0.0,1.0,145521.0,1861.9182517199515,1927.0,1,highest,84.32,60,3475,1.5428985655547596
times_square,3450931177,Sharan Deli,40.7555984,-73.9920714,food_drink,850.6,2469.0,residential,1.0,91.4,290.2,278.0,201.5,0.8518518518518519,0.1481481481481481,145521.0,980.194410692588,1901.0,3,medium,97.35,41,3475,1.4807630055025816
times_square,5816964482,Aya Sushi,40.7555965,-73.9921405,food_drink,850.6,2469.0,residential,1.0,96.4,291.3,283.7,207.3,0.8518518518518519,0.1481481481481481,145521.0,980.194410692588,1901.0,3,medium,102.7,36,3475,1.4760973881404915
times_square,6898115689,Dear Irving,40.755519,-73.9919666,food_drink,850.6,4937.0,residential,1.0,79.4,298.0,268.1,194.7,0.0,1.0,145521.0,532.3982175410168,1940.0,3,medium,94.02,49,3475,1.512564065233556
times_square,5816964481,Alan's Kitchen,40.7556117,-73.992188,food_drink,850.6,2469.0,residential,1.0,100.7,290.2,287.9,210.9,0.8518518518518519,0.1481481481481481,145521.0,980.194410692588,1901.0,3,medium,105.68,35,3475,1.4658182872249794
times_square,2611782748,AT&T,40.7618338,-73.9787076,retail,851.9,21606.0,secondary,2.0,96.6,439.1,192.7,88.0,0.0,1.0,181333.0,4259.066925853929,1965.0,1,highest,190.44,10,741,1.320755238197283
times_square,2611782749,Apple Bank,40.761965,-73.9786125,services,851.9,21606.0,secondary,4.0,80.2,428.8,182.7,100.0,0.0,1.0,181333.0,4259.066925853929,1965.0,1,highest,173.83,11,741,1.2417273423670232
