location,osm_id,lat,lon,distance_m,label,highway_type,lanes,lot_area_sqft,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,com_ratio,res_ratio,median_income
harlem,5314268567,40.8104834,-73.9513956,430.3,leisure_entertainment,primary,5.0,3000.0,10.5,129.6,117.2,85.4,1.0,0.0,
harlem,12887631693,40.8078918,-73.9450326,430.4,retail,secondary,3.0,6993.0,14.9,50.7,51.1,96.8,1.0,0.0,
harlem,5317574169,40.8077449,-73.9459069,431.6,retail,primary,4.0,32800.0,15.6,66.7,123.1,96.7,1.0,0.0,
harlem,13133487853,40.8132341,-73.9418383,432.4,health,secondary,2.0,3380.0,51.9,231.9,160.6,104.4,0.1716417910447761,0.8283582089552238,
harlem,12887631692,40.8078568,-73.9450583,433.5,finance,secondary,3.0,6993.0,15.6,46.4,52.4,92.6,1.0,0.0,
harlem,8333828580,40.8083041,-73.9492718,434.4,food_drink,residential,,21460.0,67.3,219.6,263.3,131.5,0.0805286823817958,0.919471317618204,
harlem,5314268566,40.8105106,-73.9514575,434.5,retail,primary,5.0,3000.0,10.3,132.3,117.1,85.0,1.0,0.0,
harlem,2562438646,40.8078217,-73.9450772,436.9,food_drink,primary,4.0,6993.0,17.8,42.2,53.5,88.4,1.0,0.0,
harlem,2501567185,40.8121987,-73.9516713,440.3,food_drink,residential,,8278.0,46.2,225.2,169.3,60.1,0.0669351162437319,0.933064883756268,
harlem,2562438626,40.8077868,-73.9449933,442.6,retail,primary,4.0,6993.0,25.1,41.1,46.2,86.0,1.0,0.0,
harlem,2562438642,40.8077525,-73.9449111,448.2,food_drink,primary,4.0,6993.0,32.6,41.5,39.4,84.4,1.0,0.0,
harlem,9966728418,40.8105595,-73.9516922,452.0,retail,primary,5.0,2000.0,16.5,138.6,114.0,91.8,1.0,0.0,
harlem,10969505900,40.8134445,-73.9417023,452.9,retail,residential,1.0,2500.0,30.3,238.7,149.1,102.5,0.1696352841391009,0.8303647158608991,
harlem,5314268565,40.8101236,-73.9515356,454.5,finance,primary,5.0,61660.0,26.7,89.2,77.8,126.8,1.0,0.0,
harlem,271823290,40.8146993,-73.9429514,456.0,leisure_entertainment,tertiary,4.0,14987.0,49.1,169.0,29.6,54.7,1.0,0.0,
harlem,5266902652,40.8076644,-73.9447636,461.4,finance,primary,4.0,5758.0,29.0,44.3,29.7,80.6,1.0,0.0,
harlem,2767370101,40.8075367,-73.9453131,462.7,health,primary,4.0,8578.0,36.8,12.3,77.9,56.0,1.0,0.0,
harlem,11984324689,40.8095611,-73.9513246,465.0,personal_care,residential,,20184.0,54.1,30.8,68.2,160.3,1.0,0.0,
harlem,6680394974,40.8075171,-73.9452848,465.4,retail,primary,4.0,8578.0,33.9,9.1,76.4,53.6,1.0,0.0,
harlem,5317574174,40.8073876,-73.9461497,469.3,finance,residential,,32800.0,26.2,79.3,149.9,85.9,1.0,0.0,
harlem,10969584343,40.8074502,-73.9453853,470.9,food_drink,secondary,2.0,8578.0,40.2,14.6,87.2,47.6,1.0,0.0,
harlem,368052764,40.8091529,-73.951096,472.9,leisure_entertainment,residential,,1298.0,62.9,39.4,100.0,130.2,0.2918079600214171,0.7081920399785829,
harlem,5855850397,40.8074566,-73.9452125,473.3,health,primary,4.0,8578.0,26.4,0.0,73.9,46.8,1.0,0.0,
harlem,6511878535,40.8157311,-73.9451417,473.4,food_drink,tertiary,2.0,7361.0,86.9,227.5,112.3,184.4,0.2069536423841059,0.793046357615894,
harlem,5266902651,40.80756,-73.9445108,479.4,food_drink,primary,4.0,2498.0,36.1,60.2,24.9,84.7,1.0,0.0,
harlem,7785298654,40.8107485,-73.952123,482.6,food_drink,primary,5.0,2328.0,17.7,138.0,128.8,89.0,1.0,0.0,
harlem,2562438643,40.8098104,-73.9517284,482.9,leisure_entertainment,secondary,4.0,61660.0,54.5,57.5,42.0,135.2,1.0,0.0,
harlem,6680604278,40.8073872,-73.9449972,485.2,food_drink,primary,4.0,5634.0,9.1,19.7,63.6,44.1,1.0,0.0,
harlem,2767369969,40.807238,-73.9455502,491.6,finance,secondary,2.0,4172.0,37.7,37.4,110.7,34.4,1.0,0.0,
harlem,11980041892,40.8093213,-73.951508,491.8,health,residential,,1298.0,39.4,0.0,60.6,129.9,0.2918079600214171,0.7081920399785829,
harlem,2562438625,40.8097211,-73.9517949,492.2,leisure_entertainment,residential,,61660.0,64.5,50.6,32.0,127.9,1.0,0.0,
harlem,2767432738,40.8103269,-73.952104,492.4,retail,primary,5.0,61660.0,23.1,122.6,82.0,129.8,1.0,0.0,
harlem,2767370017,40.810804,-73.9522586,492.7,food_drink,primary,5.0,6012.0,23.8,125.9,135.4,91.3,1.0,0.0,
harlem,2562438644,40.8155747,-73.9438822,493.8,food_drink,tertiary,2.0,2500.0,20.7,210.6,151.4,114.8,0.0905387052965142,0.9094612947034856,
harlem,6511867025,40.8160376,-73.9458914,496.1,food_drink,tertiary,2.0,12890.0,34.5,280.5,113.7,254.1,1.0,0.0,
harlem,6680394962,40.8103716,-73.9521715,496.5,retail,primary,5.0,8983.0,16.3,129.5,86.9,127.5,1.0,0.0,
harlem,271800354,40.8091429,-73.9514277,496.6,hospitality,residential,,15078.0,35.2,21.0,77.5,114.3,0.0459374356257908,0.3938867798671807,
harlem,2562438638,40.8071119,-73.9463524,499.2,food_drink,residential,,3757.0,31.4,103.3,176.8,93.9,0.5085170340681363,0.4914829659318637,
harlem,11840561722,40.8077216,-73.9496813,507.6,personal_care,residential,,3200.0,49.6,235.1,200.9,75.0,0.2050590219224283,0.7949409780775717,
harlem,2562438637,40.8070737,-73.9456305,508.6,food_drink,residential,,5800.0,32.8,55.2,126.9,33.1,0.1638338446231655,0.8361661553768345,
harlem,8333828581,40.8076883,-73.9496777,510.6,food_drink,residential,,3200.0,47.5,238.1,198.7,74.9,0.2050590219224283,0.7949409780775717,
harlem,2765765931,40.8074341,-73.9491277,513.3,food_drink,residential,,3850.0,7.5,290.1,167.8,123.2,0.1489203276247207,0.8510796723752793,
