location,osm_id,lat,lon,distance_m,label,highway_type,lanes,lot_area_sqft,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,com_ratio,res_ratio,median_income
harlem,5719013573,40.8006868,-73.9470452,1214.4,retail,tertiary,,54918.0,27.2,12.0,219.1,244.2,0.1607285869766104,0.8392714130233895,
harlem,2768451052,40.8154613,-73.9600115,1215.4,food_drink,residential,,13650.0,99.5,191.2,75.7,196.6,0.0225021362787606,0.9774978637212394,
harlem,2768078666,40.822137,-73.9426556,1215.5,retail,residential,,2492.0,58.6,118.5,176.6,143.9,0.3809523809523809,0.6190476190476191,
harlem,2883793318,40.8039697,-73.9360191,1223.9,office_professional,primary,4.0,17993.0,37.2,64.2,175.2,159.6,0.5578826367879542,0.4421173632120458,
harlem,2768438965,40.8113713,-73.961115,1230.3,food_drink,primary,,9983.0,80.2,527.5,85.1,207.8,0.0699614221666145,0.0,
harlem,12574374150,40.81998,-73.9369224,1232.0,retail,residential,,5304.0,33.8,455.7,356.4,144.9,0.0,1.0,
harlem,11772947998,40.8113267,-73.9611465,1233.0,personal_care,primary,,9983.0,85.8,533.1,83.0,211.3,0.0699614221666145,0.0,
harlem,11772947997,40.8112835,-73.9611781,1235.8,personal_care,primary,,9983.0,91.3,538.6,81.3,214.7,0.0699614221666145,0.0,
harlem,2768171701,40.8225009,-73.9493735,1236.0,food_drink,tertiary,,3497.0,149.9,489.7,133.5,117.3,0.0955292319449751,0.9044707680550248,
harlem,10196098734,40.8033615,-73.9563955,1238.1,food_drink,residential,,2500.0,48.0,309.5,195.3,119.5,0.1007252215954875,0.8992747784045125,
harlem,5719018954,40.8004366,-73.9463914,1241.3,food_drink,tertiary,,2139.0,30.7,73.5,269.7,187.8,1.0,0.0,
harlem,2768438958,40.811191,-73.9612444,1241.7,retail,residential,,9983.0,102.9,550.3,78.7,222.5,0.0699614221666145,0.0,
harlem,271844919,40.8208508,-73.9382143,1242.7,retail,secondary,4.0,5304.0,97.4,311.1,223.5,149.7,0.0,1.0,
harlem,12036720765,40.8032998,-73.9564167,1244.4,health,residential,,2542.0,41.0,315.4,189.9,126.6,0.0847816871555744,0.9152183128444256,
harlem,2340960566,40.808949,-73.9609388,1250.4,food_drink,residential,,734180.0,114.3,415.3,155.3,85.6,1.0,0.0,
harlem,12162106178,40.8215475,-73.9394828,1253.9,food_drink,primary,2.0,4000.0,9.9,179.4,118.3,135.8,0.15576688364524,0.84423311635476,
harlem,10570629806,40.8201562,-73.9367899,1254.2,food_drink,secondary,2.0,5304.0,17.9,453.7,359.7,151.0,0.0,1.0,
harlem,4111168787,40.8212432,-73.9387526,1254.9,retail,secondary,4.0,12384.0,42.0,249.5,174.3,187.1,1.0,0.0,
harlem,10207581130,40.8088483,-73.9609987,1258.0,food_drink,secondary,3.0,734180.0,114.6,403.7,166.0,93.7,1.0,0.0,
harlem,2768317001,40.8227323,-73.9491916,1258.4,retail,tertiary,,1699.0,121.0,465.4,121.5,91.6,0.0,1.0,
harlem,12921493565,40.8040944,-73.9352742,1260.6,health,secondary,4.0,45564.0,21.9,0.0,122.5,151.8,0.2364573930546477,0.7635426069453523,
harlem,10969660093,40.8216029,-73.9394424,1260.9,retail,secondary,4.0,4000.0,10.1,179.1,123.5,131.5,0.15576688364524,0.84423311635476,
harlem,5781374053,40.8210794,-73.9547411,1261.7,retail,primary,2.0,9992.0,29.6,683.2,148.1,107.4,0.0697465895262697,0.9302534104737302,
harlem,6549322049,40.8029397,-73.956201,1262.5,food_drink,residential,,15142.0,30.8,331.1,145.9,158.8,0.1258469487185297,0.8741530512814703,
harlem,11748916764,40.8217199,-73.9396933,1262.7,personal_care,secondary,4.0,4000.0,21.0,154.4,109.8,111.8,0.15576688364524,0.84423311635476,
harlem,2768316981,40.8228216,-73.9491325,1267.3,personal_care,secondary,,1699.0,110.2,456.1,110.6,82.3,0.0,1.0,
harlem,11255243809,40.8037632,-73.935539,1269.0,retail,primary,5.0,45564.0,24.5,43.0,165.5,121.2,0.2364573930546477,0.7635426069453523,
harlem,1667412535,40.8030944,-73.95657,1270.0,food_drink,residential,,2462.0,16.1,340.3,176.3,133.3,0.0894854586129754,0.9105145413870246,
harlem,4111168990,40.8207203,-73.9373244,1274.6,food_drink,secondary,4.0,68730.0,56.0,382.6,299.8,174.7,1.0,0.0,
harlem,11040513632,40.8028363,-73.9562879,1276.0,food_drink,secondary,2.0,15142.0,26.7,344.6,139.4,167.1,0.1258469487185297,0.8741530512814703,
harlem,4865590021,40.822703,-73.9426364,1276.7,retail,secondary,4.0,49346.0,33.1,118.0,218.1,190.3,0.3342478217712584,0.6657521782287416,
harlem,2603955336,40.8219224,-73.9531711,1277.7,retail,residential,,16986.0,42.9,621.8,108.3,61.8,1.0,0.0,
harlem,2768074409,40.8224012,-73.9412917,1278.5,health,secondary,4.0,10054.0,37.3,0.0,134.9,105.9,1.0,0.0,
harlem,10177409692,40.8213859,-73.9544803,1278.7,food_drink,residential,,12490.0,41.5,723.0,134.2,77.4,0.1180120035066423,0.8819879964933576,
harlem,2603955421,40.8214023,-73.954469,1279.7,food_drink,residential,,12490.0,41.3,725.1,134.0,76.3,0.1180120035066423,0.8819879964933576,
harlem,12989736580,40.8224338,-73.941369,1279.7,health,secondary,4.0,10054.0,30.0,7.4,140.0,111.2,1.0,0.0,
harlem,12162116557,40.8225708,-73.9418953,1280.0,food_drink,secondary,4.0,4000.0,22.4,54.2,170.5,149.5,1.0,0.0,
harlem,2768074413,40.8224741,-73.9414644,1281.3,personal_care,secondary,4.0,10054.0,21.1,16.6,146.5,118.0,1.0,0.0,
harlem,11255243806,40.8037045,-73.9354025,1281.9,food_drink,primary,5.0,45564.0,21.1,44.7,165.1,111.4,0.2364573930546477,0.7635426069453523,
harlem,12994269269,40.8205216,-73.9368396,1282.6,office_professional,secondary,4.0,7983.0,25.8,429.0,344.3,186.1,1.0,0.0,
harlem,5981262800,40.8034524,-73.9357042,1283.1,food_drink,primary,5.0,9675.0,21.7,80.0,202.1,96.9,0.088916797488226,0.911083202511774,
harlem,2768074420,40.8225428,-73.9416271,1284.0,food_drink,secondary,4.0,4000.0,7.9,32.3,158.2,130.4,1.0,0.0,
harlem,10969665277,40.8226359,-73.9418476,1288.1,retail,secondary,4.0,4000.0,18.1,53.6,175.1,148.1,1.0,0.0,
harlem,12036720756,40.8029183,-73.9566863,1291.1,food_drink,secondary,2.0,4750.0,10.6,360.9,166.3,133.5,0.1211453744493392,0.8788546255506607,
harlem,10177409691,40.8220128,-73.9533003,1291.6,food_drink,residential,,6797.0,29.3,618.0,120.1,66.1,0.6603,0.0,
harlem,3843956495,40.807525,-73.9608785,1292.2,food_drink,secondary,2.0,4004.0,55.8,259.4,134.7,82.3,1.0,0.0,
harlem,10067749670,40.8227754,-73.9422037,1294.2,retail,secondary,4.0,49346.0,22.7,87.3,203.1,178.3,0.3342478217712584,0.6657521782287416,
harlem,2603955339,40.8217049,-73.9542468,1299.0,health,primary,2.0,12490.0,24.5,688.2,134.5,63.9,0.1316729077767134,0.8683270922232866,
harlem,368062431,40.8096772,-73.9617322,1299.7,leisure_entertainment,residential,,734180.0,75.1,494.4,134.6,161.3,1.0,0.0,
harlem,5981255820,40.8033818,-73.9355044,1300.6,health,primary,5.0,9675.0,15.8,81.6,200.8,81.3,0.088916797488226,0.911083202511774,
harlem,2767864654,40.8216995,-73.9386991,1300.8,office_professional,primary,2.0,4000.0,10.4,231.7,186.3,159.8,0.1574403250380904,0.8425596749619096,
harlem,10969651111,40.8222778,-73.9401791,1301.0,food_drink,secondary,4.0,3997.0,89.6,94.6,128.8,45.3,0.1760970702879416,0.8239029297120584,
