osm_id,lat,lon,amenity_label,street_width_m,plot_area_m2,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,residential_ratio,commercial_ratio,median_income
2709931391,40.7633931,-73.9923609,food_drink,7.0,161.3,65.0,232.9,175.1,49.7,0.0,0.004,
2709931392,40.763866,-73.9920297,food_drink,7.0,162.7,41.5,231.3,145.6,109.0,0.0086,0.0043,
2709936707,40.7630462,-73.9894867,health,14.0,207.0,16.5,43.4,99.7,178.0,0.0593,0.0148,
2709955296,40.76498,-73.9883465,food_drink,3.5,209.4,169.5,136.0,159.3,280.6,0.0708,0.0,
2709955328,40.7653411,-73.991086,personal_care,7.0,297.9,92.3,313.6,128.0,116.5,0.0692,0.0126,
2709967731,40.764558,-73.9879258,retail,7.0,145.9,152.0,89.4,175.5,336.8,0.0748,0.0,
2709967732,40.7647706,-73.987788,food_drink,7.0,108.1,177.0,83.6,171.6,332.7,0.0698,0.0,
2709967734,40.7651951,-73.9874674,food_drink,7.0,182.4,141.5,93.5,172.9,293.2,0.0905,0.0,
2709967740,40.7638116,-73.9852607,personal_care,7.0,1057.7,28.9,154.8,68.4,227.1,0.1061,0.0379,
2709967742,40.7638874,-73.9851961,food_drink,7.0,1057.7,29.9,155.8,68.2,218.5,0.1119,0.0299,
2709967743,40.7639997,-73.9851042,retail,7.0,1071.9,36.9,158.1,70.3,206.1,0.1029,0.0294,
2710031782,40.7620192,-73.987651,food_drink,7.0,188.3,57.8,192.5,100.5,156.2,0.1966,0.0393,
2710031797,40.7612086,-73.9871163,retail,10.5,159.4,11.5,277.4,103.1,189.6,0.18,0.06,
2710031798,40.7615202,-73.9868934,food_drink,7.0,1268.6,10.7,274.3,129.5,206.7,0.1888,0.0699,
2710031799,40.7615479,-73.9868708,food_drink,7.0,1268.6,11.5,274.5,132.4,208.7,0.1831,0.0704,
2710091410,40.7623233,-73.9728564,retail,14.0,3187.6,40.8,213.3,324.9,109.2,0.0845,0.1408,
2710193326,40.7676165,-73.9894288,retail,7.0,103.4,42.9,312.5,52.3,196.7,0.1776,0.0,
2710195174,40.7684724,-73.9888124,food_drink,7.0,113.7,54.8,209.5,56.1,266.8,0.2521,0.0,
2710195176,40.7687413,-73.9886105,food_drink,7.0,219.1,21.1,177.3,90.5,242.5,0.2566,0.0088,
2710195178,40.7688283,-73.9885588,food_drink,7.0,219.1,11.1,167.9,101.1,234.8,0.2736,0.0094,
2710196320,40.7685278,-73.9855197,food_drink,10.5,733.8,50.2,158.2,211.6,119.2,0.2353,0.0,
2710212178,40.7690946,-73.9861621,personal_care,7.0,922.9,94.5,93.5,143.6,179.0,0.3766,0.0,
2710280595,40.7607871,-73.9988189,retail,3.5,2097.4,69.5,213.9,239.8,185.4,0.1786,0.0,
2710867088,40.7491872,-73.9807703,personal_care,7.0,614.6,111.7,98.3,252.8,75.1,0.0067,0.02,
2710917515,40.7494523,-73.9832785,food_drink,7.0,550.4,116.9,252.3,108.2,225.9,0.0198,0.0693,
2710917577,40.7507533,-73.9819745,food_drink,7.0,597.1,91.1,213.2,285.3,189.4,0.0,0.0427,
2710917633,40.7497762,-73.9833698,food_drink,7.0,406.0,80.2,270.8,141.6,260.4,0.0179,0.0625,
2710957430,40.7504324,-73.9785908,office_professional,7.0,2349.3,123.6,161.0,415.3,60.1,0.007,0.042,
2711422075,40.749007,-73.9894016,retail,3.5,96.8,70.3,221.0,90.3,77.6,0.0111,0.2,
2711422079,40.7487516,-73.9888481,retail,7.0,7418.8,19.3,195.6,112.5,33.8,0.0388,0.165,
2711422082,40.7488354,-73.9890016,retail,7.0,7418.8,33.5,202.9,104.7,44.9,0.0312,0.1875,
2711422086,40.7489117,-73.9891777,retail,7.0,7418.8,49.4,210.2,96.7,58.4,0.0333,0.1889,
2711422089,40.7492014,-73.9889236,retail,7.0,7418.8,40.6,244.1,133.9,66.4,0.0309,0.1753,
2711422092,40.7489517,-73.9892683,retail,3.5,7418.8,57.9,214.5,93.7,66.1,0.0225,0.1798,
2711422098,40.7492376,-73.9889991,retail,7.0,7418.8,48.1,247.4,132.1,73.8,0.0306,0.1837,
2711422100,40.7491232,-73.9887148,health,7.0,7418.8,21.5,238.3,142.1,47.9,0.0306,0.1837,
2711422104,40.7493481,-73.9892431,retail,3.5,7418.8,72.0,258.6,128.7,97.4,0.0116,0.186,
2711422106,40.749127,-73.989701,retail,3.5,96.8,98.3,236.8,88.7,104.0,0.012,0.1687,
2711422110,40.74931,-73.9891777,retail,3.5,7418.8,65.1,254.5,128.4,90.5,0.0225,0.1798,
2711422114,40.7492185,-73.9898621,retail,7.0,171.7,95.1,249.2,94.5,120.8,0.0128,0.1795,
2711422116,40.7494454,-73.9894897,retail,7.0,3264.8,95.3,270.1,128.2,120.5,0.0132,0.1711,
2711422119,40.7494835,-73.9896784,retail,7.0,1012.5,107.2,275.8,126.8,134.6,0.0135,0.1892,
2711422122,40.7493882,-73.9893538,retail,7.0,7418.8,82.3,263.2,127.6,107.5,0.0123,0.1852,
2711422128,40.749392,-73.9898746,retail,7.0,171.7,90.8,268.4,113.2,135.8,0.0132,0.1974,
2714855288,40.7515422,-73.9798731,food_drink,7.0,1663.6,20.6,15.7,380.3,136.9,0.0,0.125,
2714855295,40.7500156,-73.9811517,food_drink,7.0,1120.6,15.7,189.3,267.6,144.2,0.0093,0.0278,
2714855400,40.7498595,-73.9796281,hospitality,7.0,442.9,130.2,141.2,352.4,30.2,0.0,0.0128,
2714913585,40.7528537,-73.9738893,food_drink,7.0,635.0,94.8,368.1,237.7,99.4,0.0405,0.1892,
2714913588,40.7527397,-73.9734146,personal_care,7.0,212.8,136.7,340.1,207.7,127.5,0.0723,0.1566,
2714986490,40.7650575,-73.987136,food_drink,7.0,195.9,150.4,67.3,141.8,292.3,0.105,0.0,
2714986491,40.7650981,-73.9866666,personal_care,7.0,75.8,146.6,70.0,119.7,267.1,0.1111,0.0,
2714986492,40.7648158,-73.9865513,personal_care,7.0,207.7,179.2,45.3,88.4,290.6,0.1047,0.0,
2714986493,40.7653775,-73.9873248,food_drink,7.0,155.2,118.5,106.2,178.3,269.6,0.0909,0.0,
2714986494,40.7644572,-73.985746,food_drink,7.0,112.9,108.3,94.6,32.1,244.3,0.1084,0.006,
2715447785,40.7571097,-73.9721556,food_drink,7.0,1746.4,53.3,206.3,41.7,216.1,0.025,0.15,
2715511994,40.7509923,-73.9767859,food_drink,10.5,2542.5,21.3,255.5,334.9,113.6,0.0,0.0845,
2715512001,40.7503295,-73.9770276,food_drink,7.0,1131.2,64.6,225.9,346.5,120.8,0.0265,0.0531,
2715512014,40.7543671,-73.9767532,food_drink,7.0,1578.0,100.0,395.1,456.2,121.2,0.0,0.2647,
2715512021,40.7549267,-73.975929,finance,7.0,2345.0,129.1,487.4,363.7,30.6,0.0,0.3793,
2715512070,40.7580277,-73.9714246,food_drink,7.0,936.2,13.4,134.5,160.7,236.1,0.0244,0.122,
2716011938,40.7540533,-73.9798883,food_drink,7.0,1865.5,56.6,221.3,198.0,131.2,0.0,0.3621,
