cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,tourism_density,shop_density_km2,shop_type_entropy,brand_ratio
r0020_c0021,40.713954,-74.008324,Mixed-Use,32,1466.67,0.3939,6.8,1917.0,812866.0,34,1.0829,44.44,266.67,2.2516,0.1667
r0020_c0022,40.713954,-74.0065396,Commercial,14,3288.89,0.0811,11.2,1900.0,1357549.0,15,1.4952,177.78,355.56,3.0,0.0
r0020_c0023,40.713954,-74.0047552,Commercial,6,3911.11,0.0,12.3,1912.0,968834.0,5,1.1373,133.33,88.89,-0.0,0.0
r0020_c0024,40.713954,-74.0029708,Institutional,3,2533.33,0.0351,12.3,1936.0,719090.0,5,-0.0,266.67,177.78,2.0,0.0
r0020_c0025,40.713954,-74.0011864,Institutional,3,2044.44,0.0,20.3,1968.0,1523155.0,3,-0.0,0.0,0.0,0.0,0.0
r0020_c0026,40.713954,-73.9994021,Residential,26,5022.22,0.115,6.3,1917.0,610754.0,36,1.5886,133.33,222.22,1.5219,0.0
r0020_c0027,40.713954,-73.9976177,Mixed-Use,44,4444.44,0.14,4.6,1919.0,402163.0,44,1.2986,133.33,355.56,2.5,0.125
r0020_c0028,40.713954,-73.9958333,Mixed-Use,51,2488.89,0.125,5.0,1908.0,489905.0,54,1.4755,0.0,266.67,2.585,0.0
r0020_c0029,40.713954,-73.9940489,Commercial,38,2622.22,0.322,4.9,1938.0,454860.0,36,2.1373,177.78,711.11,2.8522,0.0
r0020_c0030,40.713954,-73.9922645,Mixed-Use,42,1422.22,0.3438,5.2,1919.0,450084.0,41,1.5802,0.0,444.44,3.1219,0.0
r0020_c0031,40.713954,-73.9904801,Mixed-Use,39,2400.0,0.2963,4.8,1922.0,351744.0,38,1.8639,88.89,355.56,3.0,0.0
r0020_c0032,40.713954,-73.9886957,Mixed-Use,20,2977.78,0.0597,5.9,1930.0,384364.0,19,1.6962,88.89,88.89,1.0,0.0
r0020_c0033,40.713954,-73.9869113,Institutional,35,933.33,0.381,4.8,1918.0,505797.0,36,1.7655,0.0,311.11,2.1281,0.0
r0020_c0034,40.713954,-73.9851269,Residential,22,533.33,0.0833,5.2,1901.0,283527.0,23,2.0263,0.0,0.0,0.0,0.0
r0020_c0035,40.713954,-73.9833425,Mixed-Use,8,577.78,0.0,3.7,1944.0,239485.0,11,1.97,0.0,0.0,0.0,0.0
r0020_c0036,40.713954,-73.9815581,Residential,16,1244.44,0.2143,3.1,1905.0,162538.0,18,2.0885,0.0,311.11,2.2359,0.0
r0021_c0020,40.7153053,-74.0101084,Mixed-Use,38,3777.78,0.1765,6.8,1919.0,853686.0,39,1.6636,88.89,622.22,3.182,0.2143
r0021_c0021,40.7153053,-74.008324,Mixed-Use,40,3022.22,0.25,5.7,1887.0,811187.0,42,1.4454,44.44,800.0,3.6416,0.0
r0021_c0022,40.7153053,-74.0065396,Mixed-Use,21,2888.89,0.1538,9.0,1910.0,1272542.0,21,1.5224,44.44,311.11,2.5216,0.2857
r0021_c0023,40.7153053,-74.0047552,Commercial,8,977.78,0.0909,13.6,1914.0,2111677.0,8,0.3225,44.44,44.44,-0.0,1.0
r0021_c0024,40.7153053,-74.0029708,Commercial,3,7466.67,0.006,27.5,1951.0,2006794.0,2,0.5883,711.11,0.0,0.0,0.0
r0021_c0026,40.7153053,-73.9994021,Open Space,32,10088.89,0.0969,4.9,1918.0,419884.0,47,1.5093,133.33,622.22,3.5216,0.0714
r0021_c0027,40.7153053,-73.9976177,Mixed-Use,51,5822.22,0.2595,4.9,1916.0,763922.0,55,1.169,88.89,1466.67,3.6115,0.0303
r0021_c0029,40.7153053,-73.9940489,Mixed-Use,32,1511.11,0.1176,4.6,1912.0,308806.0,34,1.8488,88.89,88.89,1.0,0.0
r0021_c0030,40.7153053,-73.9922645,Mixed-Use,54,2177.78,0.3878,5.3,1914.0,541786.0,59,1.5018,133.33,977.78,4.1524,0.0
r0021_c0031,40.7153053,-73.9904801,Mixed-Use,49,1466.67,0.303,5.5,1919.0,511973.0,60,1.1581,44.44,666.67,2.7396,0.0
r0021_c0032,40.7153053,-73.9886957,Residential,3,2444.44,0.0182,7.7,1935.0,1032798.0,6,0.9546,0.0,44.44,-0.0,0.0
r0021_c0034,40.7153053,-73.9851269,Residential,5,222.22,0.0,16.7,1952.0,1342713.0,5,1.0955,0.0,0.0,0.0,0.0
r0021_c0035,40.7153053,-73.9833425,Commercial,6,1288.89,0.1034,5.5,1922.0,177392.0,5,1.7855,0.0,44.44,-0.0,0.0
r0021_c0036,40.7153053,-73.9815581,Residential,3,1066.67,0.0833,6.3,1965.0,516468.0,3,0.873,0.0,133.33,1.585,0.0
r0021_c0037,40.7153053,-73.9797737,Residential,4,844.44,0.1053,6.7,1937.0,693593.0,4,1.3386,0.0,133.33,1.585,0.3333
